Date,GRADE,GPS,INCY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1994-03-04,,,2.53125,2.5625,2.55625,2.6328125,2.45375,,
1994-03-07,,,2.59375,2.5625,2.55,2.634375,2.459375,,
1994-03-08,,,2.53125,2.55,2.546875,2.6359375,2.464375,,
1994-03-09,,,2.5,2.54375,2.54375,2.621875,2.469375,,
1994-03-10,,,2.4375,2.51875,2.5375,2.603125,2.47375,,
1994-03-11,,,2.40625,2.49375,2.528125,2.5859375,2.476875,,
1994-03-14,,,2.40625,2.45625,2.509375,2.565625,2.48125,,
1994-03-15,,,2.34375,2.41875,2.484375,2.5453125,2.485,,
1994-03-16,,,2.4375,2.40625,2.475,2.5296875,2.489375,,
1994-03-17,,,2.375,2.39375,2.45625,2.5125,2.4925,,
1994-03-18,,,2.5625,2.425,2.459375,2.5078125,2.5,,
1994-03-21,,,2.59375,2.4625,2.459375,2.5046875,2.50875,,
1994-03-22,,,2.5,2.49375,2.45625,2.5015625,2.515625,,
1994-03-23,,,2.46875,2.5,2.453125,2.4984375,2.52125,2.3803125,
1994-03-24,,,2.5,2.525,2.459375,2.4984375,2.52875,2.3865625,
1994-03-25,,,2.4375,2.5,2.4625,2.4953125,2.53625,2.39125,
1994-03-28,,,2.375,2.45625,2.459375,2.484375,2.541875,2.3953125,
1994-03-29,,,2.375,2.43125,2.4625,2.4734375,2.546875,2.399375,
1994-03-30,,,2.3125,2.4,2.45,2.4625,2.548125,2.4025,
1994-03-31,,,2.1875,2.3375,2.43125,2.44375,2.54625,2.4040625,
1994-04-01,,,2.1875,2.2875,2.39375,2.4265625,2.544375,2.405,
1994-04-04,,,2.21875,2.25625,2.35625,2.4078125,2.541875,2.4040625,
1994-04-05,,,2.1875,2.21875,2.325,2.390625,2.539375,2.4015625,
1994-04-06,,,2.1875,2.19375,2.296875,2.375,2.530625,2.3996875,
1994-04-07,,,2.15625,2.1875,2.2625,2.3609375,2.52,2.398125,
1994-04-08,,,2.15625,2.18125,2.234375,2.3484375,2.50875,2.39625,
1994-04-11,,,2.09375,2.15625,2.20625,2.3328125,2.495,2.3946875,
1994-04-12,,,1.96875,2.1125,2.165625,2.3140625,2.48,2.3903125,
1994-04-13,,,1.875,2.05,2.121875,2.2859375,2.464375,2.385625,
1994-04-14,,,2.0625,2.03125,2.109375,2.2703125,2.4525,2.3828125,
1994-04-15,,,1.96875,1.99375,2.0875,2.240625,2.44125,2.37875,
1994-04-18,,,1.9375,1.9625,2.059375,2.2078125,2.42875,2.375625,
1994-04-19,,,1.875,1.94375,2.028125,2.1765625,2.41625,2.371875,
1994-04-20,,,1.71875,1.9125,1.98125,2.1390625,2.395,2.3671875,
1994-04-21,,,1.71875,1.84375,1.9375,2.1,2.373125,2.3584375,
1994-04-22,,,1.75,1.8,1.896875,2.065625,2.353125,2.3503125,
1994-04-25,,,2.03125,1.81875,1.890625,2.0484375,2.3375,2.3465625,
1994-04-26,,,2.125,1.86875,1.90625,2.0359375,2.325,2.344375,
1994-04-27,,,2.125,1.95,1.93125,2.0265625,2.3125,2.341875,
1994-04-28,,,2.15625,2.0375,1.940625,2.025,2.30125,2.34,
1994-04-29,,,2.21875,2.13125,1.965625,2.0265625,2.2925,2.3390625,
1994-05-02,,,2.3125,2.1875,2.003125,2.03125,2.285625,2.34,
1994-05-03,,,2.25,2.2125,2.040625,2.034375,2.279375,2.340625,
1994-05-04,,,2.28125,2.24375,2.096875,2.0390625,2.274375,2.34125,
1994-05-05,,,2.25,2.2625,2.15,2.04375,2.269375,2.3415625,
1994-05-06,,,2.25,2.26875,2.2,2.0484375,2.264375,2.3425,
1994-05-09,,,2.1875,2.24375,2.215625,2.053125,2.25625,2.3421875,
1994-05-10,,,2.59375,2.3125,2.2625,2.084375,2.25625,2.34625,
1994-05-11,,,2.53125,2.3625,2.303125,2.1171875,2.25625,2.3496875,
1994-05-12,,,2.6875,2.45,2.35625,2.1484375,2.25875,2.35375,
1994-05-13,,,2.625,2.525,2.396875,2.18125,2.260625,2.3571875,
1994-05-16,,,2.59375,2.60625,2.425,2.2140625,2.260625,2.36,
1994-05-17,,,2.5625,2.6,2.45625,2.2484375,2.26125,2.3628125,
1994-05-18,,,2.59375,2.6125,2.4875,2.2921875,2.263125,2.36625,
1994-05-19,,,2.65625,2.60625,2.528125,2.3390625,2.2675,2.370625,
1994-05-20,,,2.6875,2.61875,2.571875,2.3859375,2.273125,2.375,
1994-05-23,,,2.59375,2.61875,2.6125,2.4140625,2.276875,2.3790625,
1994-05-24,,,2.59375,2.625,2.6125,2.4375,2.281875,2.3834375,
1994-05-25,,,2.625,2.63125,2.621875,2.4625,2.285625,2.3875,
1994-05-26,,,2.65625,2.63125,2.61875,2.4875,2.29125,2.391875,
1994-05-27,,,2.65625,2.625,2.621875,2.509375,2.293125,2.3965625,
