Date,GRADE,GPS,CDW,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2013-06-27,,,16.36943817138672,,,,,,
2013-06-28,,,16.59221649169922,,,,,,
2013-07-01,,,16.34271240234375,,,,,,
2013-07-02,,,17.12687110900879,,,,,,
2013-07-03,,,17.002120971679688,16.686671829223634,,,,,
2013-07-04,,,17.002120971679688,16.813208389282227,,,,,
2013-07-05,,,17.12687110900879,16.92013931274414,,,,,
2013-07-08,,,17.135784149169922,17.078753662109374,,,,,
2013-07-09,,,17.376384735107422,17.1286563873291,,,,,
2013-07-10,,,17.019943237304688,17.132220840454103,16.90944633483887,,,,
2013-07-11,,,17.447677612304688,17.221332168579103,17.017270278930663,,,,
2013-07-12,,,17.385297775268555,17.273017501831056,17.0965784072876,,,,
2013-07-15,,,17.429845809936523,17.331829833984376,17.205291748046875,,,,
2013-07-16,,,17.911041259765625,17.438761138916014,17.283708763122558,,,,
2013-07-17,,,18.151636123657227,17.665099716186525,17.398660278320314,,,,
2013-07-18,,,18.5615348815918,17.887871170043944,17.554601669311523,,,,
2013-07-19,,,18.57045555114746,18.124902725219727,17.69896011352539,,,,
2013-07-22,,,18.124908447265625,18.263915252685546,17.79787254333496,,,,
2013-07-23,,,18.017972946166992,18.28530158996582,17.862031364440917,,,,
2013-07-24,,,18.32986259460449,18.320946884155273,17.993023300170897,17.451234817504883,,,
2013-07-25,,,19.586299896240234,18.52589988708496,18.206885528564452,17.612077903747558,,,
2013-07-26,,,19.238767623901367,18.65956230163574,18.392232513427736,17.744405460357665,,,
2013-07-29,,,19.3367919921875,18.90193901062012,18.58292713165283,17.894109439849853,,,
2013-07-30,,,19.24768447875977,19.147881317138673,18.716591453552248,18.0001501083374,,,
2013-07-31,,,19.15857315063477,19.313623428344727,18.81728515625,18.107972717285158,,,
2013-08-01,,,19.301143646240234,19.256592178344725,18.891246032714843,18.222923851013185,,,
2013-08-02,,,19.987302780151367,19.406299209594728,19.032930755615233,18.365945434570314,,,
2013-08-05,,,20.308088302612305,19.600558471679687,19.2512487411499,18.52456064224243,,,
2013-08-06,,,20.325910568237305,19.816203689575197,19.482042503356933,18.672036933898926,,,
2013-08-07,,,20.450666427612305,20.074622344970702,19.694122886657716,18.843573093414307,,,
2013-08-08,,,20.557598114013672,20.32591323852539,19.79125270843506,18.999069118499754,,,
2013-08-09,,,20.539772033691406,20.4364070892334,19.921353149414063,19.156792831420898,,,
2013-08-12,,,20.63779830932617,20.50234909057617,20.05145378112793,19.31719045639038,,,
2013-08-13,,,20.851652145385746,20.60749740600586,20.211850547790526,19.464221000671387,,,
2013-08-14,,,20.816011428833008,20.68056640625,20.37759437561035,19.597439765930176,,,
2013-08-15,,,20.49522399902344,20.668091583251957,20.497002410888673,19.694124221801758,,,
2013-08-16,,,20.539772033691406,20.668091583251954,20.552249336242674,19.792590045928954,,,
2013-08-19,,,20.575416564941406,20.655615234375002,20.578982162475587,19.915115451812746,,,
2013-08-20,,,20.593244552612305,20.60393371582031,20.605715560913087,20.04387903213501,,,
2013-08-21,,,20.521949768066406,20.54512138366699,20.612843894958495,20.153483390808105,,,
2013-08-22,,,20.504131317138672,20.54690284729004,20.607497215270996,20.199374961853028,,,
2013-08-23,,,20.73581886291504,20.586112213134765,20.62710189819336,20.27422752380371,,,
2013-08-26,,,20.477399826049805,20.566508865356447,20.611062049865723,20.331257915496828,,,
2013-08-27,,,19.800159454345703,20.407891845703126,20.50591278076172,20.358881664276122,,,
2013-08-28,,,19.586299896240234,20.220761871337892,20.38294162750244,20.380268001556395,,,
2013-08-29,,,19.675411224365234,20.0550178527832,20.300960350036622,20.398981380462647,,,
2013-08-30,,,19.54174423217773,19.816202926635743,20.201157569885254,20.376703453063964,,,
2013-09-02,,,19.54174423217773,19.629071807861326,20.097790336608888,20.338386249542236,,,
2013-09-03,,,20.07640647888184,19.684321212768555,20.04610652923584,20.325911045074463,,,
2013-09-04,,,20.504131317138672,19.867887496948242,20.044324684143067,20.328584289550783,19.050752220153807,,
