Date,GRADE,GPS,MPWR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2004-11-19,,,8.523338317871094,,,,,,
2004-11-22,,,8.332778930664062,,,,,,
2004-11-23,,,8.124889373779297,,,,,,
2004-11-24,,,8.471366882324219,,,,,,
2004-11-25,,,8.471366882324219,8.384748077392578,,,,,
2004-11-26,,,8.488689422607422,8.377818298339843,,,,,
2004-11-29,,,8.488689422607422,8.409000396728516,,,,,
2004-11-30,,,8.55798625946045,8.495619773864746,,,,,
2004-12-01,,,8.653267860412598,8.531999969482422,,,,,
2004-12-02,,,9.398192405700684,8.717365074157716,8.551056575775146,,,,
2004-12-03,,,9.649391174316406,8.949505424499511,8.663661861419678,,,,
2004-12-06,,,9.640727996826172,9.179913139343261,8.79445676803589,,,,
2004-12-07,,,9.450166702270508,9.358349227905274,8.926984500885009,,,,
2004-12-08,,,9.441503524780272,9.515996360778809,9.023998165130616,,,,
2004-12-09,,,9.363551139831545,9.50906810760498,9.113216590881347,,,,
2004-12-10,,,9.017072677612305,9.38260440826416,9.166054916381835,,,,
2004-12-13,,,8.947774887084961,9.244013786315918,9.21196346282959,,,,
2004-12-14,,,8.861152648925781,9.126210975646973,9.242280101776123,,,,
2004-12-15,,,8.705240249633789,8.978958320617675,9.247477340698243,,,,
2004-12-16,,,8.670594215393066,8.84036693572998,9.17471752166748,8.862887048721314,,,
2004-12-17,,,8.228837013244629,8.682719802856445,9.032662105560302,8.848161983489991,,,
2004-12-20,,,8.055596351623535,8.50428409576416,8.874148941040039,8.834302854537963,,,
2004-12-21,,,8.202850341796875,8.372623634338378,8.749417304992676,8.838200902938842,,,
2004-12-22,,,8.324114799499512,8.296398544311524,8.6376784324646,8.830838298797607,,,
2004-12-23,,,8.4627046585083,8.254820632934571,8.547593784332275,8.83040518760681,,,
2004-12-24,,,8.4627046585083,8.301594161987305,8.492156982421875,8.829105949401855,,,
2004-12-27,,,8.419394493103027,8.374353790283203,8.439318943023682,8.825641202926636,,,
2004-12-28,,,8.228837013244629,8.379551124572753,8.376087379455566,8.809183740615845,,,
2004-12-29,,,8.228837013244629,8.360495567321777,8.32844705581665,8.787962198257446,,,
2004-12-30,,,8.133551597595215,8.29466495513916,8.274742794036865,8.724730157852173,,,
2004-12-31,,,8.055596351623535,8.213243293762208,8.257418727874756,8.64504041671753,,,
2005-01-03,,,7.683135032653809,8.065991401672363,8.220172595977782,8.547160768508911,,,
2005-01-04,,,7.492570400238037,7.918738079071045,8.149144601821899,8.449280953407287,,,
2005-01-05,,,7.189402580261231,7.710851192474365,8.035673379898071,8.336675906181336,,,
2005-01-06,,,7.137434005737305,7.511627674102783,7.9031463146209715,8.225370049476624,,,
2005-01-07,,,7.146092414855957,7.329726886749268,7.771485090255737,8.131821036338806,,,
2005-01-10,,,6.7563066482543945,7.144361209869385,7.605176305770874,8.022247624397277,,,
2005-01-11,,,6.253913402557373,6.896629810333252,7.407683944702148,7.891885662078858,,,
2005-01-12,,,5.7168731689453125,6.6021239280700685,7.156487560272216,7.742467308044434,,,
2005-01-13,,,5.3963823318481445,6.2539135932922365,6.882770633697509,7.578756713867188,,,
2005-01-14,,,5.439692974090576,5.91263370513916,6.621180295944214,7.439299511909485,,,
2005-01-17,,,5.439692974090576,5.649310970306397,6.3968360900878904,7.308504343032837,,,
2005-01-18,,,5.44835376739502,5.488199043273926,6.192414426803589,7.170779514312744,,,
2005-01-19,,,5.491663455963135,5.443157100677491,6.022640514373779,7.029156947135926,,,
2005-01-20,,,5.9334235191345215,5.550565338134765,5.902239465713501,6.902692890167236,,,
2005-01-21,,,6.635038375854492,5.789634418487549,5.8511340618133545,6.811309576034546,,,
2005-01-24,,,6.860247611999512,6.073745346069336,5.861528158187866,6.73335223197937,,,
2005-01-25,,,6.790954113006592,6.34226541519165,5.915232229232788,6.661458086967468,,,
