Date,GRADE,GPS,HAS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.6707162857055664,,,,,,
1983-11-22,,,0.6565960049629211,,,,,,
1983-11-23,,,0.6707162857055664,,,,,,
1983-11-24,,,0.6707162857055664,,,,,,
1983-11-25,,,0.6671866178512573,0.6671862959861755,,,,,
1983-11-28,,,0.6742465496063232,0.6678923487663269,,,,,
1983-11-29,,,0.6707162857055664,0.670716404914856,,,,,
1983-11-30,,,0.6707162857055664,0.670716404914856,,,,,
1983-12-01,,,0.6671866178512573,0.6700104713439942,,,,,
1983-12-02,,,0.6707162857055664,0.670716404914856,0.6689513504505158,,,,
1983-12-05,,,0.6601265668869019,0.6678924083709716,0.6678923785686492,,,,
1983-12-06,,,0.6742465496063232,0.6685984611511231,0.6696574330329895,,,,
1983-12-07,,,0.6636564135551453,0.6671864867210389,0.6689514458179474,,,,
1983-12-08,,,0.6742465496063232,0.668598473072052,0.669304472208023,,,,
1983-12-09,,,0.6989575624465942,0.6742467284202576,0.6724815666675568,,,,
1983-12-12,,,0.7377879619598389,0.689779007434845,0.6788357079029084,,,,
1983-12-13,,,0.7554383277893066,0.7060173630714417,0.6873079121112824,,,,
1983-12-14,,,0.7342581748962402,0.7201377153396606,0.6936621010303498,,,,
1983-12-15,,,0.7342581748962402,0.732140040397644,0.7003692567348481,,,,
1983-12-16,,,0.7554383277893066,0.7434361934661865,0.7088414609432221,0.6888964056968689,,,
1983-12-19,,,0.7624992728233337,0.7483784556388855,0.7190787315368652,0.6934855550527572,,,
1983-12-20,,,0.7730886936187744,0.7519085288047791,0.7289629459381104,0.6993101894855499,,,
1983-12-21,,,0.7624992728233337,0.7575567483901977,0.7388472318649292,0.7038993388414383,,,
1983-12-22,,,0.7554383277893066,0.761792778968811,0.7469664096832276,0.7081354409456253,,,
1983-12-23,,,0.7695591449737549,0.7646169424057007,0.7540265679359436,0.7132540673017502,,,
1983-12-26,,,0.7695591449737549,0.7660289168357849,0.7572036862373352,0.7180196970701218,,,
1983-12-27,,,0.7836791276931763,0.7681470036506652,0.7600277662277222,0.7236678391695023,,,
1983-12-28,,,0.7907394766807556,0.7737950444221496,0.7656758964061737,0.7296689987182617,,,
1983-12-29,,,0.7836791276931763,0.7794432044029236,0.7706179916858673,0.7354936242103577,,,
1983-12-30,,,0.7624992728233337,0.7780312299728394,0.7713240861892701,0.7400827735662461,,,
1984-01-02,,,0.7624992728233337,0.7766192555427551,0.7713240861892701,0.7452014088630676,,,
1984-01-03,,,0.7624992728233337,0.7723832845687866,0.7702651441097259,0.7496140450239182,,,
1984-01-04,,,0.7589689493179321,0.7660291790962219,0.7699121117591858,0.7543796718120575,,,
1984-01-05,,,0.7342581748962402,0.7561449885368348,0.7677940964698792,0.7573802530765533,,,
1984-01-06,,,0.7342581748962402,0.750496768951416,0.7642639994621276,0.7591452836990357,,,
1984-01-09,,,0.7307279109954834,0.744142496585846,0.7603808760643005,0.7587922811508179,,,
1984-01-10,,,0.7342581748962402,0.7384942770004272,0.7554387807846069,0.7577332735061646,,,
1984-01-11,,,0.7166079878807068,0.7300220847129821,0.748025631904602,0.7568507641553879,,,
1984-01-12,,,0.6777765154838562,0.7187257528305053,0.73743537068367,0.7540266811847687,,,
1984-01-13,,,0.6707162857055664,0.7060173749923706,0.7282570719718933,0.7497905790805817,,,
1984-01-16,,,0.7271982431411743,0.7053114414215088,0.7247269690036774,0.7480255275964737,,,
1984-01-17,,,0.7589689493179321,0.7102535963058472,0.7243739366531372,0.7473195403814316,,,
1984-01-18,,,0.7660287022590637,0.7201377391815186,0.7250799119472504,0.7474960118532181,,,
1984-01-19,,,0.7342581748962402,0.7314340710639954,0.7250799119472504,0.7464370042085647,,,
1984-01-20,,,0.7024874091148376,0.7377882957458496,0.7219028353691102,0.7430834174156189,,,
1984-01-23,,,0.7342581748962402,0.7392002820968628,0.7222558617591858,0.7413183689117432,,,
1984-01-24,,,0.7342581748962402,0.7342581272125244,0.7222558617591858,0.7388473212718963,,,
1984-01-25,,,0.7413185238838196,0.7293160915374756,0.7247269153594971,0.7363762736320496,,,
1984-01-26,,,0.7342581748962402,0.7293160915374756,0.7303750813007355,0.7339052259922028,,,
1984-01-27,,,0.7377879619598389,0.7363762021064758,0.7370822489261627,0.732669660449028,0.7228912436962127,,
1984-01-30,,,0.7342581748962402,0.7363762021064758,0.7377882421016693,0.7312576055526734,0.7241620814800263,,
1984-01-31,,,0.7130774259567261,0.732140052318573,0.7331990897655487,0.728786513209343,0.7252917098999023,,
1984-02-01,,,0.7060171365737915,0.7250797748565674,0.7271979331970215,0.726138922572136,0.7259977269172668,,
1984-02-02,,,0.7024874091148376,0.7187256217002869,0.7240208566188813,0.7245503842830658,0.7266331493854523,,
1984-02-03,,,0.7342581748962402,0.7180196642875671,0.7271979331970215,0.7245503842830658,0.7279745805263519,,
1984-02-06,,,0.7166079878807068,0.7144896268844605,0.7254329144954681,0.723844388127327,0.7288218092918396,,
1984-02-07,,,0.7095476984977722,0.7137836813926697,0.7229618668556214,0.7226088643074036,0.7295984375476837,,
1984-02-08,,,0.6989575624465942,0.7123717665672302,0.7187257707118988,0.7217263430356979,0.7301632630825042,,
1984-02-09,,,0.7060171365737915,0.713077712059021,0.715901666879654,0.7231383740901947,0.730939873456955,,
1984-02-10,,,0.7342581748962402,0.713077712059021,0.7155486881732941,0.7263154685497284,0.7322107112407684,,
1984-02-13,,,0.7307279109954834,0.7159016966819763,0.7151956617832184,0.7264919519424439,0.7336227381229401,,
