Date,GRADE,GPS,IEX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1989-06-02,,,1.8236613273620603,,,,,,
1989-06-05,,,1.808075189590454,,,,,,
1989-06-06,,,1.808075189590454,,,,,,
1989-06-07,,,1.8236613273620603,,,,,,
1989-06-08,,,1.8236613273620603,1.817426872253418,,,,,
1989-06-09,,,1.839248776435852,1.8205443620681763,,,,,
1989-06-12,,,1.8236613273620603,1.8236615896224975,,,,,
1989-06-13,,,1.7924866676330566,1.820543885231018,,,,,
1989-06-14,,,1.776900053024292,1.8111916303634643,,,,,
1989-06-15,,,1.7613133192062378,1.7987220287322998,1.808074450492859,,,,
1989-06-16,,,1.776900053024292,1.7862522840499877,1.803398323059082,,,,
1989-06-19,,,1.808075189590454,1.7831350564956665,1.803398323059082,,,,
1989-06-20,,,1.808075189590454,1.786252760887146,1.803398323059082,,,,
1989-06-21,,,1.8236613273620603,1.7956050157546997,1.803398323059082,,,,
1989-06-22,,,1.8236613273620603,1.8080746173858642,1.803398323059082,,,,
1989-06-23,,,1.808075189590454,1.8143096446990967,1.8002809643745423,,,,
1989-06-26,,,1.808075189590454,1.8143096446990967,1.7987223505973815,,,,
1989-06-27,,,1.8236613273620603,1.817426872253418,1.801839816570282,,,,
1989-06-28,,,1.7924866676330566,1.811191940307617,1.8033984780311585,,,,
1989-06-29,,,1.7924866676330566,1.8049570083618165,1.8065158128738403,1.8072951316833497,,,
1989-06-30,,,1.776900053024292,1.798721981048584,1.8065158128738403,1.8049570679664613,,,
1989-07-03,,,1.7924866676330566,1.7956042766571045,1.8049569606781006,1.8041776418685913,,,
1989-07-04,,,1.7924866676330566,1.7893693447113037,1.803398108482361,1.8033982157707213,,,
1989-07-05,,,1.808075189590454,1.7924870491027831,1.8018394947052,1.8026189088821412,,,
1989-07-06,,,1.7613133192062378,1.7862523794174194,1.795604693889618,1.79950150847435,,,
1989-07-07,,,1.7924866676330566,1.7893697023391724,1.7940458416938783,1.7971634030342103,,,
1989-07-10,,,1.839248776435852,1.7987221240997315,1.797163200378418,1.7979427754878998,,,
1989-07-11,,,1.8236613273620603,1.8049570560455321,1.797163200378418,1.79950150847435,,,
1989-07-12,,,1.8236613273620603,1.8080742835998536,1.800280666351318,1.8018395721912384,,,
1989-07-13,,,1.8236613273620603,1.820543885231018,1.8033981323242183,1.8049569725990295,,,
1989-07-14,,,1.8236613273620603,1.826778817176819,1.8080742597579953,1.807295036315918,,,
1989-07-17,,,1.839248776435852,1.826778817176819,1.8127504706382749,1.8088537156581879,,,
1989-07-18,,,1.839248776435852,1.8298963069915772,1.8174266815185542,1.8104123950004578,,,
1989-07-19,,,1.8704222440719604,1.839248490333557,1.8236613869667049,1.8127504408359527,,,
1989-07-20,,,1.8704222440719604,1.8486006736755372,1.8345722794532773,1.8150884866714478,,,
1989-07-21,,,1.8704222440719604,1.857952857017517,1.8423658370971676,1.8182058393955232,,,
1989-07-24,,,1.963943719863892,1.882891845703125,1.8548353314399715,1.825999265909195,,,
1989-07-25,,,1.932768940925598,1.9015958786010743,1.8657460927963256,1.8314546465873718,,,
1989-07-26,,,1.963943719863892,1.9203001737594605,1.8797743320465088,1.8400274991989136,,,
1989-07-27,,,1.979529857635498,1.942121696472168,1.8953611850738525,1.8493796586990356,,,
1989-07-28,,,1.979529857635498,1.9639432191848756,1.9109480381011963,1.859511148929596,,,
1989-07-31,,,2.010703563690185,1.9732951879501344,1.9280935168266295,1.8704219937324524,,,
