Date,GRADE,GPS,FRT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.797685146331787,,,,,,
1983-11-22,,,1.772186279296875,,,,,,
1983-11-23,,,1.8231842517852783,,,,,,
1983-11-24,,,1.8231842517852783,,,,,,
1983-11-25,,,1.7849353551864624,1.8002350568771361,,,,,
1983-11-28,,,1.8104346990585327,1.8027849674224854,,,,,
1983-11-29,,,1.7849353551864624,1.805334782600403,,,,,
1983-11-30,,,1.8104346990585327,1.8027848720550537,,,,,
1983-12-01,,,1.8231842517852783,1.8027848720550537,,,,,
1983-12-02,,,1.797685146331787,1.8053348302841186,1.8027849435806274,,,,
1983-12-05,,,1.772186279296875,1.797685146331787,1.8002350568771361,,,,
1983-12-06,,,1.7849353551864624,1.797685146331787,1.801509964466095,,,,
1983-12-07,,,1.7594366073608398,1.7874855279922486,1.7951352000236511,,,,
1983-12-08,,,1.746687650680542,1.7721862077713013,1.7874855399131775,,,,
1983-12-09,,,1.733937382698059,1.7594366550445557,1.7823857426643372,,,,
1983-12-12,,,1.772186279296875,1.7594366550445557,1.7785609006881713,,,,
1983-12-13,,,1.708438754081726,1.7441373348236084,1.7709112405776977,,,,
1983-12-14,,,1.733937382698059,1.7390374898910523,1.7632615089416503,,,,
1983-12-15,,,1.708438754081726,1.7313877105712892,1.7517869591712951,,,,
1983-12-16,,,1.708438754081726,1.7262879848480224,1.7428623199462892,1.7728236317634583,,,
1983-12-19,,,1.7594366073608398,1.7237380504608155,1.7415873527526855,1.770911204814911,,,
1983-12-20,,,1.733937382698059,1.728837776184082,1.7364875555038453,1.7689987599849701,,,
1983-12-21,,,1.708438754081726,1.7237380504608155,1.731387770175934,1.7632614850997925,,,
1983-12-22,,,1.7594366073608398,1.7339376211166382,1.7326626658439637,1.7600741028785705,,,
1983-12-23,,,1.7594366073608398,1.7441371917724608,1.7352125883102416,1.7587991654872894,,,
1983-12-26,,,1.7594366073608398,1.7441371917724608,1.7339376211166382,1.7562492609024047,,,
1983-12-27,,,1.746687650680542,1.7466872453689575,1.7377625107765198,1.7543368756771087,,,
1983-12-28,,,1.733937382698059,1.751786971092224,1.7377625107765198,1.7505120098590852,,,
1983-12-29,,,1.746687650680542,1.7492371797561646,1.7415874004364014,1.7466871798038484,,,
1983-12-30,,,1.772186279296875,1.7517871141433716,1.7479621529579163,1.7454122364521027,,,
1984-01-02,,,1.772186279296875,1.7543370485305787,1.7492371201515198,1.7454122364521027,,,
1984-01-03,,,1.746687650680542,1.7543370485305787,1.750512146949768,1.7434998512268067,,,
1984-01-04,,,1.733937382698059,1.7543370485305787,1.7530620098114014,1.7422248899936676,,,
1984-01-05,,,1.746687650680542,1.7543370485305787,1.7517871141433716,1.7422248899936676,,,
1984-01-06,,,1.7849353551864624,1.756886863708496,1.754336988925934,1.7447747886180878,,,
1984-01-09,,,1.7594366073608398,1.7543369293212892,1.754336988925934,1.744137305021286,,,
1984-01-10,,,1.772186279296875,1.7594366550445557,1.756886851787567,1.7473246812820435,,,
1984-01-11,,,1.797685146331787,1.7721862077713013,1.76326162815094,1.75051206946373,,,
1984-01-12,,,1.835934042930603,1.7900354862213135,1.772186267375946,1.7568868339061736,,,
1984-01-13,,,1.8231842517852783,1.7976852655410767,1.7772860646247863,1.7626241087913512,,,
1984-01-16,,,1.8104346990585327,1.8078848838806152,1.781110906600952,1.765174013376236,,,
1984-01-17,,,1.8231842517852783,1.818084478378296,1.7887605667114257,1.7696363568305968,,,
1984-01-18,,,1.835934042930603,1.825734257698059,1.79896023273468,1.7760111212730407,,,
1984-01-19,,,1.7849353551864624,1.815534520149231,1.8027850031852721,1.777286058664322,,,
1984-01-20,,,1.7849353551864624,1.8078847408294678,1.8027850031852721,1.778560996055603,,,
1984-01-23,,,1.7594366073608398,1.7976851224899293,1.8027850031852721,1.778560996055603,,,
1984-01-24,,,1.746687650680542,1.782385802268982,1.800235140323639,1.778560996055603,,,
1984-01-25,,,1.733937382698059,1.7619864702224732,1.7938603639602662,1.778560996055603,,,
1984-01-26,,,1.746687650680542,1.7543369293212892,1.78493572473526,1.778560996055603,,,
1984-01-27,,,1.772186279296875,1.7517871141433716,1.7798359274864197,1.778560996055603,1.7701462817192077,,
1984-01-30,,,1.7594366073608398,1.7517871141433716,1.7747361183166503,1.7779235124588013,1.769381310939789,,
