Date,GRADE,GPS,GLW,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.1156617403030396,,,,,,
1983-11-22,,,1.1115895509719849,,,,,,
1983-11-23,,,1.1136256456375122,,,,,,
1983-11-24,,,1.1136256456375122,,,,,,
1983-11-25,,,1.1136256456375122,1.1136256456375122,,,,,
1983-11-28,,,1.1197329759597778,1.11443989276886,,,,,
1983-11-29,,,1.1278769969940186,1.1176973819732665,,,,,
1983-11-30,,,1.1400924921035769,1.1229907512664794,,,,,
1983-12-01,,,1.1278769969940186,1.1258410215377808,,,,,
1983-12-02,,,1.1115895509719849,1.1254338026046753,1.1195297241210938,,,,
1983-12-05,,,1.1278769969940186,1.1270626068115235,1.1207512497901917,,,,
1983-12-06,,,1.1278769969940186,1.1270626068115235,1.122379994392395,,,,
1983-12-07,,,1.1360207796096802,1.126248264312744,1.1246195077896117,,,,
1983-12-08,,,1.1319485902786257,1.1270625829696654,1.126451802253723,,,,
1983-12-09,,,1.1319485902786257,1.1311343908309939,1.1282840967178345,,,,
1983-12-12,,,1.138055682182312,1.1331701278686526,1.1301163673400878,,,,
1983-12-13,,,1.1373172998428345,1.1350581884384157,1.1310603976249696,,,,
1983-12-14,,,1.1188409328460691,1.1316222190856933,1.1289352416992187,,,,
1983-12-15,,,1.1188409328460691,1.129000687599182,1.1280316352844237,,,,
1983-12-16,,,1.1250001192092896,1.1276109933853147,1.1293726921081544,1.124451208114624,,,
1983-12-19,,,1.1291054487228394,1.1258209466934201,1.1294955372810365,1.125123393535614,,,
1983-12-20,,,1.1291054487228394,1.1241785764694212,1.1296183824539185,1.1259991884231568,,,
1983-12-21,,,1.1208938360214231,1.1245891571044921,1.1281056880950928,1.1263625979423524,,,
1983-12-22,,,1.1188409328460691,1.1245891571044921,1.1267949223518372,1.1266233623027802,,,
1983-12-23,,,1.116788387298584,1.122946810722351,1.125278902053833,1.1267814993858338,,,
1983-12-26,,,1.116788387298584,1.1204833984375,1.1231521725654603,1.126634269952774,,,
1983-12-27,,,1.1188409328460691,1.118430495262146,1.1213045358657836,1.1261824667453766,,,
1983-12-28,,,1.1208938360214231,1.1184304952621458,1.1215098261833192,1.125222533941269,,,
1983-12-29,,,1.1455295085906982,1.1237682104110716,1.124178683757782,1.126105159521103,,,
1983-12-30,,,1.1455295085906982,1.1295164346694944,1.1262316226959228,1.1278021574020385,,,
1984-01-02,,,1.1455295085906982,1.1352646589279174,1.1278740286827087,1.1286847829818725,,,
1984-01-03,,,1.1208938360214231,1.1356752395629883,1.127052867412567,1.1283356249332428,,,
1984-01-04,,,1.1496353149414062,1.1414235353469848,1.1299270153045655,1.129016351699829,,,
