Date,GRADE,GPS,EMN,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1993-12-14,,,8.325739860534668,,,,,,
1993-12-15,,,8.141752243041992,,,,,,
1993-12-16,,,8.141752243041992,,,,,,
1993-12-17,,,7.957753181457519,,,,,,
1993-12-20,,,8.210749626159668,8.155549430847168,,,,,
1993-12-21,,,8.325739860534668,8.155549430847168,,,,,
1993-12-22,,,8.325739860534668,8.192346954345703,,,,,
1993-12-23,,,8.486737251281738,8.261343955993652,,,,,
1993-12-24,,,8.486737251281738,8.367140769958496,,,,,
1993-12-27,,,8.693731307983398,8.463737106323242,8.309643268585205,,,,
1993-12-28,,,8.647736549377441,8.528136444091796,8.341842937469483,,,,
1993-12-29,,,8.762728691101074,8.615534210205078,8.403940582275391,,,,
1993-12-30,,,8.80872631072998,8.679932022094727,8.470637989044189,,,,
1993-12-31,,,8.739734649658203,8.73053150177002,8.548836135864258,,,,
1994-01-03,,,8.624731063842773,8.716731452941895,8.590234279632568,,,,
1994-01-04,,,8.302743911743164,8.647732925415038,8.587934684753417,,,,
1994-01-05,,,8.164751052856445,8.528137397766113,8.571835803985596,,,,
1994-01-06,,,8.003747940063477,8.367141723632812,8.523536872863769,,,,
1994-01-07,,,7.681764602661133,8.155547714233398,8.443039608001708,,,,
1994-01-10,,,7.888757228851318,8.008352947235107,8.362542200088502,8.336092734336853,,,
1994-01-11,,,7.8657546043396,7.920955085754395,8.284344005584718,8.3130934715271,,,
1994-01-12,,,7.727764129638672,7.8335577011108395,8.180847549438477,8.292394065856934,,,
1994-01-13,,,7.681764602661133,7.769161033630371,8.068151378631592,8.269394683837891,,,
1994-01-14,,,7.704761981964111,7.773760509490967,7.964654111862183,8.25674512386322,,,
1994-01-17,,,7.704761981964111,7.736961460113525,7.872657203674317,8.231445741653442,,,
1994-01-18,,,7.658761501312256,7.695562839508057,7.808258962631226,8.198096823692321,,,
1994-01-19,,,7.773757934570312,7.704761600494384,7.769159650802612,8.170497727394103,,,
1994-01-20,,,7.727764129638672,7.713961505889893,7.7415612697601315,8.132549071311951,,,
1994-01-21,,,7.727764129638672,7.7185619354248045,7.746161222457886,8.094600415229797,,,
1994-01-24,,,7.658761501312256,7.709361839294433,7.72316164970398,8.04285192489624,,,
1994-01-25,,,7.658761501312256,7.709361839294433,7.7024623394012455,7.993403172492981,,,
1994-01-26,,,7.658761501312256,7.686362552642822,7.695562076568604,7.93820481300354,,,
1994-01-27,,,7.658761501312256,7.672562026977539,7.693261766433716,7.880706572532654,,,
1994-01-28,,,7.911755561828613,7.7093603134155275,7.713961124420166,7.8393076181411745,,,
1994-01-31,,,8.049749374389648,7.787557888031006,7.7484598636627195,7.810558533668518,,,
1994-02-01,,,7.773757934570312,7.810557174682617,7.759959506988525,7.7841092348098755,,,
1994-02-02,,,7.727764129638672,7.824357700347901,7.755360126495361,7.762259888648987,,,
1994-02-03,,,7.8657546043396,7.865756320953369,7.769159173965454,7.755360221862793,,,
1994-02-04,,,7.842756271362305,7.851956462860107,7.780658388137818,7.763409805297852,,,
1994-02-07,,,8.003747940063477,7.842756175994873,7.815157032012939,7.76915934085846,,,
1994-02-08,,,7.888757228851318,7.865756034851074,7.838156604766846,7.770309472084046,,,
1994-02-09,,,7.934755325317383,7.907154273986817,7.865755987167359,7.780659031867981,,,
1994-02-10,,,7.8657546043396,7.907154273986817,7.886455297470093,7.7898585319519045,,,
1994-02-11,,,7.8657546043396,7.911753940582275,7.881855201721192,7.797908163070678,,,
1994-02-14,,,7.911755561828613,7.893355464935302,7.868055820465088,7.808257842063904,,,
1994-02-15,,,7.934755325317383,7.902555084228515,7.884155559539795,7.82205753326416,,,
1994-02-16,,,7.980747699737549,7.911753559112549,7.909453916549682,7.832407021522522,,,
1994-02-17,,,7.980747699737549,7.934752178192139,7.920953226089478,7.845056200027466,,,
1994-02-18,,,7.934755325317383,7.9485523223876955,7.930153131484985,7.8554057598114015,,,
