Date,GRADE,GPS,WM,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1988-06-22,,,2.6225082874298096,,,,,,
1988-06-23,,,2.409872531890869,,,,,,
1988-06-24,,,2.480751276016236,,,,,,
1988-06-27,,,2.409872531890869,,,,,,
1988-06-28,,,2.268115520477295,2.438224029541016,,,,,
1988-06-29,,,2.338993549346924,2.3815210819244386,,,,,
1988-06-30,,,2.480751276016236,2.395696830749512,,,,,
1988-07-01,,,2.6933865547180176,2.438223886489868,,,,,
1988-07-04,,,2.6933865547180176,2.494926691055298,,,,,
1988-07-05,,,2.6225082874298096,2.5658052444458006,2.502014636993408,,,,
1988-07-06,,,2.5516297817230225,2.6083324909210206,2.4949267864227296,,,,
1988-07-07,,,2.5516297817230225,2.622508192062378,2.5091025114059446,,,,
1988-07-08,,,2.480751276016236,2.5799811363220218,2.5091025114059446,,,,
1988-07-11,,,2.480751276016236,2.537454080581665,2.5161903858184815,,,,
1988-07-12,,,2.480751276016236,2.5091026782989503,2.5374539613723757,,,,
1988-07-13,,,2.5516297817230225,2.5091026782989503,2.558717584609986,,,,
1988-07-14,,,2.480751276016236,2.4949269771575926,2.558717584609986,,,,
1988-07-15,,,2.480751276016236,2.494926977157593,2.5374540567398074,,,,
1988-07-18,,,2.409872531890869,2.4807512283325197,2.5091026544570925,,,,
1988-07-19,,,2.338993549346924,2.4523996829986574,2.480751180648804,2.491382908821106,,,
1988-07-20,,,2.1972367763519287,2.381521081924439,2.445311880111695,2.470119333267212,,,
1988-07-21,,,2.268115520477295,2.3389939308166503,2.416960453987122,2.4630314826965334,,,
1988-07-22,,,2.1972367763519287,2.282291030883789,2.388609004020691,2.448855757713318,,,
1988-07-25,,,2.1972367763519287,2.239763879776001,2.36025755405426,2.438223969936371,,,
1988-07-26,,,2.1972367763519287,2.211412525177002,2.3319061040878295,2.4346800327301024,,,
1988-07-27,,,2.1972367763519287,2.211412525177002,2.2964668035507203,2.427592194080353,,,
1988-07-28,,,2.1972367763519287,2.1972367763519287,2.2681153535842897,2.4134164690971374,,,
1988-07-29,,,2.1972367763519287,2.1972367763519287,2.2397639036178587,2.388608980178833,,,
1988-08-01,,,2.268115520477295,2.211412525177002,2.2255882024765015,2.367345428466797,,,
1988-08-02,,,2.1972367763519287,2.211412525177002,2.211412525177002,2.346081852912903,,,
1988-08-03,,,2.126357316970825,2.1972366333007813,2.2043245792388917,2.324818229675293,,,
1988-08-04,,,2.0554795265197754,2.1688851833343508,2.1830609798431397,2.3000107169151307,,,
1988-08-05,,,2.126357316970825,2.15470929145813,2.1759730339050294,2.28229101896286,,,
1988-08-08,,,2.126357316970825,2.126357650756836,2.168885087966919,2.2645713210105898,,,
1988-08-09,,,1.9846004247665403,2.083830380439758,2.14762145280838,2.239763778448105,,,
1988-08-10,,,1.8428434133529663,2.0271275997161866,2.112182116508484,2.204324460029602,,,
1988-08-11,,,1.913720726966858,1.998775839805603,2.083830511569977,2.175972932577133,,,
1988-08-12,,,1.913720726966858,1.9562485218048096,2.05547890663147,2.1476214051246645,,,
1988-08-15,,,1.8428434133529663,1.8995457410812377,2.0129516959190368,2.1192699491977693,,,
