Date,GRADE,GPS,TPR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2000-10-06,,,1.6115542650222778,,,,,,
2000-10-09,,,1.497918963432312,,,,,,
2000-10-10,,,1.5185799598693848,,,,,,
2000-10-11,,,1.4669275283813477,,,,,,
2000-10-12,,,1.3946142196655271,1.4979189872741698,,,,,
2000-10-13,,,1.4256056547164917,1.4607292652130126,,,,,
2000-10-16,,,1.4307711124420166,1.4472996950149537,,,,,
2000-10-17,,,1.5185799598693848,1.4472996950149537,,,,,
2000-10-18,,,1.4411015510559082,1.4421344995498657,,,,,
2000-10-19,,,1.4101104736328125,1.4452337503433228,1.4715763688087464,,,,
2000-10-20,,,1.4049447774887085,1.441101574897766,1.4509154200553893,,,,
2000-10-23,,,1.3842837810516355,1.43180410861969,1.4395519018173217,,,,
2000-10-24,,,1.446267008781433,1.4173415184020997,1.4323206067085266,,,,
2000-10-25,,,1.5082494020462036,1.4307710886001588,1.4364527940750123,,,,
2000-10-26,,,1.497918963432312,1.4483327865600586,1.4467832684516906,,,,
2000-10-27,,,1.6115542650222778,1.4896546840667724,1.4653781294822692,,,,
2000-10-30,,,1.776841640472412,1.5681662559509277,1.4999851822853087,,,,
2000-10-31,,,1.9317994117736816,1.6652727365493774,1.5413071274757386,,,,
2000-11-01,,,1.9163042306900024,1.7468837022781372,1.5888273954391479,,,,
2000-11-02,,,1.9731206893920896,1.8419240474700929,1.6451284170150757,1.558352392911911,,,
2000-11-03,,,2.0867562294006348,1.9369644403457642,1.7133095622062684,1.5821124911308289,,,
2000-11-06,,,1.9886168241500852,1.9793194770812985,1.7737428665161132,1.6066473841667175,,,
2000-11-07,,,1.9627912044525144,1.985517835617065,1.8253952860832214,1.6288579463958741,,,
2000-11-08,,,1.9834508895874023,1.998947167396545,1.8729154348373414,1.6546841144561768,,,
2000-11-09,,,1.9782862663269043,1.999980282783508,1.9209521651268004,1.6838677167892455,,,
2000-11-10,,,2.0454344749450684,1.991715931892395,1.9643401861190797,1.7148591578006744,,,
2000-11-13,,,1.8284947872161863,1.9596915245056152,1.969505500793457,1.734745341539383,,,
2000-11-14,,,1.8801467418670652,1.9431626319885253,1.9643402338027953,1.752823680639267,,,
2000-11-15,,,1.900807499885559,1.9266339540481567,1.962790560722351,1.7758089780807496,,,
2000-11-16,,,1.895642638206482,1.9101052284240723,1.9550427556037904,1.800085586309433,,,
2000-11-17,,,1.9317994117736816,1.887378215789795,1.939547073841095,1.8264283180236816,,,
2000-11-20,,,1.8801467418670652,1.8977086067199707,1.9287000656127926,1.851221466064453,,,
2000-11-21,,,1.8698166608810425,1.895642590522766,1.9194026112556455,1.8723989486694337,,,
2000-11-22,,,1.900807499885559,1.895642590522766,1.911138272285461,1.8920268535614013,,,
2000-11-23,,,1.900807499885559,1.8966755628585816,1.9033903956413265,1.9121712803840638,,,
2000-11-24,,,1.900807499885559,1.890477180480957,1.8889276981353755,1.9266339421272278,,,
2000-11-27,,,1.9627912044525144,1.907006072998047,1.9023573398590083,1.935931420326233,,,
2000-11-28,,,1.942129731178284,1.921468687057495,1.9085556387901306,1.936447936296463,,,
2000-11-29,,,1.838824987411499,1.909072184562683,1.9023573875427247,1.9325739741325378,,,
2000-11-30,,,1.8284947872161863,1.8946096420288085,1.895642602443695,1.9253426790237427,,,
2000-12-01,,,1.818164587020874,1.8780810594558717,1.8842791199684144,1.9119130969047546,,,
2000-12-04,,,1.9111385345458984,1.8677505254745483,1.8873782992362975,1.9080391824245453,,,
2000-12-05,,,1.838824987411499,1.8470895767211915,1.8842791318893433,1.9018408715724946,,,
2000-12-06,,,1.9059727191925049,1.8605191230773925,1.8847956538200379,1.8979669630527496,,,
2000-12-07,,,1.9834508895874023,1.8915103435516358,1.893059992790222,1.8982251942157746,,,
2000-12-08,,,2.0970866680145264,1.9472947597503663,1.9126879096031189,1.9008078038692475,,,
2000-12-11,,,2.1332437992095947,1.9917158126831054,1.9297331690788269,1.916045254468918,,,
2000-12-12,,,2.0609309673309326,2.036137008666992,1.9416132926940919,1.9250844657421111,,,
2000-12-13,,,1.9834508895874023,2.0516326427459717,1.9560758829116822,1.9292166352272033,,,
2000-12-14,,,1.7406854629516602,2.003079557418823,1.9472949504852295,1.9214687764644622,1.7829370188713074,,
2000-12-15,,,1.7406854629516602,1.93179931640625,1.9395470380783082,1.9119130790233612,1.785519642829895,,
2000-12-18,,,1.7045280933380127,1.8460561752319335,1.9188859939575196,1.9031321465969087,1.789651825428009,,
2000-12-19,,,1.7148586511611938,1.7768417119979858,1.906489360332489,1.895384246110916,1.7935773992538453,,
2000-12-20,,,1.6735376119613647,1.7148590564727784,1.883245849609375,1.8840207517147065,1.7977096009254456,,
2000-12-21,,,1.7355200052261353,1.7138259649276733,1.8584527611732482,1.8757563769817351,1.8045277166366578,,
2000-12-22,,,1.8491551876068115,1.7355199098587035,1.8336596131324767,1.873173761367798,1.8129987072944642,,
2000-12-25,,,1.8491551876068115,1.7644453287124633,1.8052507519721985,1.8674919605255127,1.82136638879776,,
2000-12-26,,,1.942129731178284,1.8098995447158814,1.7933706283569335,1.8674919605255127,1.829837384223938,,
2000-12-27,,,2.066095352172852,1.8884110927581788,1.8016350746154786,1.8788554787635803,1.8423372602462769,,
2000-12-28,,,2.3346874713897705,2.008244585990906,1.8610352754592896,1.9041651129722594,1.860828800201416,,
2000-12-29,,,2.376009941101074,2.113615536689758,1.9245677232742309,1.9320573806762695,1.8802501034736634,,
