Date,GRADE,GPS,LIN,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1992-06-17,,,4.605377197265625,,,,,,
1992-06-18,,,4.532852649688721,,,,,,
1992-06-19,,,4.569112777709961,,,,,,
1992-06-22,,,4.424062252044678,,,,,,
1992-06-23,,,4.460325241088867,4.5183460235595705,,,,,
1992-06-24,,,4.38779878616333,4.4748303413391115,,,,,
1992-06-25,,,4.460325241088867,4.46032485961914,,,,,
1992-06-26,,,4.49658727645874,4.445819759368897,,,,,
1992-06-29,,,4.532852649688721,4.467577838897705,,,,,
1992-06-30,,,4.677901744842529,4.5110931396484375,4.5147195816040036,,,,
1992-07-01,,,4.569112777709961,4.5473559379577635,4.5110931396484375,,,,
1992-07-02,,,4.677901744842529,4.5908712387084964,4.525598049163818,,,,
1992-07-03,,,4.677901744842529,4.627134132385254,4.536476945877075,,,,
1992-07-06,,,4.49658727645874,4.619881057739258,4.543729448318482,,,,
1992-07-07,,,4.242748260498047,4.532850360870361,4.521971750259399,,,,
1992-07-08,,,4.025171756744385,4.4240621566772464,4.4857090473175045,,,,
1992-07-09,,,4.242748260498047,4.337031459808349,4.463951349258423,,,,
1992-07-10,,,4.133960247039795,4.228243160247803,4.427688646316528,,,,
1992-07-13,,,4.17022180557251,4.162970066070557,4.391425561904907,,,,
1992-07-14,,,4.206485748291016,4.155717563629151,4.344283962249756,4.42950177192688,,,
1992-07-15,,,4.242748260498047,4.199232864379883,4.311647510528564,4.411370325088501,,,
1992-07-16,,,4.17022180557251,4.184727573394776,4.2608795166015625,4.39323878288269,,,
1992-07-17,,,4.242748260498047,4.206485176086426,4.217364168167114,4.376920557022094,,,
1992-07-20,,,4.133960247039795,4.199232864379883,4.18110146522522,4.362415456771851,,,
1992-07-21,,,4.133960247039795,4.184727764129638,4.170222663879395,4.346097207069397,,,
1992-07-22,,,4.279012203216553,4.19198055267334,4.195606708526611,4.340657877922058,,,
1992-07-23,,,4.242748260498047,4.206485843658447,4.195606708526611,4.329779028892517,,,
1992-07-24,,,4.315272808074951,4.220990753173828,4.213737964630127,4.320713305473328,,,
1992-07-27,,,4.351537704467773,4.264506244659424,4.231869554519653,4.311647558212281,,,
1992-07-28,,,4.351537704467773,4.30802173614502,4.2463747501373295,4.295329356193543,,,
1992-07-29,,,4.279012203216553,4.30802173614502,4.25000114440918,4.280824327468872,,,
1992-07-30,,,4.351537704467773,4.329779624938965,4.268132734298706,4.264506125450135,,,
1992-07-31,,,4.38779878616333,4.3442848205566404,4.2826377868652346,4.250000977516175,,,
1992-08-03,,,4.460325241088867,4.3660423278808596,4.315274286270141,4.24818787574768,,,
1992-08-04,,,4.49658727645874,4.395052242279053,4.351536989212036,4.2608798265457155,,,
1992-08-05,,,4.49658727645874,4.43856725692749,4.373294496536255,4.284450602531433,,,
1992-08-06,,,4.424062252044678,4.453072166442871,4.391425895690918,4.293516302108765,,,
1992-08-07,,,4.351537704467773,4.445819950103759,4.3950523853302,4.304395174980163,,,
1992-08-10,,,4.315272808074951,4.416809463500977,4.391425895690918,4.311647725105286,,,
1992-08-11,,,4.206485748291016,4.358789157867432,4.376920700073242,4.311647725105286,,,
1992-08-12,,,4.206485748291016,4.300768852233887,4.369668054580688,4.309834599494934,,,
1992-08-13,,,4.351537704467773,4.286263942718506,4.369668054580688,4.318900394439697,,,
1992-08-14,,,4.569112777709961,4.329778957366943,4.387799453735352,4.335218620300293,,,
1992-08-17,,,4.605377197265625,4.387799835205078,4.402304649353027,4.358789467811585,,,
1992-08-18,,,4.641640663146973,4.47483081817627,4.416809988021851,4.384173488616943,,,
1992-08-19,,,4.605377197265625,4.554609107971191,4.427688980102539,4.400491738319397,,,
1992-08-20,,,4.677901744842529,4.619881916046142,4.453072929382325,4.422249412536621,,,
1992-08-21,,,4.786689758300781,4.663397312164307,4.496588134765625,4.445820260047912,,,
1992-08-24,,,4.677901744842529,4.6779022216796875,4.532851028442383,4.46213846206665,,,
1992-08-25,,,4.714163780212402,4.692406845092774,4.583618831634522,4.4802697658538815,4.413183565139771,,
1992-08-26,,,4.750427722930908,4.72141695022583,4.638013029098511,4.503840541839599,4.416084575653076,,
1992-08-27,,,4.714163780212402,4.728669357299805,4.674275636672974,4.521971845626831,4.41971079826355,,
1992-08-28,,,4.677901744842529,4.7069117546081545,4.68515453338623,4.536476993560791,4.421886577606201,,
1992-08-31,,,4.677901744842529,4.7069117546081545,4.6924069881439205,4.547355818748474,4.426963367462158,,
1992-09-01,,,4.659555912017822,4.695990180969238,4.694198513031006,4.555504250526428,4.430947980880737,,
1992-09-02,,,4.58674955368042,4.6632545471191404,4.692335748672486,4.560012364387513,4.434926996231079,,
1992-09-03,,,4.55034875869751,4.630491542816162,4.679580450057983,4.566326689720154,4.436727466583252,,
1992-09-04,,,4.477540493011475,4.590419292449951,4.648665523529052,4.572626829147339,4.436346530914307,,
1992-09-07,,,4.477540493011475,4.55034704208374,4.628629398345947,4.580740213394165,4.435240287780761,,
1992-09-08,,,4.477540493011475,4.5139439582824705,4.604967069625855,4.594292950630188,4.43123306274414,,
1992-09-09,,,4.623153209686279,4.521224689483643,4.592239618301392,4.615126323699951,4.432313871383667,,
1992-09-10,,,4.623153209686279,4.535785579681397,4.583138561248779,4.628707098960876,4.431218900680542,,
1992-09-11,,,4.623153209686279,4.564908123016357,4.577663707733154,4.631409120559693,4.430123929977417,,
1992-09-14,,,4.805167198181152,4.630433464050293,4.590390253067016,4.641398620605469,4.436295528411865,,
1992-09-15,,,4.695957660675049,4.674116897583008,4.594030427932739,4.644114470481872,4.445359716415405,,
1992-09-16,,,4.732359409332275,4.695958137512207,4.6085914134979244,4.650463581085205,4.459503469467163,,
