Date,GRADE,GPS,SYF,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2014-07-31,,,18.764503479003903,,,,,,
2014-08-01,,,18.764503479003903,,,,,,
2014-08-04,,,18.764503479003903,,,,,,
2014-08-05,,,18.764503479003903,,,,,,
2014-08-06,,,18.748193740844727,18.761241531372068,,,,,
2014-08-07,,,18.707393646240234,18.749819564819333,,,,,
2014-08-08,,,18.72371482849121,18.741661834716798,,,,,
2014-08-11,,,18.707393646240234,18.730239868164062,,,,,
2014-08-12,,,18.764503479003903,18.730239868164062,,,,,
2014-08-13,,,18.911354064941406,18.762871932983398,18.762056732177733,,,,
2014-08-14,,,18.77265739440918,18.775924682617188,18.76287212371826,,,,
2014-08-15,,,18.764503479003903,18.784082412719727,18.76287212371826,,,,
2014-08-18,,,18.903200149536133,18.823243713378908,18.77674179077148,,,,
2014-08-19,,,19.91484832763672,19.053312683105467,18.891776275634765,,,,
2014-08-20,,,20.551210403442383,19.381283950805663,19.07207794189453,,,,
2014-08-21,,,20.714374542236328,19.769627380371094,19.27277603149414,,,,
2014-08-22,,,20.68990898132324,20.15470848083496,19.469395446777344,,,,
2014-08-25,,,20.494102478027344,20.472888946533203,19.648066329956055,,,,
2014-08-26,,,20.436988830566406,20.57731704711914,19.815314865112306,,,,
2014-08-27,,,20.779645919799805,20.623004150390624,20.002144050598144,19.38210039138794,,,
2014-08-28,,,20.959135055541992,20.671956253051757,20.220791816711426,19.491831970214843,,,
2014-08-29,,,21.040719985961918,20.742118453979494,20.448413467407228,19.605642795562744,,,
2014-09-01,,,21.040719985961918,20.851441955566408,20.662165451049805,19.719453620910645,,,
2014-09-02,,,21.040719985961918,20.97218818664551,20.774752616882324,19.833264446258546,,,
2014-09-03,,,21.040719985961918,21.024402999877932,20.82370357513428,19.947890758514404,,,
2014-09-04,,,20.96729850769043,21.02603569030762,20.84899597167969,20.060886001586915,,,
2014-09-05,,,21.02440452575684,21.022772598266602,20.88244552612305,20.175920486450195,,,
2014-09-08,,,20.26565742492676,20.867760086059572,20.859601020812992,20.25383367538452,,,
2014-09-09,,,20.428829193115234,20.745381927490236,20.858785057067873,20.337049961090088,,,
2014-09-10,,,20.151447296142575,20.56752738952637,20.795965194702152,20.399054622650148,,,
2014-09-11,,,20.11064910888672,20.396197509765624,20.711116600036625,20.465954208374022,,,
2014-09-12,,,19.98827171325684,20.188970947265627,20.605871772766115,20.52714262008667,,,
2014-09-15,,,19.70272827148437,20.07638511657715,20.472072601318363,20.56711902618408,,,
2014-09-16,,,19.83326530456543,19.957272338867188,20.35132713317871,20.56303987503052,,,
2014-09-17,,,20.029067993164062,19.932796478271484,20.250161933898926,20.536932754516602,,,
2014-09-18,,,20.126972198486328,19.936061096191406,20.166129302978515,20.5075626373291,,,
2014-09-19,,,20.73069953918457,20.084546661376955,20.13675880432129,20.50960216522217,,,
2014-09-22,,,20.26565742492676,20.19713249206543,20.13675880432129,20.49817991256714,,,
2014-09-23,,,20.05354118347168,20.24118766784668,20.099230003356933,20.479007530212403,,,
2014-09-24,,,20.3309383392334,20.301561737060545,20.117179107666015,20.456572151184083,,,
2014-09-25,,,20.094331741333008,20.295033645629882,20.115547370910644,20.413331985473633,,,
2014-09-26,,,20.208553314208984,20.190604400634765,20.137575531005858,20.371723651885986,,,
2014-09-29,,,20.151447296142575,20.16776237487793,20.18244743347168,20.32726001739502,,,
2014-09-30,,,20.029067993164062,20.162867736816406,20.20202770233154,20.276677417755128,,,
2014-10-01,,,19.75983619689941,20.048647308349608,20.175104522705077,20.212633228302003,,,
2014-10-02,,,20.05354118347168,20.04048919677734,20.167761421203615,20.166945362091063,,,
2014-10-03,,,20.25750732421875,20.050279998779295,20.120442199707032,20.12860050201416,,,
2014-10-06,,,20.396196365356445,20.09922981262207,20.13349609375,20.135127449035643,,,
2014-10-07,,,20.27382469177246,20.14818115234375,20.155524444580077,20.127377223968505,,,
2014-10-08,,,20.41251564025879,20.278717041015625,20.163682174682616,20.140430641174316,19.968205451965332,,
2014-10-09,,,20.029067993164062,20.273822402954103,20.157155799865723,20.136351585388184,19.993496742248535,,
2014-10-10,,,19.74352264404297,20.171025466918945,20.110652732849122,20.12411413192749,20.013077125549316,,
2014-10-13,,,19.95564079284668,20.082914352416992,20.09107208251953,20.136759757995605,20.036899871826172,,
2014-10-14,,,20.27382469177246,20.082914352416992,20.115547752380373,20.158787727355957,20.06708629608154,,
2014-10-15,,,20.00459671020508,20.00133056640625,20.14002380371094,20.157564163208008,20.09221435546875,,
2014-10-16,,,20.069862365722656,20.009489440917967,20.141655921936035,20.154708671569825,20.1194637298584,,
2014-10-17,,,20.21671485900879,20.104127883911133,20.13757667541504,20.129009437561034,20.14932373046875,,
2014-10-20,,,20.15959930419922,20.14491958618164,20.113916969299318,20.123706531524657,20.178367843627928,,
2014-10-21,,,20.534893035888672,20.197133255004882,20.14002380371094,20.147774124145506,20.213775634765625,,
2014-10-22,,,20.706218719482425,20.337457656860355,20.169394111633302,20.166538143157958,20.249672927856444,,
2014-10-23,,,21.057037353515625,20.534892654418947,20.272191047668457,20.21467342376709,20.295360527038575,,
2014-10-24,,,21.30179023742676,20.751907730102538,20.428017807006835,20.26933526992798,20.34610626220703,,
2014-10-27,,,21.64444351196289,21.048876571655274,20.596898078918457,20.343985080718994,20.400931129455568,,
2014-10-28,,,21.905517578125,21.32300148010254,20.76006736755371,20.43780755996704,20.440744514465333,,
2014-10-29,,,22.027891159057617,21.587335968017577,20.962396812438964,20.55121030807495,20.470278129577636,,
