Date,GRADE,GPS,FOX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2019-03-13,,,35.85757827758789,,,,,,
2019-03-14,,,36.552772521972656,,,,,,
2019-03-15,,,37.52239990234375,,,,,,
2019-03-18,,,37.37603378295898,,,,,,
2019-03-19,,,36.177734375,36.697303771972656,,,,,
2019-03-20,,,34.394004821777344,36.404589080810545,,,,,
2019-03-21,,,35.56486511230469,36.207007598876956,,,,,
2019-03-22,,,34.26594543457031,35.55571670532227,,,,,
2019-03-25,,,33.34205627441406,34.74892120361328,,,,,
2019-03-26,,,33.57988739013672,34.22935180664062,35.46332778930664,,,,
2019-03-27,,,33.113380432128906,33.973226928710936,35.18890800476074,,,,
2019-03-28,,,32.628570556640625,33.38596801757812,34.79648780822754,,,,
2019-03-29,,,32.82067108154297,33.09691314697265,34.32631492614746,,,,
2019-04-01,,,33.067649841308594,33.042031860351564,33.895476531982425,,,,
2019-04-02,,,32.6560173034668,32.85725784301758,33.5433048248291,,,,
2019-04-03,,,32.47306442260742,32.72919464111328,33.35121078491211,,,,
2019-04-04,,,32.9578742980957,32.7950553894043,33.09051170349121,,,,
2019-04-05,,,33.82686996459961,32.99629516601563,33.04660415649414,,,,
2019-04-08,,,33.70795440673828,33.12435607910156,33.083193969726565,,,,
2019-04-09,,,33.74454498291016,33.342061614990236,33.0996597290039,34.281493759155275,,,
2019-04-10,,,32.866397857666016,33.420728302001955,33.074961471557614,34.13193473815918,,,
2019-04-11,,,33.30546569824219,33.49024658203125,33.14265098571777,33.96956939697266,,,
2019-04-12,,,33.7994270324707,33.48475799560547,33.240526580810545,33.78342075347901,,,
2019-04-15,,,33.82686996459961,33.508541107177734,33.31644859313965,33.60596256256103,,,
2019-04-16,,,34.037261962890625,33.56708450317383,33.45457305908203,33.498938941955565,,,
2019-04-17,,,34.95199203491211,33.98420333862305,33.7024658203125,33.526838302612305,,,
2019-04-18,,,34.68671798706055,34.26045379638672,33.87535018920899,33.482930946350095,,,
2019-04-19,,,34.68671798706055,34.43791198730469,33.961334991455075,33.50396957397461,,,
2019-04-22,,,34.064701080322266,34.485478210449216,33.997009658813475,33.54010181427002,,,
2019-04-23,,,34.394004821777344,34.556826782226565,34.0619556427002,33.58080768585205,,,
2019-04-24,,,34.25679016113281,34.4177864074707,34.200994873046874,33.63797817230225,,,
2019-04-25,,,34.430599212646484,34.36656265258789,34.31350822448731,33.728079605102536,,,
2019-04-26,,,34.677574157714844,34.36473388671875,34.40132293701172,33.82092475891113,,,
2019-04-29,,,35.42764663696289,34.637322998046876,34.56140060424805,33.938924598693845,,,
2019-04-30,,,35.217262268066406,34.80197448730469,34.67940063476563,34.066986846923825,,,
2019-05-01,,,35.43680191040039,35.037976837158205,34.727881622314456,34.21517372131348,,,
2019-05-02,,,33.69880294799805,34.89161758422851,34.6290901184082,34.252220153808594,,,
2019-05-03,,,33.86346435546875,34.7287956237793,34.54676475524902,34.25404987335205,,,
2019-05-06,,,34.12873840332031,34.46901397705078,34.55316848754883,34.27508907318115,,,
2019-05-07,,,33.570743560791016,34.1397102355957,34.470842361450195,34.2663990020752,,,
2019-05-08,,,33.680511474609375,33.7884521484375,34.41321449279785,34.307104682922365,,,
2019-05-09,,,34.732460021972656,33.99518356323242,34.44340057373047,34.37845439910889,,,
2019-05-10,,,34.805633544921875,34.183617401123044,34.456206512451175,34.428764724731444,,,
2019-05-13,,,34.30253219604492,34.21837615966797,34.343695068359374,34.45254783630371,,,
2019-05-14,,,34.28423309326172,34.36107406616211,34.25039215087891,34.46489639282227,,,
2019-05-15,,,34.05556106567383,34.436083984375,34.11226806640625,34.42007484436035,,,
2019-05-16,,,33.22314453125,34.134220886230466,34.06470222473145,34.346896171569824,,,
2019-05-17,,,33.90436553955078,33.95396728515625,34.06879234313965,34.30777854919434,,,
2019-05-20,,,33.76627731323242,33.84671630859375,34.03254623413086,34.29285736083985,,,
2019-05-21,,,34.2265625,33.835182189941406,34.098128128051755,34.284485244750975,34.23878273010254,,
2019-05-22,,,33.75707244873047,33.77548446655273,34.105784225463864,34.25949935913086,34.19677261352539,,
2019-05-23,,,33.60977935791016,33.85281143188477,33.99351615905762,34.218458366394046,34.13791275024414,,
2019-05-24,,,33.5545539855957,33.78284912109375,33.868408203125,34.16230735778809,34.05855583190918,,
