Date,GRADE,GPS,SRE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1998-06-29,,,5.512181282043457,,,,,,
1998-06-30,,,5.367443084716797,,,,,,
1998-07-01,,,5.3795037269592285,,,,,,
1998-07-02,,,5.343319416046143,,,,,,
1998-07-03,,,5.343319416046143,5.389153385162354,,,,,
1998-07-06,,,5.246825695037842,5.33608226776123,,,,,
1998-07-07,,,5.222701549530029,5.307133960723877,,,,,
1998-07-08,,,5.258889198303223,5.283011054992675,,,,,
1998-07-09,,,5.210641384124756,5.256475448608398,,,,,
1998-07-10,,,5.210641384124756,5.2299398422241214,5.309546613693238,,,,
1998-07-13,,,5.186519145965576,5.217878532409668,5.276980400085449,,,,
1998-07-14,,,5.210641384124756,5.215466499328613,5.2613002300262455,,,,
1998-07-15,,,5.198579788208008,5.2034046173095705,5.243207836151123,,,,
1998-07-16,,,5.138272285461426,5.188930797576904,5.222703123092652,,,,
1998-07-17,,,5.114150524139404,5.169632625579834,5.199786233901977,,,,
1998-07-20,,,5.077962875366211,5.147921371459961,5.1828999519348145,,,,
1998-07-21,,,5.017655849456787,5.109324264526367,5.162395381927491,,,,
1998-07-22,,,5.02971887588501,5.075552082061767,5.139478349685669,,,,
1998-07-23,,,5.077962875366211,5.063490200042724,5.126210498809814,,,,
1998-07-24,,,5.041780948638916,5.049016284942627,5.1093244552612305,5.209435534477234,,,
1998-07-27,,,5.0538411140441895,5.044191932678222,5.096056652069092,5.18651852607727,,,
1998-07-28,,,4.969409465789795,5.034542655944824,5.071933460235596,5.16661684513092,,,
1998-07-29,,,4.9211602210998535,5.012830924987793,5.044191503524781,5.143699669837952,,,
1998-07-30,,,4.969409465789795,4.99112024307251,5.027305221557617,5.125004172325134,,,
1998-07-31,,,4.860854148864746,4.954934883117676,5.001975584030151,5.100880908966064,,,
1998-08-03,,,4.800546646118164,4.90427598953247,4.974233961105346,5.07856695652008,,,
1998-08-04,,,4.64374303817749,4.83914270401001,4.936842679977417,5.049619030952454,,,
1998-08-05,,,4.84879207611084,4.824669075012207,4.91875,5.029114174842834,,,
1998-08-06,,,4.776422500610352,4.786071681976319,4.888595962524414,5.007403230667114,,,
1998-08-07,,,4.7161149978637695,4.757123851776123,4.856029367446899,4.982676911354065,,,
1998-08-10,,,4.776422500610352,4.752299022674561,4.828287506103516,4.9621720790863035,,,
1998-08-11,,,4.6678643226623535,4.757123279571533,4.798132991790771,4.935033226013184,,,
1998-08-12,,,4.84879207611084,4.757123279571533,4.79089617729187,4.917543840408325,,,
1998-08-13,,,4.812607288360596,4.764360237121582,4.77521595954895,4.901260590553283,,,
1998-08-14,,,4.776422500610352,4.776421737670899,4.766772794723511,4.884374189376831,,,
1998-08-17,,,4.872913837432861,4.795720005035401,4.77400951385498,4.874121737480164,,,
1998-08-18,,,4.8246684074401855,4.827080821990966,4.79210205078125,4.864472365379333,,,
1998-08-19,,,4.800546646118164,4.8174317359924315,4.787277507781982,4.853013753890991,,,
1998-08-20,,,4.836732864379883,4.822256851196289,4.793308544158935,4.8409522533416744,,,
1998-08-21,,,4.872913837432861,4.841555118560791,4.808988428115844,4.832508897781372,,,
1998-08-24,,,4.897036552429199,4.846379661560059,4.82104983329773,4.824668669700623,,,
1998-08-25,,,4.969409465789795,4.87532787322998,4.851204347610474,4.824668669700623,,,
1998-08-26,,,4.945285797119141,4.904275703430176,4.8608537197113035,4.825874948501587,,,
1998-08-27,,,4.933221817016602,4.9235734939575195,4.872915172576905,4.824065566062927,,,
1998-08-28,,,4.945285797119141,4.938047885894775,4.889801502227783,4.828287148475647,,,
1998-08-31,,,4.9091010093688965,4.9404607772827145,4.893420219421387,4.833714866638184,,,
1998-09-01,,,4.884976387023926,4.923574161529541,4.899451017379761,4.845776534080505,,,
1998-09-02,,,4.836732864379883,4.9018635749816895,4.903069639205933,4.845173573493957,,,
1998-09-03,,,4.8246684074401855,4.880152893066406,4.9018631935119625,4.847585868835449,,,
1998-09-04,,,4.84879207611084,4.860854148864746,4.899451017379761,4.854219722747803,4.996667976379395,,
1998-09-07,,,4.84879207611084,4.848792362213135,4.894626569747925,4.857838201522827,4.983400192260742,,
1998-09-08,,,4.884976387023926,4.848792362213135,4.886183261871338,4.868693804740905,4.973750858306885,,
1998-09-09,,,4.872913837432861,4.8560285568237305,4.87894606590271,4.869899892807007,4.963619060516358,,
1998-09-10,,,4.884976387023926,4.8680901527404785,4.874121522903442,4.873518347740173,4.954452199935913,,
1998-09-11,,,4.897036552429199,4.87773904800415,4.869296598434448,4.879549050331116,4.945526542663575,,
1998-09-14,,,4.969409465789795,4.901862525939942,4.875327444076538,4.884373831748962,4.939978218078613,,
1998-09-15,,,5.077962875366211,4.940459823608398,4.894626092910767,4.897038555145263,4.937083444595337,,
1998-09-16,,,5.102086544036865,4.986294364929199,4.921161460876465,4.912115550041198,4.93394739151001,,
1998-09-17,,,5.080540180206299,5.025407123565674,4.9467486381530765,4.9243059158325195,4.931345367431641,,
1998-09-18,,,5.153995990753174,5.076799011230468,4.977269029617309,4.938360023498535,4.930212459564209,,
1998-09-21,,,5.153995990753174,5.113716316223145,5.007789421081543,4.951207995414734,4.929561996459961,,
1998-09-22,,,5.105023384094238,5.11912841796875,5.029794120788575,4.957988691329956,4.92744963645935,,
1998-09-23,,,5.227448463439941,5.144200801849365,5.065247583389282,4.9720968246459964,4.928027009963989,,
1998-09-24,,,5.141749858856201,5.156442737579345,5.09092493057251,4.982523226737976,4.928096561431885,,
1998-09-25,,,5.166237831115723,5.158891105651856,5.117845058441162,4.9935708284378055,4.929138307571411,,
