Date,GRADE,GPS,PNR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.4501608610153198,,,,,,
1983-11-22,,,1.4501608610153198,,,,,,
1983-11-23,,,1.4358036518096924,,,,,,
1983-11-24,,,1.4358036518096924,,,,,,
1983-11-25,,,1.4358036518096924,1.4415465354919434,,,,,
1983-11-28,,,1.4358036518096924,1.438675093650818,,,,,
1983-11-29,,,1.4501608610153198,1.438675093650818,,,,,
1983-11-30,,,1.457339882850647,1.4429823398590087,,,,,
1983-12-01,,,1.5075925588607788,1.457340121269226,,,,,
1983-12-02,,,1.5075925588607788,1.4716979026794434,1.4566222190856934,,,,
1983-12-05,,,1.5075925588607788,1.4860556840896606,1.4623653888702393,,,,
1983-12-06,,,1.5147721767425537,1.4989779472351075,1.4688265204429627,,,,
1983-12-07,,,1.5075925588607788,1.5090284824371338,1.4760054111480714,,,,
1983-12-08,,,1.4501608610153198,1.497542142868042,1.477441132068634,,,,
1983-12-09,,,1.4501608610153198,1.4860558032989502,1.4788768529891967,,,,
1983-12-12,,,1.457339882850647,1.4760052680969238,1.4810304760932922,,,,
1983-12-13,,,1.457339882850647,1.4645188093185424,1.481748378276825,,,,
1983-12-14,,,1.4932355880737305,1.4616474151611327,1.4853379487991334,,,,
1983-12-15,,,1.4716976881027222,1.4659547805786133,1.4817484617233276,,,,
1983-12-16,,,1.478877067565918,1.471698021888733,1.4788769125938415,1.4677495658397675,,,
1983-12-19,,,1.5075925588607788,1.4817485570907594,1.4788769125938415,1.4706211507320404,,,
1983-12-20,,,1.5147721767425537,1.4932350158691405,1.4788769125938415,1.4738517165184022,,,
1983-12-21,,,1.5219517946243286,1.4989782571792603,1.4803128361701965,1.4781591236591338,,,
1983-12-22,,,1.5434885025024414,1.513336420059204,1.4896456003189087,1.4835433661937714,,,
1983-12-23,,,1.5506677627563477,1.5276945590972901,1.4996962904930116,1.4892865717411041,,,
1983-12-26,,,1.5506677627563477,1.5363095998764038,1.5090290784835816,1.495029777288437,,,
1983-12-27,,,1.6009199619293213,1.5535391569137573,1.523387086391449,1.5025677323341369,,,
1983-12-28,,,1.608099102973938,1.570768618583679,1.5348734378814697,1.5101056933403014,,,
1983-12-29,,,1.6942473649978638,1.6009203910827636,1.557128405570984,1.5194384336471558,,,
1983-12-30,,,1.7732168436050415,1.6454302072525024,1.5865623831748963,1.532719647884369,,,
1984-01-02,,,1.7732168436050415,1.6899400234222413,1.6131248116493224,1.546000862121582,,,
1984-01-03,,,1.6511739492416382,1.6999908208847045,1.626764988899231,1.5528209507465363,,,
1984-01-04,,,1.6368149518966677,1.7057339906692506,1.6382513046264648,1.5592820703983308,,,
1984-01-05,,,1.6368149518966677,1.6942475080490111,1.6475839495658875,1.568614774942398,,,
1984-01-06,,,1.6942473649978638,1.6784536123275757,1.661941909790039,1.5808191001415253,,,
