Date,GRADE,GPS,HON,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,3.042675495147705,,,,,,
1983-11-22,,,3.042675495147705,,,,,,
1983-11-23,,,3.035807847976685,,,,,,
1983-11-24,,,3.035807847976685,,,,,,
1983-11-25,,,3.035807847976685,3.038554906845093,,,,,
1983-11-28,,,3.008333206176758,3.0316864490509037,,,,,
1983-11-29,,,2.9877285957336426,3.020697069168091,,,,,
1983-11-30,,,2.994596481323242,3.0124547958374026,,,,,
1983-12-01,,,3.0014655590057373,3.005586338043213,,,,,
1983-12-02,,,2.9671247005462646,2.9918497085571287,3.0152023077011108,,,,
1983-12-05,,,2.960255622863769,2.9822341918945314,3.006960320472717,,,,
1983-12-06,,,2.946519374847412,2.973992347717285,2.997344708442688,,,,
1983-12-07,,,2.946519374847412,2.964376926422119,2.9884158611297607,,,,
1983-12-08,,,2.912177085876465,2.9465192317962647,2.9760527849197387,,,,
1983-12-09,,,2.8915719985961914,2.93140869140625,2.9616291999816893,,,,
1983-12-12,,,2.8572301864624023,2.9108036041259764,2.946518898010254,,,,
1983-12-13,,,2.8434929847717285,2.89019832611084,2.9320953369140623,,,,
1983-12-14,,,2.864097833633423,2.873714017868042,2.9190454721450805,,,,
1983-12-15,,,2.864097833633423,2.8640981674194337,2.905308699607849,,,,
1983-12-16,,,2.8915719985961914,2.8640981674194337,2.897753429412842,2.956477868556976,,,
1983-12-19,,,2.912177085876465,2.875087547302246,2.892945575714111,2.949952948093414,,,
1983-12-20,,,2.932781934738159,2.892945337295532,2.891571831703186,2.944458270072937,,,
1983-12-21,,,2.946519374847412,2.90942964553833,2.891571831703186,2.939993846416473,,,
1983-12-22,,,2.994596481323242,2.935529375076294,2.8998137712478638,2.9379332780838014,,,
1983-12-23,,,3.0014655590057373,2.957508087158203,2.910803127288818,2.9362161636352537,,,
1983-12-26,,,3.0014655590057373,2.9753657817840575,2.925226664543152,2.9358727812767027,,,
1983-12-27,,,3.0564112663269043,3.0000916481018067,2.9465184926986696,2.939306914806366,,,
1983-12-28,,,3.0701475143432617,3.0248172760009764,2.9671234607696535,2.9430844664573668,,,
1983-12-29,,,3.063279151916504,3.038553810119629,2.9870415925979614,2.946175146102905,,,
1983-12-30,,,3.063279151916504,3.0509165287017823,3.0042123079299925,2.9509828686714172,,,
1984-01-02,,,3.063279151916504,3.0632792472839356,3.0193225145339966,2.956134045124054,,,
1984-01-03,,,3.0564112663269043,3.0632792472839356,3.031685447692871,2.9616286396980285,,,
1984-01-04,,,3.028939723968506,3.0550376892089846,3.0399274826049805,2.9657496571540833,,,
1984-01-05,,,3.0564112663269043,3.0536641120910644,3.0461089611053467,2.9729613661766052,,,
1984-01-06,,,2.994596481323242,3.039927577972412,3.0454220533370973,2.978112590312958,,,
1984-01-09,,,2.9808614253997803,3.0234440326690675,3.0433616399765016,2.9842941522598267,,,
1984-01-10,,,3.015202045440674,3.015202188491821,3.0392407178878784,2.992879605293274,,,
1984-01-11,,,3.015202045440674,3.012454652786255,3.0337461709976195,3.0004348158836365,,,
1984-01-12,,,3.015202045440674,3.004212808609009,3.0289384603500364,3.007990026473999,,,
1984-01-13,,,3.015202045440674,3.008333921432495,3.0241307497024534,3.014171528816223,,,
1984-01-16,,,3.0014655590057373,3.0124547481536865,3.0179493904113768,3.0186359524726867,,,
1984-01-17,,,2.994596481323242,3.0083336353302004,3.0117679119110106,3.021726679801941,,,
1984-01-18,,,2.994596481323242,3.004212522506714,3.0083335876464843,3.0241305351257326,,,
1984-01-19,,,2.9877285957336426,2.9987178325653074,3.001465320587158,3.0237871408462524,,,
1984-01-20,,,2.9808614253997803,2.9918497085571287,3.000091814994812,3.0227569341659546,,,
1984-01-23,,,2.960255622863769,2.983607721328735,2.998031234741211,3.0206964373588563,,,
1984-01-24,,,2.93964958190918,2.972618341445923,2.9904759883880616,3.01485835313797,,,
1984-01-25,,,2.9671247005462646,2.9671239852905273,2.985668253898621,3.00970721244812,,,
1984-01-26,,,2.93964958190918,2.9575081825256353,2.9781130075454714,3.003525733947754,,,
1984-01-27,,,2.9671247005462646,2.9547608375549315,2.97330527305603,2.9987180113792418,2.9829208135604857,,
1984-01-30,,,2.884704351425171,2.939650583267212,2.9616291522979736,2.989789271354675,2.979761390686035,,
1984-01-31,,,2.8915719985961914,2.9300350666046144,2.9513267040252686,2.98154730796814,2.976739320755005,,
1984-02-01,,,2.8915719985961914,2.9149245262145995,2.9410242557525637,2.9746789216995237,2.973854603767395,,
