Date,GRADE,GPS,MS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1993-02-23,,,3.561328411102295,,,,,,
1993-02-24,,,3.661848545074463,,,,,,
1993-02-25,,,3.7480101585388175,,,,,,
1993-02-26,,,3.8054492473602295,,,,,,
1993-03-01,,,3.676208972930908,3.6905690670013427,,,,,
1993-03-02,,,3.7767317295074463,3.733649730682373,,,,,
1993-03-03,,,3.7623708248138423,3.753754186630249,,,,,
1993-03-04,,,3.7480101585388175,3.7537541866302484,,,,,
1993-03-05,,,3.8198089599609375,3.7566261291503897,,,,,
1993-03-08,,,3.8054492473602295,3.7824741840362543,3.7365216255187987,,,,
1993-03-09,,,3.920333623886109,3.811194562911987,3.7724221467971804,,,,
1993-03-10,,,4.078294277191162,3.8743792533874513,3.8140667200088503,,,,
1993-03-11,,,4.078294277191162,3.94043607711792,3.8470951318740845,,,,
1993-03-12,,,4.150096893310547,4.006493663787841,3.881559896469116,,,,
1993-03-15,,,4.078294277191162,4.061062669754028,3.9217684268951416,,,,
1993-03-16,,,3.9921329021453857,4.075422525405884,3.9433085441589357,,,,
1993-03-17,,,4.035212516784668,4.066806173324585,3.970592713356018,,,,
1993-03-18,,,4.135735511779785,4.07829442024231,4.009365248680115,,,,
1993-03-19,,,4.092653751373291,4.066805791854859,4.0366497278213505,,,,
1993-03-22,,,4.078294277191162,4.066805791854859,4.063934230804444,3.900227928161621,,,
1993-03-23,,,3.9921329021453857,4.066805791854859,4.071114158630371,3.9217681527137755,,,
1993-03-24,,,3.949051856994629,4.049573659896851,4.058189916610718,3.936128318309784,,,
1993-03-25,,,3.949051856994629,4.012236928939819,4.0452656745910645,3.9461804032325745,,,
1993-03-26,,,4.2075371742248535,4.035213613510132,4.051009702682495,3.9662847995758055,,,
1993-03-29,,,4.250617027282715,4.069678163528442,4.068241977691651,3.995005202293396,,,
1993-03-30,,,4.408578395843506,4.152967262268066,4.109886527061462,4.026597535610199,,,
1993-03-31,,,4.408578395843506,4.244872570037842,4.147223114967346,4.058907914161682,,,
1993-04-01,,,4.250617027282715,4.305185604095459,4.158711266517639,4.084038257598877,,,
1993-04-02,,,4.092653751373291,4.2822089195251465,4.158711266517639,4.0976804971694945,,,
1993-04-05,,,4.164455890655518,4.264976692199707,4.167327427864075,4.115630829334259,,,
1993-04-06,,,4.10701322555542,4.20466365814209,4.178815460205078,4.124964809417724,,,
1993-04-07,,,4.164455890655518,4.155839157104492,4.200355863571167,4.129272890090943,,,
1993-04-08,,,4.150096893310547,4.135735130310058,4.220460367202759,4.132863020896911,,,
1993-04-09,,,4.150096893310547,4.14722375869751,4.2147163391113285,4.132863020896911,,,
1993-04-12,,,4.250617027282715,4.164455986022949,4.2147163391113285,4.14147915840149,,,
1993-04-13,,,4.379857540130615,4.2190248489379885,4.211844253540039,4.160865390300751,,,
1993-04-14,,,4.494740009307861,4.285081672668457,4.220460414886475,4.18384176492691,,,
1993-04-15,,,4.3080596923828125,4.31667423248291,4.226204681396484,4.192457973957062,,,
1993-04-16,,,4.293699264526367,4.345394706726074,4.246309232711792,4.202510249614716,,,
1993-04-19,,,4.193173885345459,4.333906078338623,4.249181032180786,4.208254230022431,,,
1993-04-20,,,4.063934803009033,4.270721530914306,4.244873189926148,4.211844325065613,,,
1993-04-21,,,4.006494522094727,4.173072433471679,4.2290770530700685,4.214716458320618,,,
1993-04-22,,,4.006494522094727,4.112759399414062,4.214716815948487,4.217588591575622,,,
1993-04-23,,,3.949051856994629,4.043829917907715,4.194612312316894,4.204664325714111,,,
1993-04-26,,,3.8628909587860103,3.977773332595825,4.1558397054672245,4.1852780222892765,,,
