Date,GRADE,GPS,GWW,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,3.831611394882202,,,,,,
1983-11-22,,,3.831611394882202,,,,,,
1983-11-23,,,3.856385946273804,,,,,,
1983-11-24,,,3.856385946273804,,,,,,
1983-11-25,,,3.8481271266937256,3.8448243618011473,,,,,
1983-11-28,,,3.9059321880340576,3.8596885204315186,,,,,
1983-11-29,,,3.930705785751343,3.8795073986053468,,,,,
1983-11-30,,,4.029799938201904,3.9141901969909667,,,,,
1983-12-01,,,4.104121208190918,3.9637372493743896,,,,,
1983-12-02,,,4.095861911773682,4.013284206390381,3.929054284095764,,,,
1983-12-05,,,4.12889575958252,4.057876920700074,3.9587827205657957,,,,
1983-12-06,,,4.12889575958252,4.097514915466309,3.988511157035828,,,,
1983-12-07,,,4.161921501159668,4.1239392280578615,4.019064712524414,,,,
1983-12-08,,,4.104121208190918,4.1239392280578615,4.043838238716125,,,,
1983-12-09,,,4.104121208190918,4.125591087341308,4.069437646865845,,,,
1983-12-12,,,4.145411014556885,4.1288941383361815,4.093385529518128,,,,
1983-12-13,,,4.11237907409668,4.125590801239014,4.1115528583526615,,,,
1983-12-14,,,4.120635032653809,4.117333507537841,4.120636367797852,,,,
1983-12-15,,,4.087606430053711,4.114030551910401,4.118984889984131,,,,
1983-12-16,,,4.095861911773682,4.112378692626953,4.118984889984131,4.024019587039947,,,
1983-12-19,,,4.054572105407715,4.094210910797119,4.11155252456665,4.035167622566223,,,
1983-12-20,,,3.9802520275115967,4.0677855014801025,4.096688151359558,4.0425996541976925,,,
1983-12-21,,,3.988512992858887,4.041361093521118,4.079347300529481,4.049206006526947,,,
1983-12-22,,,3.9802520275115967,4.019890213012696,4.066960382461548,4.055399310588837,,,
1983-12-23,,,3.9719953536987305,3.9951169013977053,4.0537477970123295,4.061592721939087,,,
1983-12-26,,,3.9719953536987305,3.9786015510559083,4.036406230926514,4.064895880222321,,,
1983-12-27,,,4.046314239501953,3.9918139934539796,4.029799747467041,4.070676302909851,,,
1983-12-28,,,4.029799938201904,4.000071382522583,4.02071623802185,4.070676302909851,,,
1983-12-29,,,4.029799938201904,4.009980964660644,4.01493558883667,4.066960239410401,,,
1983-12-30,,,4.062829971313477,4.028147888183594,4.01163239479065,4.06530864238739,,,
1984-01-02,,,4.062829971313477,4.046314811706543,4.012458181381225,4.062005352973938,,,
1984-01-03,,,4.095861911773682,4.056224346160889,4.024019169807434,4.0603536605834964,,,
1984-01-04,,,4.211472988128662,4.09255895614624,4.046315169334411,4.062831234931946,,,
1984-01-05,,,4.294048309326172,4.145408630371094,4.0776947975158695,4.072327589988708,,,
1984-01-06,,,4.27753210067749,4.188349056243896,4.108248472213745,4.080998134613037,,,
1984-01-09,,,4.269274711608887,4.229638004302979,4.137976408004761,4.087191319465637,,,
1984-01-10,,,4.25275993347168,4.261017608642578,4.158620977401734,4.094210362434387,,,
1984-01-11,,,4.203214168548584,4.259365844726562,4.1759624004364015,4.098339319229126,,,
1984-01-12,,,4.227985858917236,4.246153354644775,4.195780992507935,4.105358290672302,,,
1984-01-13,,,4.12889575958252,4.216426086425781,4.202387571334839,4.107009983062744,,,
1984-01-16,,,4.079345226287842,4.178440189361572,4.204039096832275,4.10824863910675,,,
1984-01-17,,,4.046314239501953,4.137151050567627,4.199084329605102,4.111551749706268,,,
1984-01-18,,,3.9719953536987305,4.090907287597656,4.175136566162109,4.11072586774826,,,
1984-01-19,,,3.9802520275115967,4.041360521316529,4.143756937980652,4.11072586774826,,,
1984-01-20,,,3.9637393951416016,4.008329248428344,4.112377667427063,4.110313069820404,,,
1984-01-23,,,3.947221279144287,3.981904458999634,4.080172324180603,4.109074366092682,,,
1984-01-24,,,3.914187669754028,3.955479145050049,4.046315097808838,4.102468037605286,,,
1984-01-25,,,3.8398711681365967,3.929054307937622,4.009980797767639,4.09297159910202,,,
1984-01-26,,,3.782066583633423,3.889417219161987,3.965388870239258,4.080584931373596,,,
1984-01-27,,,3.7160027027130127,3.8398698806762694,3.924099564552307,4.063243567943573,4.037231740951538,,
1984-01-30,,,3.707746982574463,3.7919750213623047,3.8869397401809693,4.045489418506622,4.034754452705383,,
1984-01-31,,,3.6664586067199703,3.7424292087554933,3.848954176902771,4.024019253253937,4.031451396942138,,
1984-02-01,,,3.699486494064331,3.71435227394104,3.821703290939331,3.99841992855072,4.028313407897949,,
1984-02-02,,,3.699486494064331,3.6978362560272218,3.7936267375946047,3.9686918377876284,4.02517541885376,,
1984-02-03,,,3.7160027027130127,3.6978362560272218,3.7688530683517456,3.9406153678894045,4.022532930374146,,
1984-02-06,,,3.6664586067199703,3.689578580856323,3.7407768011093134,3.9104745626449584,4.017743458747864,,
1984-02-07,,,3.7325186729431152,3.7027905941009522,3.722609901428222,3.88446249961853,4.013779716491699,,
1984-02-08,,,3.7160027027130127,3.7060938358306883,3.7102230548858635,3.8601019263267515,4.007503771781922,,
1984-02-09,,,3.699486494064331,3.7060938358306883,3.7019650459289544,3.8336769580841064,3.99941107749939,,
1984-02-10,,,3.699486494064331,3.7027905941009522,3.700313425064086,3.812206494808197,3.9914835691452026,,
1984-02-13,,,3.658198595046997,3.7011385917663575,3.6953585863113396,3.7911491632461547,3.9820696258544923,,
1984-02-14,,,3.658198595046997,3.6862745761871336,3.694532585144043,3.771743381023407,3.9726556825637815,,
1984-02-15,,,3.6416845321655273,3.6714109420776366,3.6887523889541627,3.755227839946747,3.962250943183899,,
