Date,GRADE,GPS,WRB,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.1327658891677856,,,,,,
1983-11-22,,,0.1327658891677856,,,,,,
1983-11-23,,,0.1327658891677856,,,,,,
1983-11-24,,,0.1327658891677856,,,,,,
1983-11-25,,,0.1327658891677856,0.1327658891677856,,,,,
1983-11-28,,,0.1327658891677856,0.1327658891677856,,,,,
1983-11-29,,,0.1327658891677856,0.1327658891677856,,,,,
1983-11-30,,,0.1327658891677856,0.1327658891677856,,,,,
1983-12-01,,,0.1327658891677856,0.1327658891677856,,,,,
1983-12-02,,,0.1327658891677856,0.1327658891677856,0.1327658891677856,,,,
1983-12-05,,,0.1327658891677856,0.1327658891677856,0.1327658891677856,,,,
1983-12-06,,,0.1327658891677856,0.1327658891677856,0.1327658891677856,,,,
1983-12-07,,,0.1327658891677856,0.1327658891677856,0.1327658891677856,,,,
1983-12-08,,,0.1327658891677856,0.1327658891677856,0.1327658891677856,,,,
1983-12-09,,,0.1327658891677856,0.1327658891677856,0.1327658891677856,,,,
1983-12-12,,,0.1327658891677856,0.1327658891677856,0.1327658891677856,,,,
1983-12-13,,,0.1327658891677856,0.1327658891677856,0.1327658891677856,,,,
1983-12-14,,,0.1327658891677856,0.1327658891677856,0.1327658891677856,,,,
1983-12-15,,,0.1352713108062744,0.13326697349548336,0.13301643133163446,,,,
1983-12-16,,,0.1352713108062744,0.1337680578231811,0.13326697349548336,0.1330164313316345,,,
1983-12-19,,,0.1352713108062744,0.13426914215087887,0.13351751565933223,0.1331417024135589,,,
1983-12-20,,,0.1352713108062744,0.13477022647857662,0.1337680578231811,0.13326697349548336,,,
1983-12-21,,,0.1352713108062744,0.1352713108062744,0.13401859998702997,0.13339224457740778,,,
1983-12-22,,,0.1352713108062744,0.1352713108062744,0.13426914215087887,0.13351751565933223,,,
1983-12-23,,,0.1352713108062744,0.1352713108062744,0.13451968431472777,0.13364278674125668,,,
1983-12-26,,,0.1352713108062744,0.1352713108062744,0.13477022647857662,0.1337680578231811,,,
1983-12-27,,,0.1352713108062744,0.1352713108062744,0.1350207686424255,0.13389332890510555,,,
1983-12-28,,,0.1352713108062744,0.1352713108062744,0.1352713108062744,0.13401859998702997,,,
1983-12-29,,,0.1352713108062744,0.1352713108062744,0.1352713108062744,0.13414387106895442,,,
1983-12-30,,,0.1352713108062744,0.1352713108062744,0.1352713108062744,0.13426914215087887,,,
1984-01-02,,,0.1352713108062744,0.1352713108062744,0.1352713108062744,0.1343944132328033,,,
1984-01-03,,,0.1352713108062744,0.1352713108062744,0.1352713108062744,0.13451968431472774,,,
1984-01-04,,,0.1352713108062744,0.1352713108062744,0.1352713108062744,0.1346449553966522,,,
1984-01-05,,,0.1352713108062744,0.1352713108062744,0.1352713108062744,0.13477022647857664,,,
1984-01-06,,,0.1402808874845504,0.13627322614192958,0.13577226847410198,0.1351459763944149,,,
1984-01-09,,,0.1402808874845504,0.1372751414775848,0.13627322614192958,0.1355217263102531,,,
1984-01-10,,,0.1402808874845504,0.13827705681323998,0.1367741838097572,0.13589747622609133,,,
1984-01-11,,,0.1402808874845504,0.1392789721488952,0.1372751414775848,0.13627322614192958,,,
1984-01-12,,,0.1402808874845504,0.1402808874845504,0.1377760991454124,0.13652370497584337,,,
1984-01-13,,,0.1402808874845504,0.1402808874845504,0.13827705681323998,0.1367741838097572,,,
1984-01-16,,,0.1377760618925094,0.13977992236614217,0.13852753192186348,0.13689942136406894,,,
1984-01-17,,,0.1377760618925094,0.13927895724773398,0.13877800703048698,0.13702465891838067,,,
1984-01-18,,,0.1377760618925094,0.1387779921293258,0.13902848213911048,0.13714989647269243,,,
1984-01-19,,,0.1377760618925094,0.13827702701091762,0.13927895724773398,0.1372751340270042,,,
1984-01-20,,,0.1377760618925094,0.1377760618925094,0.1390284746885299,0.13740037158131596,,,
1984-01-23,,,0.1327658891677856,0.13677402734756466,0.13827697485685342,0.1372751004993915,,,
1984-01-24,,,0.1327658891677856,0.13577199280261987,0.13752547502517695,0.13714982941746706,,,
1984-01-25,,,0.1327658891677856,0.13476995825767513,0.13677397519350046,0.13702455833554264,,,
1984-01-26,,,0.1327658891677856,0.13376792371273033,0.13602247536182396,0.1368992872536182,,,
1984-01-27,,,0.1352713108062744,0.13326697349548336,0.1355215176939964,0.13689928725361816,0.13502054959535592,,
1984-01-30,,,0.1352713108062744,0.1337680578231811,0.13527104258537287,0.13689928725361816,0.1350706580281257,,
1984-01-31,,,0.1352713108062744,0.13426914215087887,0.13502056747674937,0.13689928725361816,0.1351207664608955,,
1984-02-01,,,0.1327658891677856,0.13426914215087887,0.13451955020427697,0.13677401617169374,0.1351207664608955,,
1984-02-02,,,0.1327658891677856,0.13426914215087887,0.1340185329318046,0.1366487450897693,0.1351207664608955,,
1984-02-03,,,0.1352713108062744,0.13426914215087887,0.1337680578231811,0.1363982662558555,0.13517087489366525,,
1984-02-06,,,0.1352713108062744,0.13426914215087887,0.13401859998702997,0.13614778742194172,0.13522098332643503,,
1984-02-07,,,0.1352713108062744,0.13426914215087887,0.13426914215087887,0.1358973085880279,0.13527109175920482,,
1984-02-08,,,0.1352713108062744,0.13477022647857662,0.13451968431472777,0.1356468297541141,0.1353212001919746,,
1984-02-09,,,0.1352713108062744,0.1352713108062744,0.13477022647857662,0.1353963509202003,0.1353713086247444,,
1984-02-10,,,0.1352713108062744,0.1352713108062744,0.13477022647857662,0.1351458720862865,0.13542141705751415,,
