Date,GRADE,GPS,DLR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2004-10-29,,,5.360752105712891,,,,,,
2004-11-01,,,5.360752105712891,,,,,,
2004-11-02,,,5.360752105712891,,,,,,
2004-11-03,,,5.427757263183594,,,,,,
2004-11-04,,,5.387552738189697,5.379513263702393,,,,,
2004-11-05,,,5.396488666534424,5.386660575866699,,,,,
2004-11-08,,,5.365217685699463,5.387553691864014,,,,,
2004-11-09,,,5.365217685699463,5.388446807861328,,,,,
2004-11-10,,,5.365217685699463,5.375938892364502,,,,,
2004-11-11,,,5.3696818351745605,5.372364711761475,5.375938987731933,,,,
2004-11-12,,,5.490302085876465,5.391127395629883,5.388893985748291,,,,
2004-11-15,,,5.534975051879883,5.425078868865967,5.40631628036499,,,,
2004-11-16,,,5.5841145515441895,5.468858242034912,5.42865252494812,,,,
2004-11-17,,,5.588582992553711,5.513531303405761,5.444735097885132,,,,
2004-11-18,,,5.682395458221436,5.576074028015137,5.4742193698883055,,,,
2004-11-19,,,5.677927017211914,5.613599014282227,5.502363204956055,,,,
2004-11-22,,,5.642188549041748,5.6350417137146,5.530060291290283,,,,
2004-11-23,,,5.718133926391602,5.661845588684082,5.565351915359497,,,,
2004-11-24,,,5.71366548538208,5.6868620872497555,5.600196695327758,,,,
2004-11-25,,,5.71366548538208,5.693116092681885,5.634595060348511,5.505267024040222,,,
2004-11-26,,,5.651122093200684,5.687755107879639,5.650677061080932,5.519785523414612,,,
2004-11-29,,,5.664525508880615,5.6922224998474125,5.663632106781006,5.534974193572998,,,
2004-11-30,,,5.700263977050781,5.688648509979248,5.675247049331665,5.551949787139892,,,
2004-12-01,,,5.874489784240723,5.720813369750976,5.703837728500366,5.574286413192749,,,
2004-12-02,,,5.785141944885254,5.735108661651611,5.714112377166748,5.594165873527527,,,
2004-12-03,,,5.874489784240723,5.7797821998596195,5.733768653869629,5.618065929412841,,,
2004-12-06,,,5.861085891723633,5.819094276428222,5.755658388137817,5.64285933971405,,,
2004-12-07,,,5.807476043701172,5.8405366897583,5.764592599868775,5.664972257614136,,,
2004-12-08,,,5.744935989379883,5.814625930786133,5.767719650268555,5.683958172798157,,,
2004-12-09,,,5.740468978881836,5.805691337585449,5.7703999996185305,5.70249752998352,,,
2004-12-10,,,5.7940778732299805,5.789608955383301,5.78469557762146,5.717686319351197,,,
2004-12-13,,,5.767272472381592,5.770846271514893,5.794970273971558,5.729301190376281,,,
2004-12-14,,,5.762805461883545,5.761912155151367,5.801224422454834,5.73823573589325,,,
2004-12-15,,,5.829815864562988,5.778888130187989,5.79675703048706,5.750297379493714,,,
2004-12-16,,,5.829815864562988,5.796757507324219,5.801224422454834,5.757668399810791,,,
2004-12-17,,,5.986170291900635,5.83517599105835,5.812392473220825,5.773080563545227,,,
2004-12-20,,,5.959364891052246,5.873594474792481,5.822220373153686,5.788939380645752,,,
2004-12-21,,,6.00850772857666,5.922734928131104,5.842323541641235,5.8034580707550045,,,
2004-12-22,,,6.120189189910889,5.980809593200684,5.879848861694336,5.823784255981446,,,
