Date,GRADE,GPS,HPE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2015-10-19,,,7.515511512756348,,,,,,
2015-10-20,,,7.660830497741699,,,,,,
2015-10-21,,,7.483725547790527,,,,,,
2015-10-22,,,7.697157382965088,,,,,,
2015-10-23,,,7.719864845275879,7.615417957305908,,,,,
2015-10-26,,,7.456479549407959,7.60361156463623,,,,,
2015-10-27,,,7.143146991729736,7.500074863433838,,,,,
2015-10-28,,,7.392905712127685,7.48191089630127,,,,,
2015-10-29,,,7.243050098419189,7.39108943939209,,,,,
2015-10-30,,,6.684497356414795,7.184015941619873,7.39971694946289,,,,
2015-11-02,,,6.58004903793335,7.0087298393249515,7.306170701980591,,,,
2015-11-03,,,6.521015167236328,6.88430347442627,7.192189168930054,,,,
2015-11-04,,,6.203139781951904,6.646350288391114,7.064130592346191,,,,
2015-11-05,,,6.030577659606934,6.403855800628662,6.897472620010376,,,,
2015-11-06,,,6.539179801940918,6.374792289733887,6.77940411567688,,,,
2015-11-09,,,6.448358058929443,6.348454093933105,6.678591966629028,,,,
2015-11-10,,,6.543720722198486,6.352995204925537,6.618649339675903,,,,
2015-11-11,,,6.407487869262695,6.3938648223876955,6.520107555389404,,,,
2015-11-12,,,6.221302032470703,6.432009696960449,6.417932748794556,,,,
2015-11-13,,,6.08052921295166,6.340279579162598,6.357535934448242,6.878626441955566,,,
2015-11-16,,,6.075987815856934,6.2658055305480955,6.307129812240601,6.806650257110595,,,
2015-11-17,,,6.003331184387207,6.15772762298584,6.255361413955688,6.7237752914428714,,,
2015-11-18,,,6.194055557250977,6.1150411605834964,6.2544529914855955,6.659291791915893,,,
2015-11-19,,,6.257631778717041,6.1223071098327635,6.277158403396607,6.587315511703491,,,
2015-11-20,,,6.452897548675537,6.196780776977539,6.268530178070068,6.523967146873474,,,
2015-11-23,,,6.289418697357178,6.239466953277588,6.252636241912842,6.465614104270935,,,
2015-11-24,,,6.216762065887451,6.282153129577637,6.2199403762817385,6.419294857978821,,,
2015-11-25,,,6.412028789520264,6.325747776031494,6.220394468307495,6.37025101184845,,,
2015-11-26,,,6.412028789520264,6.356627178192139,6.239467144012451,6.328699946403503,,,
2015-11-27,,,6.51647424697876,6.369342517852783,6.2830616474151615,6.320298790931702,,,
2015-11-30,,,6.748070240020752,6.461072826385498,6.350269889831543,6.328699851036072,,,
2015-12-01,,,7.088651180267334,6.635450649261474,6.458801889419556,6.357081651687622,,,
2015-12-02,,,6.788938999176025,6.710832691192627,6.518290233612061,6.386371612548828,,,
2015-12-03,,,6.639083862304688,6.756243705749512,6.556435441970825,6.416796922683716,,,
2015-12-04,,,6.911549091339111,6.835258674621582,6.602300596237183,6.4354153871536255,,,
2015-12-07,,,7.041441440582275,6.893932914733886,6.677502870559692,6.4650695562362674,,,
2015-12-08,,,6.913826942443848,6.858968067169189,6.747209358215332,6.483574867248535,,,
2015-12-09,,,6.76798677444458,6.8547776222229,6.782805156707764,6.50159981250763,,,
2015-12-10,,,6.708738803863525,6.868708610534668,6.81247615814209,6.5259716510772705,,,
2015-12-11,,,6.462629795074463,6.778924751281738,6.80709171295166,6.545076680183411,,,
2015-12-14,,,6.581125736236572,6.686861610412597,6.790397262573242,6.570333576202392,,,
2015-12-15,,,6.635815620422363,6.631259346008301,6.745113706588745,6.60195779800415,,,
2015-12-16,,,6.699624061584473,6.6175868034362795,6.73618221282959,6.627236223220825,,,
2015-12-17,,,6.521876811981201,6.580214405059815,6.724461507797241,6.640448474884034,,,
2015-12-18,,,6.453513622283936,6.578391170501709,6.678657960891724,6.640479278564453,,,
2015-12-21,,,6.389707088470459,6.5401074409484865,6.613484525680542,6.645493698120117,,,
2015-12-22,,,6.407939434051514,6.494532203674316,6.562895774841309,6.655052566528321,,,
2015-12-23,,,6.7953314781188965,6.5136736869812015,6.56563024520874,6.674217700958252,,,
2015-12-24,,,6.845465183258057,6.578391361236572,6.579302883148193,6.695889520645141,,,
2015-12-25,,,6.845465183258057,6.6567816734313965,6.617586421966553,6.712339067459107,6.692998533248901,,
2015-12-28,,,6.941173553466797,6.767074966430664,6.653591203689575,6.721994233131409,6.68151177406311,,
2015-12-29,,,6.927502632141113,6.870987606048584,6.6827599048614506,6.713936805725098,6.666845216751098,,
2015-12-30,,,6.963962554931641,6.904713821411133,6.709193754196167,6.722687983512879,6.656449956893921,,
2015-12-31,,,6.927502632141113,6.921121311187744,6.749756336212158,6.737108922004699,6.641056861877441,,
2016-01-01,,,6.927502632141113,6.937528800964356,6.797155237197876,6.7379065990448,6.625209617614746,,
2016-01-04,,,6.8955979347229,6.928413677215576,6.84774432182312,6.730614423751831,6.613991985321045,,
2016-01-05,,,6.850022315979004,6.912917613983154,6.891952610015869,6.727424192428589,6.6081294918060305,,
2016-01-06,,,6.745197772979736,6.869164657592774,6.886939239501953,6.726284742355347,6.595175333023072,,
