Date,GRADE,GPS,ELV,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2001-10-30,,,16.72498893737793,,,,,,
2001-10-31,,,17.125749588012695,,,,,,
2001-11-01,,,17.24432373046875,,,,,,
2001-11-02,,,17.542844772338867,,,,,,
2001-11-05,,,17.538759231567383,17.235333251953126,,,,,
2001-11-06,,,18.013103485107422,17.492956161499023,,,,,
2001-11-07,,,17.68596649169922,17.604999542236328,,,,,
2001-11-08,,,17.4610595703125,17.64834671020508,,,,,
2001-11-09,,,17.1748104095459,17.574739837646483,,,,,
2001-11-12,,,17.522396087646484,17.571467208862305,17.403400230407716,,,,
2001-11-13,,,17.481504440307617,17.465147399902342,17.479051780700683,,,,
2001-11-14,,,18.790063858032227,17.685966873168944,17.645483207702636,,,,
2001-11-15,,,19.11720085144043,18.01719512939453,17.832770919799806,,,,
2001-11-16,,,19.13765335083008,18.409763717651366,17.992251777648924,,,,
2001-11-19,,,19.42389297485352,18.790063095092773,18.18076515197754,,,,
2001-11-20,,,19.95549774169922,19.284861755371093,18.37500457763672,,,,
2001-11-21,,,20.041372299194336,19.535123443603517,18.61054515838623,,,,
2001-11-22,,,20.041372299194336,19.719957733154295,18.868576431274413,,,,
2001-11-23,,,20.110885620117188,19.91460418701172,19.162183952331542,,,,
2001-11-26,,,19.85326385498047,20.00047836303711,19.39527072906494,18.39933547973633,,,
2001-11-27,,,19.87370491027832,19.98411979675293,19.634490776062012,18.556771278381348,,,
2001-11-28,,,20.0168399810791,19.979213333129884,19.7571683883667,18.701325798034667,,,
2001-11-29,,,20.450292587280277,20.060997390747072,19.890477561950682,18.861624240875244,,,
2001-11-30,,,20.793790817260746,20.19757843017578,20.05609130859375,19.024171543121337,,,
2001-12-03,,,20.977806091308597,20.422486877441408,20.21148262023926,19.1961238861084,,,
2001-12-04,,,21.059589385986328,20.65966377258301,20.321891784667972,19.348448181152342,,,
2001-12-05,,,19.98003387451172,20.652302551269532,20.31575794219971,19.46315155029297,,,
2001-12-06,,,19.828731536865234,20.527990341186523,20.2944938659668,19.581535148620606,,,
2001-12-07,,,19.87370491027832,20.34397315979004,20.270775794982914,19.716479873657228,,,
2001-12-10,,,19.7305908203125,20.09453010559082,20.258508491516118,19.82688961029053,,,
2001-12-11,,,19.710145950317383,19.82464141845703,20.24215259552002,19.938321685791017,,,
2001-12-12,,,19.571104049682617,19.74285545349121,20.197579002380373,19.977373695373537,,,
2001-12-13,,,19.66924476623535,19.710958099365236,20.119474220275883,20.004975891113283,,,
2001-12-14,,,19.628353118896484,19.66188774108887,20.002930450439454,20.0295108795166,,,
2001-12-17,,,20.13950729370117,19.743671035766603,19.91910057067871,20.065291595458984,,,
2001-12-18,,,20.159955978393555,19.833633041381837,19.829137229919432,20.0755145072937,,,
2001-12-19,,,19.628353118896484,19.84508285522461,19.79396915435791,20.05486354827881,,,
2001-12-20,,,19.17853736877441,19.746941375732423,19.728949737548824,20.011721801757812,,,
2001-12-21,,,18.70827293395996,19.562925338745117,19.61240653991699,19.94159116744995,,,
2001-12-24,,,18.646942138671875,19.264412307739256,19.504041671752926,19.88127508163452,,,
2001-12-25,,,18.646942138671875,18.96180953979492,19.397721290588375,19.8199369430542,,,
2001-12-26,,,18.91273307800293,18.81868553161621,19.331884193420407,19.76473159790039,,,
2001-12-27,,,19.17853736877441,18.81868553161621,19.282813453674315,19.7011438369751,,,
2001-12-28,,,19.832813262939453,19.04359359741211,19.30325946807861,19.653094959259032,,,
2001-12-31,,,20.24174690246582,19.3625545501709,19.313483428955077,19.616291999816895,,,
2002-01-01,,,20.24174690246582,19.681515502929688,19.321662521362306,19.57539987564087,,,
2002-01-02,,,19.95549774169922,19.890068435668944,19.354376983642577,19.574173069000246,,,
2002-01-03,,,19.8123779296875,20.01683654785156,19.417761039733886,19.573355388641357,,,
2002-01-04,,,19.571104049682617,19.964494705200195,19.504044151306154,19.55822534561157,,,
2002-01-07,,,19.22761344909668,19.761668014526368,19.56211128234863,19.53307647705078,19.224666481018065,,
2002-01-08,,,19.382999420166016,19.589918518066405,19.63571701049805,19.516719150543214,19.277826690673827,,
2002-01-09,,,19.46479034423828,19.49177703857422,19.690922737121582,19.511403465270995,19.32460750579834,,
