Date,GRADE,GPS,LLY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.2887338399887085,,,,,,
1983-11-22,,,1.2490811347961426,,,,,,
1983-11-23,,,1.2292548418045044,,,,,,
1983-11-24,,,1.2292548418045044,,,,,,
1983-11-25,,,1.2441242933273315,1.2480897903442383,,,,,
1983-11-28,,,1.23421049118042,1.2371851205825806,,,,,
1983-11-29,,,1.2416454553604126,1.2356979846954346,,,,,
1983-11-30,,,1.2242975234985352,1.2347065210342407,,,,,
1983-12-01,,,1.2019925117492676,1.2292540550231934,,,,,
1983-12-02,,,1.199513554573059,1.2203319072723389,1.2342108488082886,,,,
1983-12-05,,,1.1896015405654907,1.211410117149353,1.2242976188659669,,,,
1983-12-06,,,1.1772093772888184,1.1985229015350343,1.2171104431152344,,,,
1983-12-07,,,1.159861445426941,1.1856356859207153,1.210171103477478,,,,
1983-12-08,,,1.154904007911682,1.1762179851531982,1.2027360200881958,,,,
1983-12-09,,,1.149946928024292,1.1663046598434448,1.193318283557892,,,,
1983-12-12,,,1.154904007911682,1.1593651533126832,1.185387635231018,,,,
1983-12-13,,,1.167296051979065,1.1573824882507324,1.1779526948928833,,,,
1983-12-14,,,1.159861445426941,1.1573824882507324,1.1715090870857239,,,,
1983-12-15,,,1.1524255275726318,1.1568867921829225,1.1665523886680602,,,,
1983-12-16,,,1.157382249832153,1.1583738565444945,1.1623392581939698,1.198275053501129,,,
1983-12-19,,,1.167296051979065,1.1608522653579711,1.160108709335327,1.192203164100647,,,
1983-12-20,,,1.154904007911682,1.1583738565444945,1.1578781723976135,1.187494307756424,,,
1983-12-21,,,1.154904007911682,1.1573823690414429,1.1573824286460874,1.1837767660617828,,,
1983-12-22,,,1.1524255275726318,1.1573823690414429,1.1571345806121824,1.1799353003501891,,,
1983-12-23,,,1.1524255275726318,1.1563910245895386,1.1573824405670163,1.1753503620624541,,,
1983-12-26,,,1.1524255275726318,1.153416919708252,1.1571345925331114,1.1712611138820648,,,
1983-12-27,,,1.1425122022628784,1.1509385585784913,1.1546562075614928,1.166304451227188,,,
1983-12-28,,,1.125164270401001,1.144990611076355,1.1511864900588988,1.1613477885723114,,,
1983-12-29,,,1.1301206350326538,1.1405296325683594,1.148956000804901,1.1577541947364807,,,
1983-12-30,,,1.147468328475952,1.1395381927490233,1.1479646086692807,1.1551519334316254,,,
1984-01-02,,,1.147468328475952,1.1385467529296873,1.1459818363189695,1.1530452728271485,,,
1984-01-03,,,1.1796878576278689,1.1459818840026856,1.1484602212905883,1.153169196844101,,,
1984-01-04,,,1.1896015405654907,1.1588693380355835,1.1519299745559692,1.1546562016010284,,,
1984-01-05,,,1.1896015405654907,1.1707655191421509,1.1556475758552551,1.1563910782337188,,,
1984-01-06,,,1.199513554573059,1.1811745643615723,1.160356378555298,1.1588694095611571,,,
1984-01-09,,,1.2242975234985352,1.196540403366089,1.1675435781478882,1.1623390853404998,,,
1984-01-10,,,1.2143834829330444,1.203479528427124,1.1747307062149048,1.1646934568881988,,,
1984-01-11,,,1.216861367225647,1.2089314937591553,1.1839004158973694,1.167543452978134,,,
1984-01-12,,,1.209427833557129,1.212896752357483,1.1918311357498168,1.170393568277359,,,
1984-01-13,,,1.197035789489746,1.2124011993408204,1.1967878818511963,1.1723762452602386,,,
1984-01-16,,,1.2143834829330444,1.2104183912277222,1.2034793972969056,1.1747306168079377,,,
1984-01-17,,,1.209427833557129,1.209427261352539,1.2064533948898315,1.17745680809021,,,
1984-01-18,,,1.199513554573059,1.2059576988220215,1.2074445962905884,1.1796872854232787,,,
1984-01-19,,,1.199513554573059,1.2039748430252075,1.2084357976913451,1.1820416867733001,,,
1984-01-20,,,1.2044706344604492,1.205461812019348,1.2089315056800842,1.184643942117691,,,
1984-01-23,,,1.2242975234985352,1.2074446201324462,1.2089315056800842,1.1882375419139861,,,
1984-01-24,,,1.2292548418045044,1.2114100217819215,1.2104186415672302,1.1925746738910674,,,
1984-01-25,,,1.2292548418045044,1.2173582792282105,1.211657989025116,1.1977792024612426,,,
1984-01-26,,,1.2292548418045044,1.2233065366744995,1.2136406898498535,1.2027359127998352,,,
1984-01-27,,,1.2292548418045044,1.2282633781433105,1.2168625950813294,1.2068252384662628,1.191633038520813,,
1984-01-30,,,1.2317328453063965,1.2297504425048829,1.2185975313186646,1.211038464307785,1.1904930186271667,,
1984-01-31,,,1.2391668558120728,1.2317328453063965,1.221571433544159,1.2140124142169952,1.1902947330474853,,
1984-02-01,,,1.2292548418045044,1.2317328453063965,1.2245455622673034,1.215995079278946,1.1902947330474853,,
1984-02-02,,,1.2416454553604126,1.2342109680175781,1.2287587523460388,1.218597275018692,1.1905425453186036,,
1984-02-03,,,1.2366887331008911,1.2356977462768555,1.231980562210083,1.2204560339450836,1.1903938341140747,,
1984-02-06,,,1.219340682029724,1.233219313621521,1.231484878063202,1.220208191871643,1.1900964379310608,,
1984-02-07,,,1.219340682029724,1.2292540788650512,1.230493462085724,1.220456051826477,1.1896503424644471,,
1984-02-08,,,1.2313783168792725,1.2296787738800048,1.2307058095932006,1.2211818993091583,1.1897919583320617,,
1984-02-09,,,1.2439186573028564,1.2301334142684937,1.2321721911430359,1.2229064404964447,1.1906304812431336,,
1984-02-10,,,1.2439186573028564,1.2315793991088868,1.2336385726928711,1.2252505838871002,1.1915185832977295,,
1984-02-13,,,1.248934268951416,1.237498116493225,1.235358715057373,1.2269781231880188,1.192705237865448,,
