Date,GRADE,GPS,GD,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,2.2156317234039307,,,,,,
1983-11-22,,,2.2481460571289062,,,,,,
1983-11-23,,,2.28530502319336,,,,,,
1983-11-24,,,2.28530502319336,,,,,,
1983-11-25,,,2.280662775039673,2.263010120391846,,,,,
1983-11-28,,,2.22956657409668,2.2657970905303957,,,,,
1983-11-29,,,2.2063419818878174,2.257436275482178,,,,,
1983-11-30,,,2.169183254241944,2.234211921691895,,,,,
1983-12-01,,,2.150603771209717,2.207271671295166,,,,,
1983-12-02,,,2.183116912841797,2.187762498855591,2.225386309623718,,,,
1983-12-05,,,2.1924068927764893,2.1803305625915526,2.223063826560974,,,,
1983-12-06,,,2.1784729957580566,2.1747567653656006,2.216096520423889,,,,
1983-12-07,,,2.22956657409668,2.1868334293365477,2.2105226755142215,,,,
1983-12-08,,,2.2249226570129395,2.2016972064971925,2.2044844388961797,,,,
1983-12-09,,,2.2156317234039307,2.2082001686096193,2.1979813337326055,,,,
1983-12-12,,,2.201697826385498,2.210058355331421,2.1951944589614873,,,,
1983-12-13,,,2.201697826385498,2.214703321456909,2.1947300434112553,,,,
1983-12-14,,,2.201697826385498,2.209129571914673,2.1979815006256103,,,,
1983-12-15,,,2.1924068927764893,2.202626419067383,2.2021618127822875,,,,
1983-12-16,,,2.2063419818878174,2.20076847076416,2.2044843196868897,2.214935314655304,,,
1983-12-19,,,2.1970531940460205,2.199839544296265,2.2049489498138426,2.2140063881874084,,,
1983-12-20,,,2.145957946777344,2.188691568374634,2.2016974449157716,2.20889698266983,,,
1983-12-21,,,2.132023811340332,2.1747567653656006,2.1919431686401367,2.201232922077179,,,
1983-12-22,,,2.132023811340332,2.162680149078369,2.182653284072876,2.1935688614845277,,,
1983-12-23,,,2.150603771209717,2.151532506942749,2.1761504888534544,2.18706591129303,,,
1983-12-26,,,2.150603771209717,2.1422426223754885,2.1710410833358766,2.1831177711486816,,,
1983-12-27,,,2.169183254241944,2.1468876838684086,2.167789626121521,2.181259834766388,,,
1983-12-28,,,2.159893035888672,2.152461528778076,2.1636091470718384,2.1807953238487245,,,
1983-12-29,,,2.1645383834838867,2.158964443206787,2.160822296142578,2.1814920544624328,,,
1983-12-30,,,2.159893035888672,2.160822296142578,2.1561774015426636,2.1803308606147764,,,
1984-01-02,,,2.159893035888672,2.162680149078369,2.152461385726929,2.178705167770386,,,
1984-01-03,,,2.145957946777344,2.158035087585449,2.152461385726929,2.17707941532135,,,
1984-01-04,,,2.145957946777344,2.1552480697631835,2.15385479927063,2.172898983955384,,,
1984-01-05,,,2.173828601837158,2.157106113433838,2.1580352783203125,2.1703442811965945,,,
1984-01-06,,,2.1924068927764893,2.1636088848114015,2.1622155904769897,2.1691830396652225,,,
1984-01-09,,,2.22956657409668,2.177543592453003,2.170111870765686,2.1705764770507816,,,
1984-01-10,,,2.22956657409668,2.1942653179168703,2.1761502027511597,2.1719699144363407,,,
1984-01-11,,,2.1877620220184326,2.2026261329650882,2.1789371013641357,2.1712731242179872,,,
1984-01-12,,,2.155249118804932,2.198910236358643,2.1780081748962403,2.1694152355194096,,,
1984-01-13,,,2.141313076019287,2.1886914730072027,2.176150178909302,2.166163790225983,,,
1984-01-16,,,2.113443613052368,2.16546688079834,2.1715052366256713,2.1619833111763005,,,
1984-01-17,,,2.0434606075286865,2.1282456874847413,2.1612555027008056,2.1568584442138676,,,
1984-01-18,,,1.9874770641326904,2.0881886959075926,2.1454074144363404,2.1496311068534855,,,
1984-01-19,,,1.978144884109497,2.052767848968506,2.125839042663574,2.1419371604919437,,,
1984-01-20,,,2.0434606075286865,2.033197355270386,2.110944414138794,2.136580002307892,,,
1984-01-23,,,2.020134925842285,2.0145356178283693,2.0900012493133544,2.1300565600395207,,,
