Date,GRADE,GPS,DD,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,2.4135308265686035,,,,,,
1983-11-22,,,2.3762569427490234,,,,,,
1983-11-23,,,2.3855741024017334,,,,,,
1983-11-24,,,2.3855741024017334,,,,,,
1983-11-25,,,2.4135308265686035,2.3948933601379396,,,,,
1983-11-28,,,2.4135308265686035,2.3948933601379396,,,,,
1983-11-29,,,2.4135308265686035,2.4023481369018556,,,,,
1983-11-30,,,2.441485643386841,2.413530445098877,,,,,
1983-12-01,,,2.441485643386841,2.4247127532958985,,,,,
1983-12-02,,,2.441485643386841,2.430303716659546,2.4125985383987425,,,,
1983-12-05,,,2.460124492645264,2.4396224498748778,2.4172579050064087,,,,
1983-12-06,,,2.460124492645264,2.44894118309021,2.4256446599960326,,,,
1983-12-07,,,2.4973998069763184,2.4601240158081055,2.436827230453491,,,,
1983-12-08,,,2.516035318374634,2.4750339508056642,2.449873352050781,,,,
1983-12-09,,,2.441485643386841,2.4750339508056642,2.452668833732605,,,,
1983-12-12,,,2.4508042335510254,2.4731698989868165,2.4563961744308473,,,,
1983-12-13,,,2.4228508472442627,2.465715169906616,2.457328176498413,,,,
1983-12-14,,,2.3762569427490234,2.4414865970611572,2.4508053064346313,,,,
1983-12-15,,,2.3483002185821533,2.407939577102661,2.4414867639541624,,,,
1983-12-16,,,2.3669352531433105,2.393029499053955,2.4340317249298096,2.423315131664276,,,
1983-12-19,,,2.3483002185821533,2.3725286960601806,2.4228492975234985,2.4200536012649536,,,
1983-12-20,,,2.329662799835205,2.3538910865783693,2.4098031282424928,2.4177238941192627,,,
1983-12-21,,,2.338982582092285,2.3464362144470217,2.3939614057540894,2.4153943181037905,,,
1983-12-22,,,2.311025381088257,2.3389812469482423,2.3734604120254517,2.4116668820381166,,,
1983-12-23,,,2.2977871894836426,2.3251516342163088,2.359090566635132,2.4058797001838683,,,
1983-12-26,,,2.2977871894836426,2.3150490283966065,2.3437888622283936,2.4000925183296205,,,
1983-12-27,,,2.37343430519104,2.3238033294677733,2.338847208023071,2.3980876922607424,,,
1983-12-28,,,2.4301702976226807,2.3420408725738526,2.344238543510437,2.3975219249725344,,,
1983-12-29,,,2.4869041442871094,2.377216625213623,2.358098936080933,2.3997928500175476,,,
1983-12-30,,,2.524728298187256,2.4226048469543455,2.373878240585327,2.4039549827575684,,,
1984-01-02,,,2.524728298187256,2.467993068695068,2.3915210485458376,2.407185173034668,,,
1984-01-03,,,2.477449655532837,2.4887961387634276,2.4062997341156005,2.4080514311790466,,,
1984-01-04,,,2.534186840057373,2.509599447250366,2.425820159912109,2.4098907828330995,,,
1984-01-05,,,2.572008848190308,2.5266203880310063,2.4519185066223144,2.4126894593238832,,,
1984-01-06,,,2.5909204483032227,2.539858818054199,2.4812318325042724,2.4201611995697023,,,
1984-01-09,,,2.534186840057373,2.5417505264282227,2.5048717975616457,2.4243303298950196,,,
1984-01-10,,,2.5152745246887207,2.5493155002593992,2.5190558195114137,2.4289515137672426,,,
1984-01-11,,,2.562551498413086,2.554988431930542,2.532293939590454,2.4382662415504455,,,
1984-01-12,,,2.505817651748657,2.541750192642212,2.534185290336609,2.446142113208771,,,
1984-01-13,,,2.5152745246887207,2.5266210079193114,2.5332399129867555,2.4535590767860413,,,
1984-01-16,,,2.49636173248291,2.519055986404419,2.530403256416321,2.460962152481079,,,
1984-01-17,,,2.5436410903930664,2.524729299545288,2.5370223999023436,2.4716610670089723,,,
1984-01-18,,,2.55309796333313,2.522838592529297,2.5389135122299193,2.4823668360710145,,,
1984-01-19,,,2.572008848190308,2.5360768318176268,2.5389135122299193,2.495416009426117,,,
1984-01-20,,,2.505817651748657,2.534185457229614,2.530403232574463,2.5058175325393677,,,
1984-01-23,,,2.4301702976226807,2.5209471702575685,2.5200015783309935,2.5124366879463196,,,
1984-01-24,,,2.449082374572754,2.5020354270935057,2.513382363319397,2.5162190914154055,,,
1984-01-25,,,2.4112582206726074,2.4736674785614015,2.498253035545349,2.5152734875679017,,,
1984-01-26,,,2.3545236587524414,2.430170440673828,2.4831236362457276,2.508654463291168,,,
1984-01-27,,,2.4018023014068604,2.4093673706054686,2.4717764139175413,2.5025081634521484,2.445104966163635,,
1984-01-30,,,2.37343430519104,2.3980201721191405,2.4594836711883543,2.4949434638023376,2.444303035736084,,
1984-01-31,,,2.392347574234009,2.3866732120513916,2.4443543195724486,2.4906883597373963,2.4446248483657835,,
1984-02-01,,,2.392347574234009,2.382891082763672,2.4282792806625366,2.483596396446228,2.4447603178024293,,
1984-02-02,,,2.37343430519104,2.3866732120513916,2.40842182636261,2.4736676692962645,2.444517521858215,,
1984-02-03,,,2.3545236587524414,2.377217483520508,2.3932924270629883,2.4618478298187254,2.443337378501892,,
1984-02-06,,,2.3166983127593994,2.3658702850341795,2.3819452285766602,2.450973403453827,2.441400728225708,,
1984-02-07,,,2.3166983127593994,2.350740432739258,2.3687068223953247,2.4410445928573608,2.439464077949524,,
