Date,GRADE,GPS,LVS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2004-12-15,,,30.403335571289062,,,,,,
2004-12-16,,,32.0684700012207,,,,,,
2004-12-17,,,34.608612060546875,,,,,,
2004-12-20,,,31.735441207885746,,,,,,
2004-12-21,,,30.93879508972168,31.950930786132812,,,,,
2004-12-22,,,31.67667579650879,32.20559883117676,,,,,
2004-12-23,,,31.670137405395508,32.12593231201172,,,,,
2004-12-24,,,31.670137405395508,31.538237380981446,,,,,
2004-12-27,,,31.115102767944336,31.414169692993163,,,,,
2004-12-28,,,31.40894889831543,31.508200454711915,31.729565620422363,,,,
2004-12-29,,,31.27183151245117,31.42723159790039,31.816415214538573,,,,
2004-12-30,,,31.245698928833008,31.342343902587892,31.734138107299806,,,,
2004-12-31,,,31.343647003173828,31.277045822143556,31.4076416015625,,,,
2005-01-03,,,31.67667579650879,31.389360427856445,31.401765060424804,,,,
2005-01-04,,,32.297019958496094,31.566974639892578,31.537587547302245,,,,
2005-01-05,,,31.89870262145996,31.692348861694335,31.559790229797365,,,,
2005-01-06,,,31.337121963500977,31.71063346862793,31.52648868560791,,,,
2005-01-07,,,29.743816375732425,31.390667343139647,31.3338565826416,,,,
2005-01-10,,,29.469566345214844,30.94924545288086,31.169302940368652,,,,
2005-01-11,,,29.201845169067383,30.330210494995118,30.948592567443846,31.339079093933105,,,
2005-01-12,,,28.143983840942383,29.5792667388916,30.63580780029297,31.226111507415773,,,
2005-01-13,,,27.75218772888184,28.862279891967773,30.286456680297853,31.01029739379883,,,
2005-01-14,,,28.339879989624023,28.581492614746093,29.986079978942872,30.696860790252686,,,
2005-01-17,,,28.339879989624023,28.35555534362793,29.652400398254393,30.5270827293396,,,
2005-01-18,,,29.52179718017578,28.41954574584961,29.374878120422363,30.456232833862305,,,
2005-01-19,,,28.960224151611328,28.5827938079834,29.0810302734375,30.32041025161743,,,
2005-01-20,,,28.574953079223636,28.747346878051758,28.804813385009766,30.165651035308837,,,
2005-01-21,,,28.1113395690918,28.701638793945314,28.6415657043457,29.98771114349365,,,
