Date,GRADE,GPS,ACGL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1995-09-14,,,2.3611109256744385,,,,,,
1995-09-15,,,2.3611109256744385,,,,,,
1995-09-18,,,2.3611109256744385,,,,,,
1995-09-19,,,2.3333330154418945,,,,,,
1995-09-20,,,2.3611109256744385,2.3555553436279295,,,,,
1995-09-21,,,2.388889074325561,2.361110973358154,,,,,
1995-09-22,,,2.3333330154418945,2.3555553913116456,,,,,
1995-09-25,,,2.3611109256744385,2.3555553913116456,,,,,
1995-09-26,,,2.3333330154418945,2.3555553913116456,,,,,
1995-09-27,,,2.3611109256744385,2.3555553913116456,2.3555553674697878,,,,
1995-09-28,,,2.3333330154418945,2.344444179534912,2.3527775764465333,,,,
1995-09-29,,,2.416666984558105,2.361110973358154,2.3583331823349,,,,
1995-10-02,,,2.3611109256744385,2.361110973358154,2.3583331823349,,,,
1995-10-03,,,2.444443941116333,2.383333158493042,2.3694442749023437,,,,
1995-10-04,,,2.416666984558105,2.394444370269775,2.3749998807907104,,,,
1995-10-05,,,2.4583330154418945,2.419444370269775,2.381944274902344,,,,
1995-10-06,,,2.5,2.4361109733581543,2.398610973358154,,,,
1995-10-09,,,2.5,2.4638887882232665,2.4124998807907105,,,,
1995-10-10,,,2.388889074325561,2.4527778148651125,2.4180554866790773,,,,
1995-10-11,,,2.416666984558105,2.4527778148651125,2.4236110925674437,2.3895832300186157,,,
1995-10-12,,,2.4583330154418945,2.4527778148651125,2.4361110925674434,2.3944443345069883,,,
1995-10-13,,,2.4583330154418945,2.444444417953491,2.4402776956558223,2.3993054389953614,,,
1995-10-16,,,2.444443941116333,2.4333332061767576,2.448610997200012,2.403472089767456,,,
1995-10-17,,,2.430556058883667,2.441666603088379,2.4472222089767453,2.4083332419395447,,,
1995-10-18,,,2.444443941116333,2.4472219944000244,2.449999904632568,2.4124998927116392,,,
1995-10-19,,,2.430556058883667,2.441666603088379,2.4472222089767453,2.4145832419395448,,,
1995-10-20,,,2.375,2.425,2.434722208976745,2.41666659116745,,,
1995-10-23,,,2.375,2.4111112117767335,2.4222222089767453,2.417361044883728,,,
1995-10-24,,,2.402777910232544,2.405555582046509,2.4236110925674437,2.4208332896232605,,,
1995-10-25,,,2.402777910232544,2.397222375869751,2.4222221851348875,2.4229166388511656,,,
1995-10-26,,,2.402777910232544,2.3916667461395265,2.4166666746139525,2.426388883590698,,,
