Date,GRADE,GPS,MMC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.307055950164795,,,,,,
1983-11-22,,,1.310495376586914,,,,,,
1983-11-23,,,1.3173748254776,,,,,,
1983-11-24,,,1.3173748254776,,,,,,
1983-11-25,,,1.3208144903182983,1.3146230936050416,,,,,
1983-11-28,,,1.3208144903182983,1.3173748016357423,,,,,
1983-11-29,,,1.3208144903182983,1.319438624382019,,,,,
1983-11-30,,,1.310495376586914,1.3180627346038818,,,,,
1983-12-01,,,1.3242541551589966,1.319438600540161,,,,,
1983-12-02,,,1.307055950164795,1.3166868925094604,1.315654993057251,,,,
1983-12-05,,,1.2932980060577393,1.3111835956573485,1.3142791986465454,,,,
1983-12-06,,,1.2795389890670776,1.3029284954071045,1.3111835598945618,,,,
1983-12-07,,,1.2760993242263794,1.2960492849349976,1.3070560097694397,,,,
1983-12-08,,,1.2692208290100098,1.2850426197052003,1.3022406101226807,,,,
1983-12-09,,,1.2589011192321775,1.2754116535186768,1.2960492730140687,,,,
1983-12-12,,,1.2657805681228638,1.2699081659317017,1.2905458807945251,,,,
1983-12-13,,,1.2795389890670776,1.2699081659317017,1.286418330669403,,,,
1983-12-14,,,1.300176978111267,1.2747236967086792,1.2853864908218384,,,,
1983-12-15,,,1.2932980060577393,1.279539132118225,1.2822908759117126,,,,
1983-12-16,,,1.300176978111267,1.287794303894043,1.2816029787063599,1.2986289858818054,,,
1983-12-19,,,1.3173748254776,1.2981131553649903,1.284010660648346,1.2991449296474458,,,
1983-12-20,,,1.3276933431625366,1.307744026184082,1.288826096057892,1.3000048279762269,,,
1983-12-21,,,1.3380125761032104,1.3153111457824707,1.295017421245575,1.3010367155075073,,,
1983-12-22,,,1.3689689636230469,1.3304453372955323,1.3049922347068788,1.3036164224147797,,,
1983-12-23,,,1.3689689636230469,1.344203734397888,1.3159990191459656,1.306024146080017,,,
1983-12-26,,,1.3689689636230469,1.3545225620269776,1.3263178586959838,1.3084318697452546,,,
1983-12-27,,,1.362089991569519,1.3614018917083741,1.334572958946228,1.3104956448078156,,,
1983-12-28,,,1.3380125761032104,1.3614018917083741,1.3383565187454223,1.3118715047836305,,,
1983-12-29,,,1.3483312129974363,1.357274341583252,1.3438598394393921,1.3130753576755523,,,
1983-12-30,,,1.3689689636230469,1.357274341583252,1.3507390379905702,1.316171008348465,,,
1984-01-02,,,1.3689689636230469,1.357274341583252,1.3558984518051147,1.3199545562267303,,,
1984-01-03,,,1.3139350414276123,1.3476433515548707,1.3545226216316224,1.321674358844757,,,
1984-01-04,,,1.3431642055511477,1.348673677444458,1.355037784576416,1.3250276029109955,,,
1984-01-05,,,1.357083797454834,1.3504241943359374,1.3538492679595948,1.3294207513332368,,,
1984-01-06,,,1.3779618740081787,1.352222776412964,1.3547485589981079,1.3353737890720367,,,
1984-01-09,,,1.3640424013137815,1.3512374639511109,1.3542559027671814,1.3402868807315826,,,
1984-01-10,,,1.3744816780090332,1.363346791267395,1.355495071411133,1.3450340151786804,,,
1984-01-11,,,1.3744816780090332,1.3696102857589723,1.3591419816017152,1.3487492501735687,,,
1984-01-12,,,1.3640424013137815,1.3710020065307615,1.3607131004333497,1.3522864699363708,,,
1984-01-13,,,1.357083797454834,1.3668263912200926,1.3595245838165284,1.3551318109035493,,,
1984-01-16,,,1.3362047672271729,1.361258864402771,1.3562481641769408,1.3560733079910279,,,
1984-01-17,,,1.3431642055511477,1.3549953699111938,1.3591710805892945,1.3568468511104583,,,
1984-01-18,,,1.3536039590835571,1.3508198261260986,1.3602150559425354,1.3576264202594757,,,
1984-01-19,,,1.3640424013137815,1.3508198261260986,1.36091091632843,1.3573800921440125,,,
1984-01-20,,,1.357083797454834,1.3508198261260986,1.3588231086730957,1.3567858338356018,,,
1984-01-23,,,1.3640424013137815,1.3563873529434205,1.3588231086730957,1.3565395057201386,,,
1984-01-24,,,1.3605639934539795,1.359867310523987,1.3574313402175904,1.3564632058143615,,,
1984-01-25,,,1.3431642055511477,1.357779359817505,1.3542995929718018,1.3567207872867584,,,
1984-01-26,,,1.3292454481124878,1.350819969177246,1.3508198976516723,1.355766499042511,,,
1984-01-27,,,1.3083680868148804,1.3410768270492555,1.345948326587677,1.3527364552021026,1.3306939840316772,,
1984-01-30,,,1.3118468523025513,1.3306377172470092,1.3435125350952148,1.3498803496360778,1.3307898020744324,,
1984-01-31,,,1.27357017993927,1.3132389545440675,1.3365531325340272,1.3478621065616607,1.3300512981414796,,
1984-02-01,,,1.2596518993377686,1.2965364933013916,1.3271579265594482,1.3436864912509918,1.3288968396186829,,
1984-02-02,,,1.27357017993927,1.2854014396667481,1.318110704421997,1.3395108103752136,1.3280207467079164,,
1984-02-03,,,1.266611099243164,1.2770500421524047,1.30906343460083,1.3339432716369628,1.3269366788864136,,
1984-02-06,,,1.266611099243164,1.2680028915405273,1.2993203043937682,1.329071706533432,1.325852611064911,,
1984-02-07,,,1.2526923418045044,1.2638273239135742,1.2885331392288208,1.3229822397232056,1.324490168094635,,
1984-02-08,,,1.2318135499954224,1.258259654045105,1.2773980736732482,1.3158488333225251,1.322916531562805,,
1984-02-09,,,1.2457330226898191,1.2526922225952148,1.2690468311309815,1.309933364391327,1.3213461089134215,,
1984-02-10,,,1.2422535419464111,1.2478207111358643,1.2624353766441345,1.3041918516159057,1.320050060749054,,
1984-02-13,,,1.23529314994812,1.2415571212768555,1.2547800064086911,1.2991462707519532,1.3188899636268616,,
1984-02-14,,,1.2248547077178955,1.2359895944595336,1.2499084591865537,1.2932307958602904,1.317796277999878,,
1984-02-15,,,1.2387735843658447,1.237381601333618,1.2478206276893613,1.2874892771244049,1.3170497632026672,,
1984-02-16,,,1.2561724185943604,1.2394694805145263,1.2460808515548705,1.2820957779884339,1.3167887949943542,,
1984-02-17,,,1.2526923418045044,1.241557240486145,1.2446889758110045,1.2768762052059173,1.3166646194458007,,
1984-02-20,,,1.2526923418045044,1.2450370788574219,1.2432971000671384,1.2713087022304534,1.3164028549194335,,
1984-02-21,,,1.249212622642517,1.2499086618423463,1.2429491281509397,1.2657411336898803,1.3157963275909423,,
1984-02-22,,,1.249212622642517,1.2519964694976806,1.2446890354156492,1.261043554544449,1.3147770404815673,,
1984-02-23,,,1.23529314994812,1.2478206157684326,1.2436450481414796,1.2563459396362304,1.313616943359375,,
1984-02-24,,,1.2318135499954224,1.2436448574066161,1.2426010489463806,1.2525182127952577,1.312249674797058,,
1984-02-27,,,1.2318135499954224,1.2394690990447998,1.2422530889511108,1.2485165476799012,1.3105384492874146,,
1984-02-28,,,1.2283344268798828,1.235293459892273,1.2426010608673095,1.2462547600269318,1.3085512709617615,,
