Date,GRADE,GPS,ROK,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.57423996925354,,,,,,
1983-11-22,,,1.6055991649627686,,,,,,
1983-11-23,,,1.6244149208068848,,,,,,
1983-11-24,,,1.6244149208068848,,,,,,
1983-11-25,,,1.6369580030441284,1.6131253957748413,,,,,
1983-11-28,,,1.6244149208068848,1.6231603860855102,,,,,
1983-11-29,,,1.643229603767395,1.6306864738464355,,,,,
1983-11-30,,,1.5867838859558103,1.6231602668762206,,,,,
1983-12-01,,,1.6055991649627686,1.6193971157073974,,,,,
1983-12-02,,,1.5867838859558103,1.609362292289734,1.6112438440322876,,,,
1983-12-05,,,1.6244149208068848,1.609362292289734,1.6162613391876222,,,,
1983-12-06,,,1.5993268489837646,1.600581741333008,1.6156341075897216,,,,
1983-12-07,,,1.61814284324646,1.6068535327911377,1.6150068998336793,,,,
1983-12-08,,,1.6934046745300293,1.6244146347045898,1.6219058752059936,,,,
1983-12-09,,,1.6934046745300293,1.6457387924194335,1.6275505423545837,,,,
1983-12-12,,,1.7059482336044312,1.662045454978943,1.6357038736343383,,,,
1983-12-13,,,1.6871334314346311,1.6796067714691163,1.640094256401062,,,,
1983-12-14,,,1.6808611154556274,1.6921504259109497,1.6495019793510437,,,,
1983-12-15,,,1.630685329437256,1.679606556892395,1.6520105957984925,,,,
1983-12-16,,,1.630685329437256,1.6670626878738404,1.656400740146637,1.6338222920894623,,,
1983-12-19,,,1.61814284324646,1.6495016098022461,1.6557735323905944,1.6360174357891082,,,
1983-12-20,,,1.61814284324646,1.6357034921646119,1.657655131816864,1.636644619703293,,,
1983-12-21,,,1.6996772289276123,1.6394667148590087,1.6658085703849792,1.6404077351093291,,,
1983-12-22,,,1.6934046745300293,1.6520105838775634,1.6658085703849792,1.6438572227954864,,,
1983-12-23,,,1.6683170795440674,1.6595369338989259,1.663299810886383,1.6454251766204835,,,
1983-12-26,,,1.6683170795440674,1.6695717811584472,1.6595366954803468,1.6476202845573424,,,
1983-12-27,,,1.6934046745300293,1.684624147415161,1.6601638197898865,1.6501290380954743,,,
1983-12-28,,,1.6934046745300293,1.6833696365356445,1.6614181756973267,1.6554600775241852,,,
1983-12-29,,,1.6683170795440674,1.6783521175384521,1.6651813507080078,1.65859597325325,,,
1983-12-30,,,1.6557743549346924,1.6758435726165772,1.6676902532577516,1.6620454967021943,,,
1984-01-02,,,1.6557743549346924,1.673335027694702,1.6714534044265748,1.6636134684085846,,,
1984-01-03,,,1.6495022773742676,1.6645545482635498,1.6745893478393554,1.6661222398281097,,,
1984-01-04,,,1.6557743549346924,1.6570284843444825,1.6701990604400634,1.6680038154125214,,,
1984-01-05,,,1.6745890378952026,1.6582828760147095,1.6683174967765808,1.6670630335807801,,,
1984-01-06,,,1.6808611154556274,1.6633002281188964,1.6695719003677367,1.66643585562706,,,
1984-01-09,,,1.6683170795440674,1.6658087730407716,1.6695719003677367,1.6645542979240417,,,
1984-01-10,,,1.6745890378952026,1.6708261251449585,1.6676903367042542,1.6639270782470703,,,
1984-01-11,,,1.662045121192932,1.6720802783966064,1.6645543813705443,1.6629862785339355,,,
1984-01-12,,,1.630685329437256,1.6632995367050172,1.6607912063598633,1.6629862785339355,,,
1984-01-13,,,1.61814284324646,1.6507558822631836,1.6570280551910401,1.6623591542243958,,,
1984-01-16,,,1.6055991649627686,1.638212299346924,1.6520105361938477,1.6617319703102111,,,
1984-01-17,,,1.57423996925354,1.6181424856185913,1.6444843053817748,1.6595368266105652,,,
1984-01-18,,,1.57423996925354,1.600581455230713,1.6363308668136596,1.6532649636268615,,,
1984-01-19,,,1.5428805351257324,1.5830204963684082,1.6231600165367126,1.6457387566566468,,,
1984-01-20,,,1.5303359031677246,1.5654591083526612,1.6081074953079224,1.6388396978378297,,,
1984-01-23,,,1.5366085767745972,1.551660990715027,1.5949366450309754,1.632254272699356,,,
1984-01-24,,,1.549152135848999,1.5466434240341187,1.582392954826355,1.6250416457653045,,,
1984-01-25,,,1.549152135848999,1.5416258573532104,1.5711036562919616,1.617829018831253,,,
1984-01-26,,,1.4989770650863647,1.5328451633453368,1.5579328298568726,1.6093620181083679,,,
1984-01-27,,,1.524064302444458,1.5315908432006835,1.5485249757766724,1.6027765154838562,1.6281775736808777,,
1984-01-30,,,1.480161428451538,1.5203014135360717,1.5359812021255492,1.5939958691596985,1.6262960028648377,,
1984-01-31,,,1.4864341020584106,1.507757806777954,1.5272006154060365,1.5858424603939056,1.6239127016067505,,
1984-02-01,,,1.4550731182098389,1.4889420032501222,1.5152839303016663,1.575807398557663,1.6205258655548096,,
1984-02-02,,,1.46134614944458,1.481415820121765,1.507130491733551,1.5651452541351318,1.6172644901275635,,
1984-02-03,,,1.436258316040039,1.4638546228408813,1.4977227330207825,1.5529151141643525,1.6132504963874816,,
1984-02-06,,,1.3547241687774658,1.438767170906067,1.4795342922210692,1.5372354686260223,1.6078566813468933,,
1984-02-07,,,1.342180252075195,1.4099164009094238,1.458837103843689,1.520615029335022,1.6018356943130494,,
1984-02-08,,,1.3233646154403689,1.3835747003555299,1.436258351802826,1.5036810040473938,1.5965673089027406,,
1984-02-09,,,1.2794617414474487,1.3471978187561036,1.4143068194389343,1.4861198246479035,1.590044560432434,,
1984-02-10,,,1.304549217224121,1.3208559989929198,1.3923553109169007,1.4704401433467864,1.5843998670578003,,
1984-02-13,,,1.304549217224121,1.310821008682251,1.3747940897941588,1.455387645959854,1.578002552986145,,
