Date,GRADE,GPS,HSIC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1995-11-03,,,4.460783958435059,,,,,,
1995-11-06,,,4.485293865203857,,,,,,
1995-11-07,,,4.411765098571777,,,,,,
1995-11-08,,,4.3627448081970215,,,,,,
1995-11-09,,,4.460783958435059,4.4362743377685545,,,,,
1995-11-10,,,4.264706134796143,4.397058773040771,,,,,
1995-11-13,,,4.3627448081970215,4.372548961639405,,,,,
1995-11-14,,,4.264706134796143,4.343137168884278,,,,,
1995-11-15,,,4.350490093231201,4.340686225891114,,,,,
1995-11-16,,,4.411765098571777,4.330882453918457,4.3835783958435055,,,,
1995-11-17,,,4.313724994659424,4.340686225891114,4.368872499465942,,,,
1995-11-20,,,4.313724994659424,4.330882263183594,4.351715612411499,,,,
1995-11-21,,,4.313724994659424,4.34068603515625,4.3419116020202635,,,,
1995-11-22,,,4.313724994659424,4.3333330154418945,4.337009620666504,,,,
1995-11-23,,,4.313724994659424,4.313724994659424,4.322303724288941,,,,
1995-11-24,,,4.44852876663208,4.340685749053955,4.3406859874725345,,,,
1995-11-27,,,4.509803771972656,4.379901504516601,4.355391883850098,,,,
1995-11-28,,,4.607842922210693,4.438725090026855,4.389705562591553,,,,
1995-11-29,,,5.0,4.575980091094971,4.454656553268433,,,,
1995-11-30,,,4.950980186462402,4.703431129455566,4.508578062057495,4.4460782289505,,,
1995-12-01,,,4.950980186462402,4.803921413421631,4.572303581237793,4.470588040351868,,,
1995-12-04,,,4.779411792755127,4.857843017578125,4.618872261047363,4.485293936729431,,,
1995-12-05,,,4.852941036224365,4.90686264038086,4.672793865203857,4.507352733612061,,,
1995-12-06,,,4.877450942993164,4.882352828979492,4.729166460037232,4.533088040351868,,,
1995-12-07,,,4.754901885986328,4.843137168884278,4.773284149169922,4.547793936729431,,,
1995-12-08,,,4.803922176361084,4.813725566864013,4.808823490142823,4.574754738807679,,,
1995-12-11,,,4.803922176361084,4.818627643585205,4.838235330581665,4.596813607215881,,,
1995-12-12,,,4.754901885986328,4.799019813537598,4.852941226959229,4.6213233947753904,,,
1995-12-13,,,4.656863212585449,4.754902267456055,4.818627548217774,4.636642050743103,,,
1995-12-14,,,4.558824062347412,4.715686702728272,4.779411935806275,4.643994998931885,,,
1995-12-15,,,4.558824062347412,4.666667079925537,4.740196323394775,4.656249952316284,,,
1995-12-18,,,4.460783958435059,4.598039436340332,4.708333539962768,4.663602900505066,,,
1995-12-19,,,4.558824062347412,4.558823871612549,4.678921842575074,4.6758578538894655,,,
1995-12-20,,,4.656863212585449,4.558823871612549,4.656863069534301,4.693014764785767,,,
1995-12-21,,,4.558824062347412,4.558823871612549,4.63725528717041,4.705269718170166,,,
1995-12-22,,,4.7058820724487305,4.588235473632812,4.6274512767791744,4.7181373834609985,,,
1995-12-25,,,4.7058820724487305,4.637255096435547,4.617647266387939,4.727941298484803,,,
1995-12-26,,,4.558824062347412,4.637255096435547,4.5980394840240475,4.7254903554916385,,,
1995-12-27,,,5.245098114013672,4.754902076721192,4.65686297416687,4.737745261192321,,,
1995-12-28,,,5.539216041564941,4.950980472564697,4.754902172088623,4.767157053947448,,,
1995-12-29,,,5.784314155578613,5.166666889190674,4.877451181411743,4.808823752403259,,,
1996-01-01,,,5.784314155578613,5.38235330581665,5.009804201126099,4.859068870544434,,,
1996-01-02,,,5.343136787414551,5.539215850830078,5.088235473632812,4.883578658103943,,,
1996-01-03,,,5.147058963775635,5.519608020782471,5.137255048751831,4.897059059143066,,,
1996-01-04,,,4.779411792755127,5.367647171020508,5.159313821792603,4.898284554481506,,,
1996-01-05,,,4.754901885986328,5.16176471710205,5.164215803146362,4.895833539962768,,,
1996-01-08,,,4.632352828979492,4.931372451782226,5.156862878799439,4.887255072593689,,,
1996-01-09,,,4.6691179275512695,4.79656867980957,5.167892265319824,4.882965874671936,,,
1996-01-10,,,4.754901885986328,4.718137264251709,5.11887264251709,4.88786780834198,,,
1996-01-11,,,4.656863212585449,4.693627548217774,5.03063735961914,4.892769765853882,4.691421585083008,,
1996-01-12,,,4.656863212585449,4.674019813537598,4.917892265319824,4.897671723365784,4.695343170166016,,
1996-01-15,,,4.656863212585449,4.678921890258789,4.805147171020508,4.907475686073303,4.698774557113648,,
1996-01-16,,,4.803922176361084,4.705882740020752,4.751225709915161,4.919730591773987,4.706617698669434,,
1996-01-17,,,4.803922176361084,4.715686798095703,4.716912031173706,4.927083539962768,4.715441246032714,,
1996-01-18,,,4.950980186462402,4.774510192871094,4.734068870544434,4.946691346168518,4.725245170593261,,
1996-01-19,,,5.245098114013672,4.892157173156738,4.783088493347168,4.9736521482467655,4.7448530101776125,,
1996-01-22,,,5.490196228027344,5.058823776245117,4.868872833251953,5.012867856025696,4.767402038574219,,
1996-01-23,,,5.563724994659424,5.2107843399047855,4.958333539962768,5.063112902641296,4.793382415771484,,
1996-01-24,,,5.539216041564941,5.357843112945557,5.0367649555206295,5.07781879901886,4.8171569347381595,,
1996-01-25,,,5.539216041564941,5.475490283966065,5.125000238418579,5.07781879901886,4.839705953598022,,
1996-01-26,,,5.343136787414551,5.495098018646241,5.193627595901489,5.055759930610657,4.860294189453125,,
1996-01-29,,,5.490196228027344,5.495098018646241,5.2769608974456785,5.041054034233094,4.883823614120484,,
1996-01-30,,,5.490196228027344,5.480392265319824,5.345588302612304,5.048407006263733,4.907353038787842,,
1996-01-31,,,5.784314155578613,5.529411888122558,5.443627500534058,5.080269765853882,4.936764822006226,,
