Date,GRADE,GPS,KDP,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2008-05-07,,,2.825612545013428,,,,,,
2008-05-08,,,2.8145318031311035,,,,,,
2008-05-09,,,2.7968032360076904,,,,,,
2008-05-12,,,2.833370447158813,,,,,,
2008-05-13,,,2.869935750961304,2.8280507564544677,,,,,
2008-05-14,,,2.8998544216156006,2.842899131774902,,,,,
2008-05-15,,,2.8843414783477783,2.8568610668182375,,,,,
2008-05-16,,,2.936421155929565,2.8847846508026125,,,,,
2008-05-19,,,2.8887741565704346,2.8958653926849367,,,,,
2008-05-20,,,2.831153392791748,2.8881089210510256,2.8580798387527464,,,,
2008-05-21,,,2.826721668243408,2.873482370376587,2.8581907510757447,,,,
2008-05-22,,,2.8499913215637207,2.8666123390197753,2.861736702919006,,,,
2008-05-23,,,2.816748857498169,2.842677879333496,2.863731265068054,,,,
2008-05-26,,,2.816748857498169,2.828272819519043,2.86206910610199,,,,
2008-05-27,,,2.812316417694092,2.824505424499512,2.8563071727752685,,,,
2008-05-28,,,2.7934775352478027,2.8178565979003904,2.845669484138489,,,,
2008-05-29,,,2.764669179916382,2.800792169570923,2.833702254295349,,,,
2008-05-30,,,2.7901551723480225,2.7954734325408936,2.819075655937195,,,,
2008-06-02,,,2.6726973056793213,2.766663122177124,2.7974679708480834,,,,
2008-06-03,,,2.681562900543213,2.740512418746948,2.78250892162323,2.8202943801879883,,,
2008-06-04,,,2.6483194828033447,2.711480808258057,2.7646687030792236,2.811429727077484,,,
2008-06-05,,,2.832261323928833,2.7249992370605467,2.762895703315735,2.8123162031173705,,,
2008-06-06,,,2.7679922580718994,2.720566654205322,2.758020043373108,2.810875654220581,,,
2008-06-09,,,2.766885042190552,2.7394042015075684,2.753033661842346,2.807551383972168,,,
2008-06-10,,,2.7624521255493164,2.7555820465087892,2.7480472326278687,2.802177202701569,,,
2008-06-11,,,2.695967197418213,2.7651115894317626,2.7382961988449095,2.7919828414916994,,,
2008-06-12,,,2.6793458461761475,2.7345284938812258,2.7297638654708862,2.7817330598831176,,,
2008-06-13,,,2.733642578125,2.7276585578918455,2.724112606048584,2.7715941309928893,,,
2008-06-16,,,2.6272668838500977,2.699734926223755,2.7195695638656616,2.7585187673568727,,,
2008-06-17,,,2.5995631217956543,2.6671571254730226,2.711369585990906,2.746939253807068,,,
2008-06-18,,,2.636132001876831,2.655190086364746,2.7101508378982544,2.737409770488739,,,
2008-06-19,,,2.6472113132476807,2.6487631797790527,2.6916458368301392,2.727270770072937,,,
2008-06-20,,,2.6593992710113525,2.633914518356323,2.6807865381240843,2.719403290748596,,,
2008-06-23,,,2.615077257156372,2.6314765930175783,2.6656057596206666,2.7093197107315063,,,
2008-06-24,,,2.4976205825805664,2.6110880851745604,2.6391226053237915,2.69358491897583,,,
2008-06-25,,,2.4976205825805664,2.5833858013153077,2.619287943840027,2.6787920713424684,,,
2008-06-26,,,2.4566216468811035,2.545267868041992,2.5970155239105224,2.6633896946907045,,,
2008-06-27,,,2.393460512161255,2.4920801162719726,2.562997317314148,2.643554961681366,,,
2008-06-30,,,2.324759721755981,2.4340166091918944,2.532746601104736,2.626158082485199,,,
2008-07-01,,,2.2826523780822754,2.391022968292236,2.5010555267333983,2.606212556362152,,,
2008-07-02,,,2.3646504878997803,2.3644289493560793,2.4739073753356933,2.592029106616974,,,
2008-07-03,,,2.320326566696167,2.3371699333190916,2.441218900680542,2.5664323687553408,,,
2008-07-04,,,2.320326566696167,2.322543144226074,2.4073116302490236,2.544049084186554,,,
2008-07-07,,,2.362434148788452,2.3300780296325683,2.3820473194122314,2.523826539516449,,,
2008-07-08,,,2.382380485534668,2.350023651123047,2.3705233097076417,2.5048229575157164,,,
2008-07-09,,,2.3990018367767334,2.3568939208984374,2.360661435127258,2.4899746894836428,,,
2008-07-10,,,2.421162843704224,2.3770611763000487,2.35711555480957,2.4770655393600465,,,
2008-07-11,,,2.3978934288024902,2.3925745487213135,2.357558846473694,2.4602780818939207,,,
2008-07-14,,,2.414514541625977,2.402990627288818,2.3665343284606934,2.449640464782715,,,
2008-07-15,,,2.326975584030152,2.3919096469879153,2.370966649055481,2.43601108789444,2.6447961044311525,,
2008-07-16,,,2.3302993774414062,2.37816915512085,2.3675315380096436,2.4207194566726686,2.634889841079712,,
2008-07-17,,,2.2604904174804688,2.346034669876099,2.361547923088074,2.401383411884308,2.6238090133666994,,
2008-07-18,,,2.238328218460083,2.3141216278076175,2.3533480882644655,2.3803298592567446,2.612639513015747,,
