Date,GRADE,GPS,CPB,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.222064971923828,,,,,,
1983-11-22,,,1.2273789644241333,,,,,,
1983-11-23,,,1.2140958309173584,,,,,,
1983-11-24,,,1.2140958309173584,,,,,,
1983-11-25,,,1.2194093465805054,1.2194089889526367,,,,,
1983-11-28,,,1.2273789644241333,1.2204717874526978,,,,,
1983-11-29,,,1.2539455890655518,1.2257851123809815,,,,,
1983-11-30,,,1.2539455890655518,1.23375506401062,,,,,
1983-12-01,,,1.2698849439620972,1.2449128866195678,,,,,
1983-12-02,,,1.267228603363037,1.2544767379760742,1.2369428634643556,,,,
1983-12-05,,,1.2698849439620972,1.262977933883667,1.2417248606681823,,,,
1983-12-06,,,1.2698849439620972,1.266165804862976,1.2459754586219787,,,,
1983-12-07,,,1.272542119026184,1.2698851108551026,1.2518200874328613,,,,
1983-12-08,,,1.3017646074295044,1.276261043548584,1.260586965084076,,,,
1983-12-09,,,1.3177058696746826,1.2863564968109131,1.2704166173934937,,,,
1983-12-12,,,1.3123928308486938,1.2948580741882325,1.2789180040359498,,,,
1983-12-13,,,1.2991093397140503,1.300702953338623,1.2834343791007996,,,,
1983-12-14,,,1.304422378540039,1.307079005241394,1.2884820580482483,,,,
1983-12-15,,,1.3070787191390991,1.308141827583313,1.2922014355659486,,,,
1983-12-16,,,1.3150489330291748,1.3076104402542115,1.2969834685325623,1.2669631659984588,,,
1983-12-19,,,1.3469294309616089,1.3145177602767943,1.3046879172325134,1.273206388950348,,,
1983-12-20,,,1.3548989295959473,1.3256756782531738,1.3131893157958985,1.2795823872089387,,,
1983-12-21,,,1.344272494316101,1.3336457014083862,1.32036235332489,1.2860912203788757,,,
1983-12-22,,,1.3363025188446045,1.3394904613494873,1.3238161444664,1.2922015547752381,,,
1983-12-23,,,1.333645939826965,1.3432098627090454,1.3254101514816283,1.297913384437561,,,
1983-12-26,,,1.333645939826965,1.3405531644821165,1.3275354623794555,1.3032267332077025,,,
1983-12-27,,,1.3363025188446045,1.336833882331848,1.331254780292511,1.3073445796966552,,,
1983-12-28,,,1.3177058696746826,1.3315205574035642,1.3325831294059753,1.3105325937271117,,,
1983-12-29,,,1.3070787191390991,1.3256757974624631,1.3325831294059753,1.312392282485962,,,
1983-12-30,,,1.2964520454406738,1.318237018585205,1.3307234406471253,1.3138534545898437,,,
1984-01-02,,,1.2964520454406738,1.3107982397079467,1.3256757020950318,1.3151818096637726,,,
1984-01-03,,,1.3070787191390991,1.3049534797668456,1.320893681049347,1.3170414984226226,,,
1984-01-04,,,1.3017646074295044,1.30176522731781,1.3166428923606872,1.3185026228427887,,,
1984-01-05,,,1.3177058696746826,1.3038906574249267,1.314783227443695,1.3192996859550477,,,
1984-01-06,,,1.3283326625823977,1.3102667808532715,1.3142518997192383,1.3198310256004333,,,
1984-01-09,,,1.3123928308486938,1.3134549379348754,1.312126588821411,1.3198310256004333,,,
1984-01-10,,,1.267228603363037,1.305484914779663,1.3052191972732543,1.3182369887828826,,,
1984-01-11,,,1.267228603363037,1.2985777139663697,1.30017147064209,1.3163773000240326,,,
1984-01-12,,,1.264573097229004,1.287951159477234,1.2959209084510803,1.3142520189285278,,,
1984-01-13,,,1.2566028833389282,1.2736052036285401,1.2919359922409057,1.3113297164440154,,,
1984-01-16,,,1.2698849439620972,1.2651036262512207,1.289279282093048,1.30747749209404,,,
1984-01-17,,,1.2778558731079102,1.2672290802001953,1.2863569974899292,1.303625339269638,,,
1984-01-18,,,1.304422378540039,1.2746678352355958,1.2866227746009826,1.301632833480835,,,
1984-01-19,,,1.3017646074295044,1.282106137275696,1.2850286483764648,1.29990593791008,,,
1984-01-20,,,1.3123928308486938,1.293264126777649,1.2834346652030946,1.2988432824611664,,,
1984-01-23,,,1.2911393642425537,1.2975150108337403,1.2813093185424804,1.2967179536819458,,,
1984-01-24,,,1.3070787191390991,1.303359580039978,1.2852943301200868,1.2952567636966705,,,
1984-01-25,,,1.304422378540039,1.303359580039978,1.2890137076377868,1.2945925891399384,,,
1984-01-26,,,1.3123928308486938,1.305485224723816,1.293795680999756,1.2948582947254181,,,
1984-01-27,,,1.3150489330291748,1.306016445159912,1.2996402859687806,1.2957881391048431,1.291245210170746,,
1984-01-30,,,1.3123928308486938,1.3102671384811402,1.3038910746574401,1.2965851783752442,1.2930517673492432,,
1984-01-31,,,1.3389590978622437,1.3166432142257691,1.3100013971328734,1.2981791973114014,1.2952833700180053,,
1984-02-01,,,1.3363025188446045,1.3230192422866822,1.31318941116333,1.2999060928821564,1.2977275037765503,,
1984-02-02,,,1.32036292552948,1.3246132612228394,1.3150492429733276,1.3000389456748962,1.2998528456687928,,
1984-02-03,,,1.3123928308486938,1.324082040786743,1.3150492429733276,1.299241954088211,1.3017125153541564,,
1984-02-06,,,1.2991093397140503,1.3214253425598144,1.3158462405204774,1.2985777795314788,1.303147122859955,,
1984-02-07,,,1.2964520454406738,1.3129239320755004,1.3147835731506348,1.3000389516353608,1.3039972519874572,,
1984-02-08,,,1.2805122137069702,1.3017658710479736,1.3123925566673278,1.3007031321525573,1.3045285844802856,,
1984-02-09,,,1.2698849439620972,1.291670274734497,1.3081417679786682,1.300968724489212,1.3045285844802856,,
1984-02-10,,,1.2539455890655518,1.2799808263778687,1.302031433582306,1.3008358597755432,1.304262924194336,,
1984-02-13,,,1.232691764831543,1.266697311401367,1.2940613269805907,1.2989762008190155,1.3035190606117248,,
