Date,GRADE,GPS,PCG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2006-11-21,82.27647714230822,A,29.793027877807617,29.856191635131836,29.466672134399413,28.958059883117677,28.128142204284668,27.464769401550292,26.423809757232664
2006-11-22,82.1130935527837,A,29.779865264892575,29.881193542480467,29.566025733947754,29.018593311309814,28.18199768066406,27.504166736602784,26.454834909439086
2006-11-23,81.60723785433733,A,29.779865264892575,29.793024826049805,29.6509033203125,29.083074474334715,28.240162048339844,27.545783748626707,26.48444766044617
2006-11-24,81.37267365419878,A,29.92462158203125,29.79960517883301,29.721306800842285,29.156438255310057,28.299524269104005,27.58564935684204,26.513211221694945
2006-11-27,81.19094316652446,A,29.674591064453125,29.79039421081543,29.778550338745116,29.216642665863038,28.359761543273926,27.623602275848388,26.540724630355836
2006-11-28,81.03436259919732,A,29.911457061767575,29.814080047607415,29.835135841369627,29.292967224121092,28.4216024017334,27.662879238128664,26.569133434295654
2006-11-29,81.10141911487257,A,30.200977325439453,29.898302459716795,29.88974800109863,29.372911167144775,28.486883392333983,27.70616132736206,26.598187341690064
2006-11-30,81.21303361975333,A,30.2207088470459,29.98647117614746,29.88974800109863,29.46107931137085,28.555823135375977,27.74774751663208,26.628206644058228
2006-12-01,81.45417430197402,A,30.516801834106445,30.1049072265625,29.952256202697754,29.578856658935546,28.623633918762206,27.793796100616454,26.65890387535095
2006-12-04,81.87817249373389,A,30.77998733520508,30.325986480712892,30.05819034576416,29.695317935943603,28.688743705749513,27.841758365631105,26.689312019348144
2006-12-05,82.15174120480793,A,30.71419715881348,30.48653450012207,30.150307273864748,29.80848970413208,28.756063079833986,27.884362239837646,26.720739431381226
2006-12-06,82.13419933271184,A,30.556285858154297,30.55759620666504,30.227949333190917,29.896987533569337,28.81291202545166,27.923689517974854,26.75006112098694
2006-12-07,82.1069078214367,A,30.562854766845703,30.626025390625,30.306248283386232,29.978575801849367,28.87015567779541,27.96314775466919,26.77755383491516
2006-12-08,81.65987139646074,A,30.18780899047852,30.560226821899413,30.332567024230958,30.02693691253662,28.92582012176514,27.9998348236084,26.803717021942138
