Date,GRADE,GPS,APH,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1991-11-08,,,0.1268146336078643,,,,,,
1991-11-11,,,0.1268146336078643,,,,,,
1991-11-12,,,0.1268146336078643,,,,,,
1991-11-13,,,0.1233874261379242,,,,,,
1991-11-14,,,0.1199601739645004,0.12475830018520351,,,,,
1991-11-15,,,0.113104872405529,0.12201634794473644,,,,,
1991-11-18,,,0.1062505021691322,0.11790352165699,,,,,
1991-11-19,,,0.1062505021691322,0.1137906953692436,,,,,
1991-11-20,,,0.1079640910029411,0.11070602834224699,,,,,
1991-11-21,,,0.102823294699192,0.1072786524891853,0.11601847633719439,,,,
1991-11-22,,,0.0976815819740295,0.10419399440288539,0.11310517117381091,,,,
1991-11-25,,,0.1011088043451309,0.10316565483808515,0.11053458824753759,,,,
1991-11-26,,,0.1011088043451309,0.10213731527328487,0.10796400532126424,,,,
1991-11-27,,,0.1045368686318397,0.10145187079906459,0.10607894957065578,,,,
1991-11-28,,,0.1045368686318397,0.10179458558559414,0.10453661903738971,,,,
1991-11-29,,,0.1062505021691322,0.10350836962461467,0.10385118201375006,,,,
1991-12-02,,,0.1079640910029411,0.10487942695617672,0.10402254089713092,,,,
1991-12-03,,,0.1113913357257843,0.10693593323230739,0.10453662425279613,,,,
1991-12-04,,,0.1148185133934021,0.10899226218461988,0.10522206649184222,,,,
1991-12-05,,,0.1182466298341751,0.11173421442508695,0.10676440000534056,0.11139143817126747,,,
1991-12-06,,,0.1182466298341751,0.11413343995809552,0.10882090479135512,0.110963037982583,,,
1991-12-09,,,0.1165330335497856,0.11584722846746445,0.11036332771182059,0.11044895797967906,,,
1991-12-10,,,0.1113913357257843,0.11584722846746445,0.11139158084988592,0.10967779308557508,,,
1991-12-11,,,0.1079640910029411,0.11447634398937223,0.11173430308699608,0.10890662632882593,,,
1991-12-12,,,0.1113913357257843,0.11310528516769407,0.11241974979639054,0.10847818441689012,,,
1991-12-13,,,0.1148185133934021,0.11241966187953947,0.11327655091881753,0.10856386646628377,,,
1991-12-16,,,0.1148185133934021,0.11207675784826279,0.11396199315786362,0.10899226702749727,,,
1991-12-17,,,0.1113913357257843,0.11207675784826279,0.11396199315786362,0.10924930870532987,,,
1991-12-18,,,0.1079640910029411,0.11207675784826279,0.11327655091881753,0.10924930870532987,,,
1991-12-19,,,0.1062505021691322,0.11104859113693236,0.1120769381523132,0.10942066907882689,,,
1991-12-20,,,0.1062505021691322,0.10933498889207838,0.11087732538580893,0.10984911508858201,,,
1991-12-23,,,0.1113913357257843,0.10864955335855482,0.11036315560340879,0.11036324165761469,,,
1991-12-24,,,0.1182466298341751,0.11002061218023299,0.11104868501424787,0.1112201329320669,,,
1991-12-25,,,0.1182466298341751,0.11207711994647977,0.11207693889737128,0.11190562099218367,,,
1991-12-26,,,0.1233874261379242,0.11550450474023817,0.11327654793858526,0.11284814886748788,,,
1991-12-27,,,0.1233874261379242,0.11893188953399658,0.11413343921303747,0.11370499506592749,,,
1991-12-30,,,0.1216737627983093,0.12098837494850159,0.11481896415352819,0.11439047865569592,,,
1991-12-31,,,0.1233874261379242,0.1220165342092514,0.11601857319474218,0.11499028317630292,,,
1992-01-01,,,0.1233874261379242,0.12304469347000122,0.11756090670824049,0.11541872881352902,,,
1992-01-02,,,0.1216737627983093,0.12270196080207822,0.11910323277115822,0.11559008546173573,,,
1992-01-03,,,0.1233874261379242,0.12270196080207822,0.12081692516803741,0.11584712527692317,,,
1992-01-06,,,0.1268146336078643,0.12373013496398924,0.12235925495624542,0.11636120527982712,,,
1992-01-07,,,0.1302427798509597,0.12510120570659633,0.12355886995792387,0.11730377748608589,,,
1992-01-08,,,0.1353835463523864,0.12750042974948878,0.125272561609745,0.11867475025355814,,,
1992-01-09,,,0.1319562792778015,0.12955693304538723,0.12612944692373274,0.119702997431159,,,
1992-01-10,,,0.1319562792778015,0.1312707036733627,0.12698633223772046,0.12055988572537897,,,
1992-01-13,,,0.1336699873208999,0.1326417744159698,0.1281859546899795,0.12150245942175386,,,
1992-01-14,,,0.1336699873208999,0.13332721590995783,0.12921421080827708,0.12261639200150964,,,
1992-01-15,,,0.1336699873208999,0.13298450410366053,0.13024246692657465,0.12390168681740758,,,
1992-01-16,,,0.1388107240200042,0.13435539305210106,0.13195616304874416,0.1255296979099512,0.1171838420629501,,
1992-01-17,,,0.1388107240200042,0.13572628200054165,0.13349849283695214,0.1271577090024948,0.1174237638711929,,
1992-01-20,,,0.1336699873208999,0.13572628200054163,0.13418402820825573,0.12827164158225055,0.1175608709454536,,
1992-01-21,,,0.1319562792778015,0.13538354039192196,0.1343553781509399,0.12895712405443188,0.11766370385885234,,
1992-01-22,,,0.1285282373428344,0.13435519039630883,0.1336698472499847,0.12947120442986484,0.11776652008295056,,
1992-01-23,,,0.1285282373428344,0.13229869306087488,0.13332704305648796,0.12972824499011035,0.11793788135051723,,
1992-01-24,,,0.1285282373428344,0.1302421957254409,0.13298423886299127,0.12998528555035588,0.11824634864926335,,
1992-01-27,,,0.1285282373428344,0.1292138457298278,0.13247006386518473,0.13032800927758212,0.1186919033527374,,
1992-01-28,,,0.1268146336078643,0.12818551659584038,0.13178452849388117,0.13049936965107914,0.11910318598151204,,
1992-01-29,,,0.1251010596752166,0.1275000810623168,0.13092763572931282,0.13058505132794374,0.11944592535495754,,
1992-01-30,,,0.1285282373428344,0.1275000810623168,0.12989938706159582,0.13092777505517,0.11996002420783039,,
