Date,GRADE,GPS,MTD,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1998-01-13,,,18.75,17.2875,17.1375,17.475,,,
1998-01-14,,,18.25,17.625,17.2375,17.475,,,
1998-01-15,,,18.0,17.775,17.3125,17.453125,,,
1998-01-16,,,17.75,17.95,17.3875,17.428125,,,
1998-01-19,,,17.75,18.1,17.4875,17.409375,,,
1998-01-20,,,18.0,17.95,17.61875,17.428125,,,
1998-01-21,,,18.125,17.925,17.775,17.45625,,,
1998-01-22,,,17.75,17.875,17.825,17.465625,17.4775,,
1998-01-23,,,18.125,17.95,17.95,17.49375,17.5425,,
1998-01-26,,,17.875,17.975,18.0375,17.5125,17.595,,
1998-01-27,,,17.625,17.9,17.925,17.53125,17.6475,,
1998-01-28,,,17.75,17.825,17.875,17.55625,17.69,,
1998-01-29,,,17.625,17.8,17.8375,17.575,17.715,,
1998-01-30,,,17.875,17.75,17.85,17.61875,17.73,,
1998-02-02,,,19.0,17.975,17.975,17.73125,17.77,,
1998-02-03,,,18.8125,18.2125,18.05625,17.8375,17.79125,,
1998-02-04,,,19.0,18.4625,18.14375,17.959375,17.8125,,
1998-02-05,,,19.0,18.7375,18.26875,18.046875,17.83375,,
1998-02-06,,,19.375,19.0375,18.39375,18.171875,17.86375,,
1998-02-09,,,19.25,19.0875,18.53125,18.284375,17.8925,,
1998-02-10,,,20.125,19.35,18.78125,18.353125,17.93875,,
1998-02-11,,,20.0,19.55,19.00625,18.440625,17.98125,,
1998-02-12,,,19.9375,19.7375,19.2375,18.5375,18.02625,,
1998-02-13,,,20.0625,19.875,19.45625,18.653125,18.065,,
1998-02-16,,,20.0625,20.0375,19.5625,18.76875,18.10375,,
1998-02-17,,,20.5625,20.125,19.7375,18.896875,18.145,,
1998-02-18,,,20.1875,20.1625,19.85625,19.0,18.1875,,
1998-02-19,,,20.125,20.2,19.96875,19.11875,18.22875,,
1998-02-20,,,19.875,20.1625,20.01875,19.20625,18.27125,,
1998-02-23,,,20.0,20.15,20.09375,19.3125,18.30875,,
1998-02-24,,,19.5,19.9375,20.03125,19.40625,18.3375,,
1998-02-25,,,19.5,19.8,19.98125,19.49375,18.3625,,
1998-02-26,,,19.375,19.65,19.925,19.58125,18.38125,,
1998-02-27,,,19.5,19.575,19.86875,19.6625,18.40625,,
1998-03-02,,,20.125,19.6,19.875,19.71875,18.44625,,
1998-03-03,,,20.125,19.725,19.83125,19.784375,18.49625,,
1998-03-04,,,20.25,19.875,19.8375,19.846875,18.55,,
1998-03-05,,,20.4375,20.0875,19.86875,19.91875,18.6075,,
1998-03-06,,,20.375,20.2625,19.91875,19.96875,18.66375,,
1998-03-09,,,21.375,20.5125,20.05625,20.075,18.74125,,
1998-03-10,,,21.75,20.8375,20.28125,20.15625,18.83125,,
1998-03-11,,,22.375,21.2625,20.56875,20.275,18.93375,,
1998-03-12,,,22.25,21.625,20.85625,20.390625,19.03375,,
1998-03-13,,,22.125,21.975,21.11875,20.49375,19.13625,,
1998-03-16,,,21.75,22.05,21.28125,20.578125,19.23625,,
1998-03-17,,,21.5,22.0,21.41875,20.625,19.3325,,
1998-03-18,,,21.875,21.9,21.58125,20.709375,19.43875,,
1998-03-19,,,21.875,21.825,21.725,20.796875,19.53125,,
1998-03-20,,,21.5,21.7,21.8375,20.878125,19.62375,,
1998-03-23,,,21.375,21.625,21.8375,20.946875,19.71125,,
1998-03-24,,,21.0,21.525,21.7625,21.021875,19.75625,,
1998-03-25,,,20.8125,21.3125,21.60625,21.0875,19.8075,,
1998-03-26,,,20.875,21.1125,21.46875,21.1625,19.865,,
1998-03-27,,,21.125,21.0375,21.36875,21.24375,19.9325,,
1998-03-30,,,21.6875,21.1,21.3625,21.321875,20.01125,,
1998-03-31,,,22.1875,21.3375,21.43125,21.425,20.095,,
1998-04-01,,,22.125,21.6,21.45625,21.51875,20.175,,
1998-04-02,,,22.0,21.825,21.46875,21.596875,20.26,18.86875,
1998-04-03,,,21.5,21.9,21.46875,21.653125,20.3275,18.935,
1998-04-06,,,21.5,21.8625,21.48125,21.659375,20.4,18.9975,
1998-04-07,,,21.75,21.775,21.55625,21.659375,20.4825,19.065,
1998-04-08,,,21.5,21.65,21.625,21.615625,20.5575,19.12375,
1998-04-09,,,21.375,21.525,21.675,21.571875,20.6325,19.17375,
1998-04-10,,,21.375,21.5,21.7,21.534375,20.7025,19.21625,
1998-04-13,,,21.5,21.5,21.68125,21.521875,20.7525,19.26125,
1998-04-14,,,21.625,21.475,21.625,21.528125,20.80875,19.3,
1998-04-15,,,21.625,21.5,21.575,21.515625,20.86125,19.336875,
1998-04-16,,,21.4375,21.5125,21.51875,21.49375,20.91,19.371875,
1998-04-17,,,21.875,21.6125,21.55625,21.5125,20.96,19.411875,
1998-04-20,,,21.625,21.6375,21.56875,21.525,21.0075,19.45,
1998-04-21,,,21.9375,21.7,21.5875,21.571875,21.04375,19.49125,
1998-04-22,,,21.5625,21.6875,21.59375,21.609375,21.075,19.528125,
1998-04-23,,,21.5,21.7,21.60625,21.640625,21.10625,19.56625,
1998-04-24,,,21.125,21.55,21.58125,21.640625,21.1275,19.59625,
1998-04-27,,,20.5625,21.3375,21.4875,21.584375,21.1375,19.620625,
1998-04-28,,,20.1875,20.9875,21.34375,21.484375,21.13,19.6375,
1998-04-29,,,20.25,20.725,21.20625,21.390625,21.13125,19.659375,
1998-04-30,,,20.125,20.45,21.075,21.296875,21.13125,19.68,
1998-05-01,,,19.625,20.15,20.85,21.203125,21.12625,19.69875,
1998-05-04,,,19.75,19.9875,20.6625,21.115625,21.12125,19.715,
1998-05-05,,,20.0,19.95,20.46875,21.028125,21.13125,19.734375,
1998-05-06,,,19.75,19.85,20.2875,20.940625,21.13625,19.749375,
1998-05-07,,,19.5,19.725,20.0875,20.846875,21.13875,19.76,
1998-05-08,,,19.5,19.7,19.925,20.753125,21.13875,19.7725,
1998-05-11,,,19.5,19.65,19.81875,20.653125,21.12625,19.78625,
1998-05-12,,,19.875,19.625,19.7875,20.565625,21.12125,19.80875,
1998-05-13,,,19.625,19.6,19.725,20.465625,21.10875,19.829375,
1998-05-14,,,19.5,19.6,19.6625,20.36875,21.09,19.84875,
1998-05-15,,,19.5,19.6,19.65,20.25,21.0725,19.868125,
1998-05-18,,,19.125,19.525,19.5875,20.125,21.0275,19.884375,
1998-05-19,,,19.125,19.375,19.5,19.984375,20.975,19.903125,
1998-05-20,,,19.1875,19.2875,19.44375,19.865625,20.91125,19.9225,
1998-05-21,,,20.25,19.4375,19.51875,19.803125,20.87125,19.9525,
1998-05-22,,,20.0,19.5375,19.56875,19.746875,20.82875,19.9825,
1998-05-25,,,20.0,19.7125,19.61875,19.71875,20.79375,20.015,
1998-05-26,,,19.625,19.8125,19.59375,19.690625,20.75625,20.044375,
1998-05-27,,,18.5,19.675,19.48125,19.603125,20.68875,20.06375,
