Date,GRADE,GPS,BSX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1992-09-16,,,4.9375,4.94375,4.78125,4.74375,4.723125,,
1992-09-17,,,5.09375,4.98125,4.840625,4.7703125,4.734375,,
1992-09-18,,,4.90625,4.96875,4.871875,4.7875,4.743125,,
1992-09-21,,,4.90625,4.9625,4.903125,4.8078125,4.750625,,
1992-09-22,,,4.78125,4.925,4.91875,4.815625,4.753125,,
1992-09-23,,,4.71875,4.88125,4.9125,4.8140625,4.75625,,
1992-09-24,,,4.71875,4.80625,4.89375,4.809375,4.755625,,
1992-09-25,,,4.59375,4.74375,4.85625,4.796875,4.754375,,
1992-09-28,,,4.4375,4.65,4.80625,4.7765625,4.753125,,
1992-09-29,,,4.46875,4.5875,4.75625,4.7609375,4.7475,,
1992-09-30,,,4.4375,4.53125,4.70625,4.74375,4.739375,,
1992-10-01,,,4.46875,4.48125,4.64375,4.7421875,4.7325,,
1992-10-02,,,4.1875,4.4,4.571875,4.721875,4.721875,,
1992-10-05,,,4.125,4.3375,4.49375,4.6984375,4.711875,4.5384375,
1992-10-06,,,4.21875,4.2875,4.4375,4.678125,4.699375,4.5378125,
1992-10-07,,,4.375,4.275,4.403125,4.6578125,4.686875,4.5378125,
1992-10-08,,,4.5625,4.29375,4.3875,4.640625,4.678125,4.5396875,
1992-10-09,,,4.4375,4.34375,4.371875,4.6140625,4.666875,4.53875,
1992-10-12,,,4.4375,4.40625,4.371875,4.5890625,4.65625,4.5378125,
1992-10-13,,,4.4375,4.45,4.36875,4.5625,4.645625,4.5384375,
1992-10-14,,,4.5,4.475,4.375,4.540625,4.636875,4.5390625,
1992-10-15,,,4.46875,4.45625,4.375,4.509375,4.62625,4.5390625,
1992-10-16,,,4.5,4.46875,4.40625,4.4890625,4.618125,4.5384375,
1992-10-19,,,4.5625,4.49375,4.45,4.471875,4.6125,4.5378125,
1992-10-20,,,4.65625,4.5375,4.49375,4.465625,4.613125,4.5378125,
1992-10-21,,,4.5625,4.55,4.5125,4.4578125,4.613125,4.5384375,
1992-10-22,,,4.59375,4.575,4.515625,4.4515625,4.615,4.540625,
1992-10-23,,,4.5625,4.5875,4.528125,4.45,4.619375,4.543125,
1992-10-26,,,4.65625,4.60625,4.55,4.4609375,4.62375,4.5465625,
1992-10-27,,,4.78125,4.63125,4.584375,4.4765625,4.63125,4.553125,
1992-10-28,,,4.96875,4.7125,4.63125,4.503125,4.64,4.5615625,
1992-10-29,,,5.125,4.81875,4.696875,4.5359375,4.65125,4.571875,
1992-10-30,,,5.1875,4.94375,4.765625,4.5859375,4.66375,4.581875,
1992-11-02,,,4.96875,5.00625,4.80625,4.628125,4.673125,4.59,
1992-11-03,,,4.90625,5.03125,4.83125,4.6625,4.67875,4.5978125,
1992-11-04,,,4.9375,5.025,4.86875,4.690625,4.6825,4.6078125,
1992-11-05,,,5.0,5.0,4.909375,4.7125,4.68625,4.6184375,
1992-11-06,,,4.9375,4.95,4.946875,4.7375,4.688125,4.6284375,
1992-11-09,,,4.84375,4.925,4.965625,4.7578125,4.688125,4.6409375,
1992-11-10,,,4.90625,4.925,4.978125,4.78125,4.690625,4.6503125,
1992-11-11,,,5.03125,4.94375,4.984375,4.8078125,4.695625,4.66125,
1992-11-12,,,5.03125,4.95,4.975,4.8359375,4.70625,4.6728125,
1992-11-13,,,4.90625,4.94375,4.946875,4.85625,4.7125,4.683125,
1992-11-16,,,4.75,4.925,4.925,4.865625,4.715625,4.6884375,
1992-11-17,,,4.75,4.89375,4.909375,4.8703125,4.718125,4.693125,
1992-11-18,,,4.8125,4.85,4.896875,4.8828125,4.71875,4.6990625,
1992-11-19,,,4.84375,4.8125,4.88125,4.8953125,4.7175,4.703125,
1992-11-20,,,4.8125,4.79375,4.86875,4.9078125,4.714375,4.706875,
1992-11-23,,,4.84375,4.8125,4.86875,4.9171875,4.7125,4.709375,
1992-11-24,,,4.75,4.8125,4.853125,4.915625,4.708125,4.7109375,
1992-11-25,,,4.75,4.8,4.825,4.9046875,4.704375,4.71375,
1992-11-26,,,4.75,4.78125,4.796875,4.8859375,4.6975,4.7159375,
1992-11-27,,,4.71875,4.7625,4.778125,4.8625,4.69375,4.7184375,
1992-11-30,,,4.6875,4.73125,4.771875,4.8484375,4.689375,4.72,
1992-12-01,,,4.75,4.73125,4.771875,4.840625,4.68875,4.7209375,
1992-12-02,,,4.71875,4.725,4.7625,4.8296875,4.68875,4.7225,
1992-12-03,,,4.78125,4.73125,4.75625,4.81875,4.69,4.7228125,
1992-12-04,,,4.8125,4.75,4.75625,4.8125,4.694375,4.724375,
1992-12-07,,,4.875,4.7875,4.759375,4.8140625,4.703125,4.728125,
1992-12-08,,,4.71875,4.78125,4.75625,4.8046875,4.708125,4.7278125,
1992-12-09,,,4.75,4.7875,4.75625,4.790625,4.714375,4.726875,
1992-12-10,,,4.6875,4.76875,4.75,4.7734375,4.71875,4.725625,
1992-12-11,,,4.71875,4.75,4.75,4.7640625,4.729375,4.725625,
1992-12-14,,,4.6875,4.7125,4.75,4.7609375,4.740625,4.72625,
1992-12-15,,,4.65625,4.7,4.740625,4.75625,4.749375,4.724375,
1992-12-16,,,4.5625,4.6625,4.725,4.74375,4.753125,4.72,
1992-12-17,,,4.6875,4.6625,4.715625,4.7359375,4.755625,4.716875,
1992-12-18,,,4.71875,4.6625,4.70625,4.73125,4.76125,4.7140625,
1992-12-21,,,4.75,4.675,4.69375,4.7265625,4.7675,4.711875,
1992-12-22,,,4.78125,4.7,4.7,4.728125,4.774375,4.71,
1992-12-23,,,4.6875,4.725,4.69375,4.725,4.778125,4.7075,
1992-12-24,,,4.65625,4.71875,4.690625,4.7203125,4.781875,4.7040625,
1992-12-25,,,4.65625,4.70625,4.684375,4.7171875,4.785,4.7015625,
1992-12-28,,,4.875,4.73125,4.703125,4.7265625,4.79125,4.701875,
1992-12-29,,,4.90625,4.75625,4.728125,4.734375,4.79625,4.7046875,
1992-12-30,,,4.96875,4.8125,4.76875,4.746875,4.804375,4.70875,
1992-12-31,,,5.21875,4.925,4.821875,4.76875,4.816875,4.7159375,
1993-01-01,,,5.21875,5.0375,4.871875,4.7890625,4.83,4.7246875,
1993-01-04,,,5.28125,5.11875,4.925,4.809375,4.8425,4.733125,
1993-01-05,,,5.21875,5.18125,4.96875,4.834375,4.85125,4.74125,
1993-01-06,,,5.25,5.2375,5.025,4.859375,4.856875,4.7484375,
1993-01-07,,,5.15625,5.225,5.075,4.8828125,4.8575,4.754375,
1993-01-08,,,5.1875,5.21875,5.128125,4.90625,4.8575,4.760625,
1993-01-11,,,5.25,5.2125,5.165625,4.934375,4.863125,4.768125,
1993-01-12,,,5.15625,5.2,5.190625,4.959375,4.868125,4.7734375,
1993-01-13,,,5.25,5.2,5.21875,4.99375,4.874375,4.7784375,
1993-01-14,,,5.21875,5.2125,5.21875,5.0203125,4.87875,4.7825,
1993-01-15,,,5.1875,5.2125,5.215625,5.04375,4.88375,4.7859375,
1993-01-18,,,5.15625,5.19375,5.203125,5.0640625,4.89,4.7890625,
1993-01-19,,,5.21875,5.20625,5.203125,5.0859375,4.89625,4.7934375,
1993-01-20,,,5.25,5.20625,5.203125,5.1140625,4.900625,4.798125,
1993-01-21,,,5.28125,5.21875,5.215625,5.1453125,4.905625,4.8059375,
1993-01-22,,,5.46875,5.275,5.24375,5.1859375,4.916875,4.8146875,
1993-01-25,,,5.6875,5.38125,5.2875,5.2265625,4.935625,4.825625,
1993-01-26,,,5.78125,5.49375,5.35,5.2703125,4.95625,4.8371875,
1993-01-27,,,5.65625,5.575,5.390625,5.3046875,4.973125,4.8459375,
1993-01-28,,,5.5625,5.63125,5.425,5.321875,4.9875,4.8525,
1993-01-29,,,5.625,5.6625,5.46875,5.3421875,5.00375,4.8590625,
1993-02-01,,,5.625,5.65,5.515625,5.359375,5.019375,4.8659375,
1993-02-02,,,5.59375,5.6125,5.553125,5.378125,5.03625,4.8721875,
1993-02-03,,,5.5625,5.59375,5.584375,5.39375,5.0525,4.8784375,
1993-02-04,,,5.4375,5.56875,5.6,5.4078125,5.06625,4.881875,
1993-02-05,,,5.3125,5.50625,5.584375,5.4140625,5.078125,4.8859375,
1993-02-08,,,5.28125,5.4375,5.54375,5.415625,5.09,4.8896875,
1993-02-09,,,5.25,5.36875,5.490625,5.4203125,5.1,4.894375,
1993-02-10,,,5.25,5.30625,5.45,5.4203125,5.110625,4.8996875,
1993-02-11,,,5.21875,5.2625,5.415625,5.4203125,5.119375,4.9046875,
1993-02-12,,,5.25,5.25,5.378125,5.4234375,5.128125,4.91125,
1993-02-15,,,5.25,5.24375,5.340625,5.428125,5.135625,4.919375,
1993-02-16,,,5.03125,5.2,5.284375,5.41875,5.141875,4.925,
1993-02-17,,,4.71875,5.09375,5.2,5.3921875,5.14125,4.9278125,
1993-02-18,,,4.625,4.975,5.11875,5.359375,5.14,4.929375,
1993-02-19,,,4.5,4.825,5.0375,5.3109375,5.135625,4.9325,
1993-02-22,,,4.0,4.575,4.909375,5.2265625,5.121875,4.93125,4.73484375
1993-02-23,,,4.1875,4.40625,4.803125,5.146875,5.1125,4.9309375,4.734375
1993-02-24,,,4.59375,4.38125,4.7375,5.09375,5.113125,4.933125,4.73546875
1993-02-25,,,4.59375,4.375,4.675,5.0453125,5.11125,4.9334375,4.7365625
1993-02-26,,,4.65625,4.40625,4.615625,4.996875,5.11,4.935625,4.7371875
1993-03-01,50.01088011788414,P,4.5625,4.51875,4.546875,4.94375,5.10625,4.936875,4.73734375
1993-03-02,50.679226658479934,P,4.65625,4.6125,4.509375,4.896875,5.10375,4.9390625,4.73875
1993-03-03,50.80372319124769,P,4.59375,4.6125,4.496875,4.8484375,5.101875,4.94,4.73953125
1993-03-04,50.790100908251425,P,4.40625,4.575,4.475,4.796875,5.096875,4.939375,4.73921875
1993-03-05,50.80649045856345,P,4.5,4.54375,4.475,4.75625,5.09375,4.939375,4.73890625
