Date,GRADE,GPS,GS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1999-05-04,,,49.93653106689453,,,,,,
1999-05-05,,,49.04955673217773,,,,,,
1999-05-06,,,48.20694732666016,,,,,,
1999-05-07,,,52.59746170043945,,,,,,
1999-05-10,,,50.15827941894531,49.98975524902344,,,,,
1999-05-11,,,50.11392211914063,50.02523345947266,,,,,
1999-05-12,,,52.15396118164063,50.646114349365234,,,,,
1999-05-13,,,51.93221664428711,51.391168212890626,,,,,
1999-05-14,,,49.80348587036133,50.832373046875,,,,,
1999-05-17,,,48.69477844238281,50.5396728515625,50.264714050292966,,,,
1999-05-18,,,48.69477844238281,50.25584411621094,50.1405387878418,,,,
1999-05-19,,,49.18259811401367,49.66157150268555,50.15384292602539,,,,
1999-05-20,,,48.517364501953125,48.97860107421875,50.18488464355469,,,,
1999-05-21,,,47.8965072631836,48.597205352783206,49.7147891998291,,,,
1999-05-24,,,46.34429168701172,48.12710800170898,49.333390426635745,,,,
1999-05-25,,,45.76776885986328,47.54170608520508,48.89877510070801,,,,
1999-05-26,,,46.8764762878418,47.080481719970706,48.371026611328126,,,,
1999-05-27,,,48.07388687133789,46.99178619384766,47.9851936340332,,,,
1999-05-28,,,48.20694732666016,47.05387420654297,47.82553977966309,,,,
1999-05-31,,,48.20694732666016,47.426405334472655,47.776756668090826,49.020735359191896,,,
1999-06-01,,,45.54602813720703,47.382057189941406,47.46188163757325,48.80121021270752,,,
1999-06-02,,,44.88078308105469,46.98291854858398,47.03170013427735,48.59277153015137,,,
1999-06-03,,,45.14688873291016,46.397518920898435,46.694652557373054,48.439768600463864,,,
1999-06-04,,,46.38865661621094,46.033860778808595,46.54386749267579,48.12932834625244,,,
1999-06-07,,,46.78779220581055,45.750029754638675,46.58821754455567,47.9608039855957,,,
1999-06-08,,,45.23558807373047,45.68794174194336,46.53499946594239,47.71688728332519,,,
