Date,GRADE,GPS,SPGI,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,2.404883861541748,,,,,,
1983-11-22,,,2.288517713546753,,,,,,
1983-11-23,,,2.275590419769287,,,,,,
1983-11-24,,,2.275590419769287,,,,,,
1983-11-25,,,2.24326491355896,2.297569465637207,,,,,
1983-11-28,,,2.256194591522217,2.2678316116333006,,,,,
1983-11-29,,,2.249730110168457,2.260074090957642,,,,,
1983-11-30,,,2.275590419769287,2.260074090957642,,,,,
1983-12-01,,,2.256194591522217,2.2561949253082276,,,,,
1983-12-02,,,2.282052993774414,2.263952541351318,2.2807610034942627,,,,
1983-12-05,,,2.301447868347168,2.2730031967163087,2.270417404174805,,,,
1983-12-06,,,2.3273069858551025,2.2885185718536376,2.2742963314056395,,,,
1983-12-07,,,2.3402364253997803,2.3014477729797362,2.280760931968689,,,,
1983-12-08,,,2.275590419769287,2.3053269386291504,2.280760931968689,,,,
1983-12-09,,,2.236800193786621,2.2962763786315916,2.280114459991455,,,,
1983-12-12,,,2.230334758758545,2.282053756713867,2.277528476715088,,,,
1983-12-13,,,2.1915476322174072,2.254901885986328,2.271710228919983,,,,
1983-12-14,,,2.198012113571167,2.2264570236206054,2.263952398300171,,,,
1983-12-15,,,2.0945770740509038,2.1902543544769286,2.2477906465530397,,,,
1983-12-16,,,2.178616762161255,2.1786176681518556,2.2374470233917236,2.259104013442993,,,
1983-12-19,,,2.256194591522217,2.1837896347045898,2.2329216957092286,2.2516695499420165,,,
1983-12-20,,,2.249730110168457,2.1954261302947997,2.225164008140564,2.249730169773102,,,
1983-12-21,,,2.1850833892822266,2.1928403854370115,2.2096487045288087,2.245204818248749,,,
1983-12-22,,,2.159223318099976,2.2057696342468263,2.1980119943618774,2.239386463165283,,,
1983-12-23,,,2.1915476322174072,2.2083558082580566,2.193486738204956,2.2368005990982054,,,
1983-12-26,,,2.1915476322174072,2.195426416397095,2.189608025550842,2.233568251132965,,,
1983-12-27,,,2.230334758758545,2.1915473461151125,2.193486738204956,2.2325984835624695,,,
1983-12-28,,,2.236800193786621,2.201890707015991,2.1973655462265014,2.230658972263336,,,
1983-12-29,,,2.236800193786621,2.21740608215332,2.2115878582000734,2.2296892523765566,,,
1983-12-30,,,2.1850833892822266,2.216113233566284,2.2122345209121703,2.224840772151947,,,
1984-01-02,,,2.1850833892822266,2.214820384979248,2.2051234006881715,2.2190225481987,,,
1984-01-03,,,2.198012113571167,2.2083558559417726,2.1999516010284426,2.2125578045845034,,,
1984-01-04,,,2.1915476322174072,2.1993053436279295,2.2005980253219604,2.2051233649253845,,,
1984-01-05,,,2.320842742919922,2.2161138534545897,2.216759967803955,2.207385981082916,,,
1984-01-06,,,2.288517713546753,2.236800718307495,2.2264569759368897,2.209971857070923,,,
