Date,GRADE,GPS,FDS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1996-06-28,,,3.494102716445923,,,,,,
1996-07-01,,,3.515941619873047,,,,,,
1996-07-02,,,3.5814554691314697,,,,,,
1996-07-03,,,3.5377774238586426,,,,,,
1996-07-04,,,3.5377774238586426,3.533410930633545,,,,,
1996-07-05,,,3.47226357460022,3.529043102264404,,,,,
1996-07-08,,,3.2538833618164062,3.476631450653076,,,,,
1996-07-09,,,3.232043981552124,3.406749153137207,,,,,
1996-07-10,,,3.101015329360962,3.319396734237671,,,,,
1996-07-11,,,3.0136632919311523,3.2145739078521727,3.373992419242859,,,,
1996-07-12,,,3.035501718521118,3.1272215366363527,3.3281323194503782,,,,
1996-07-15,,,3.0136632919311523,3.0791775226593017,3.277904486656189,,,,
1996-07-16,,,2.7516062259674072,2.983089971542358,3.194919562339783,,,,
1996-07-17,,,2.9918246269226074,2.9612518310546876,3.140324282646179,,,,
1996-07-18,,,2.9918246269226074,2.9568840980529787,3.0857290029525757,,,,
1996-07-19,,,3.0136632919311523,2.9525164127349854,3.039868974685669,,,,
1996-07-22,,,3.0573389530181885,2.9612515449523924,3.0202145338058473,,,,
1996-07-23,,,2.9699862003326416,3.0049275398254394,2.994008755683899,,,,
1996-07-24,,,2.9918246269226074,3.0049275398254394,2.9830896854400635,,,,
1996-07-25,,,3.035501718521118,3.0136629581451415,2.98527352809906,3.1796329736709597,,,
1996-07-26,,,3.0573389530181885,3.022398090362549,2.987457251548767,3.157794785499573,,,
1996-07-29,,,3.1883699893951416,3.0486042976379393,3.004927921295166,3.1414162039756777,,,
1996-07-30,,,3.319397449493408,3.1184865474700927,3.061707043647766,3.1283133029937744,,,
1996-07-31,,,3.494102716445923,3.218942165374756,3.111934852600098,3.1261295676231384,,,
1996-08-01,,,3.428588628768921,3.2975595474243162,3.155611252784729,3.120670127868652,,,
1996-08-02,,,3.3849127292633057,3.36307430267334,3.192736196517944,3.1163025856018067,,,
1996-08-05,,,3.4504263401031494,3.4154855728149416,3.2320449352264404,3.1261297345161436,,,
1996-08-06,,,3.428588628768921,3.437323808670044,3.2779051780700685,3.1359569668769836,,,
1996-08-07,,,3.232043981552124,3.384912061691284,3.30192711353302,3.142508399486542,,,
1996-08-08,,,3.210206985473633,3.3412357330322267,3.3193976402282717,3.1523355841636658,,,
1996-08-09,,,3.341235399246216,3.3325002670288084,3.347787284851074,3.1676222681999207,,,
1996-08-12,,,3.3630731105804443,3.3150296211242676,3.3652575969696046,3.1850927591323854,,,
1996-08-13,,,3.319397449493408,3.293191385269165,3.3652575969696046,3.2134823203086853,,,
1996-08-14,,,3.3630731105804443,3.319397211074829,3.3521546363830566,3.232044744491577,,,
1996-08-15,,,3.4067492485046387,3.35870566368103,3.3499706983566284,3.2527909755706785,,,
1996-08-16,,,3.4504263401031494,3.380543851852417,3.356522059440613,3.2746291279792787,,,
1996-08-19,,,3.3849127292633057,3.3849117755889893,3.3499706983566284,3.2910078167915344,,,
1996-08-20,,,3.4067492485046387,3.4023821353912354,3.3477867603302003,3.312845969200134,,,
1996-08-21,,,3.4067492485046387,3.411117362976074,3.3652572870254516,3.3335922002792358,,,
