Date,GRADE,GPS,APA,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2016-10-04,73.21485657542831,A,53.295597076416016,53.31231002807617,51.841019821166995,50.16378002166748,45.77255180358887,46.07088802337646,41.814430179595945
2016-10-05,72.69196521749522,A,54.01411056518555,53.47105102539062,52.15516204833985,50.56147079467773,45.98793991088867,46.140206565856936,41.90035110473633
2016-10-06,71.8638823042238,A,53.54624557495117,53.529534912109376,52.413326263427734,50.772013092041014,46.19263381958008,46.20176933288574,41.985329933166504
2016-10-07,70.66010105069022,A,52.91128540039063,53.43930511474609,52.689873123168944,50.936186981201175,46.37360023498535,46.255901184082035,42.06713396072388
2016-10-10,69.67950211661936,A,53.60472869873047,53.47439346313477,53.04244842529297,51.11414623260498,46.612382049560544,46.31289218902588,42.1525696182251
2016-10-11,68.49005542440315,A,52.526947021484375,53.32066345214844,53.3164867401123,51.33805618286133,46.82843856811523,46.35369930267334,42.23631500244141
2016-10-12,67.56145108457544,A,52.39327239990234,52.9964958190918,53.233773422241214,51.58703079223633,47.01191108703613,46.395997314453126,42.339939785003665
2016-10-13,66.8949046905706,A,51.85855484008789,52.65895767211914,53.094246292114256,51.72780971527099,47.210589218139646,46.43195022583008,42.449027967453006
2016-10-14,66.47897937696898,A,51.60791397094727,52.39828338623047,52.91879425048828,51.86190490722656,47.41327796936035,46.46323432922363,42.55645197868347
2016-10-17,65.67821203816197,P,51.67475128173828,52.01228790283203,52.7433406829834,52.029001998901364,47.600092544555665,46.4951868057251,42.6707443523407
2016-10-18,65.70391366975109,P,52.4935302734375,52.00560455322265,52.663134002685545,52.25207691192627,47.810634765625,46.54489158630371,42.787651195526124
2016-10-19,66.52831633861825,P,53.95307922363281,52.31756591796875,52.65703086853027,52.40609645843506,48.0745970916748,46.61725929260254,42.91111605644226
2016-10-20,67.26717460445384,P,53.24847030639648,52.59554901123047,52.6272533416748,52.52028980255127,48.310932388305666,46.68532550811768,43.025181198120116
2016-10-21,67.81470847841173,A,52.16638946533203,52.707244110107425,52.55276374816894,52.62131843566895,48.535317764282226,46.75305019378662,43.14082221031189
2016-10-24,68.07178245949905,A,51.65470504760742,52.70323486328125,52.35776138305664,52.70010490417481,48.73493186950684,46.80700839996338,43.253904800415036
2016-10-25,67.31543655719683,A,50.8074951171875,52.36602783203125,52.18581619262695,52.75115146636963,48.899388275146485,46.830953712463376,43.36624445915222
2016-10-26,66.07208141566717,P,51.73859405517578,51.92313079833984,52.120348358154295,52.67706089019775,49.07143844604492,46.874273490905765,43.48166660308838
2016-10-27,65.10221660430642,P,51.75536346435547,51.62450942993164,52.110029220581055,52.60213775634766,49.210905685424805,46.92749179840088,43.58628544807434
2016-10-28,64.19030295687264,P,50.93331527709961,51.37789459228516,52.04256935119629,52.480681800842284,49.33577018737793,46.99170177459717,43.67793538093567
2016-10-31,63.310590412372676,P,49.89318084716797,51.02558975219726,51.86441230773926,52.30387649536133,49.445513305664065,47.04284896850586,43.77245673179627
2016-11-01,62.91256682103841,P,49.93512344360352,50.85111541748047,51.60857162475586,52.1358528137207,49.552084884643556,47.08676399230957,43.86470415115357
2016-11-02,62.24400674671953,P,49.87639999389648,50.47867660522461,51.200903701782224,51.92896728515625,49.6683430480957,47.13200469970703,43.95417412757874
2016-11-03,60.30218588704628,P,46.57144927978516,49.44189376831055,50.53320159912109,51.58022747039795,49.72234535217285,47.15692092895508,44.01896445274353
2016-11-04,58.879416093890335,P,47.09151077270508,48.67353286743164,50.025713729858396,51.28923873901367,49.789422760009764,47.179801864624025,44.078324270248416
2016-11-07,58.32347693422099,P,48.19036102294922,48.33296890258789,49.67927932739258,51.01852035522461,49.87045616149902,47.20161197662353,44.15029841423035
2016-11-08,57.72510211862306,P,47.75418472290039,47.89678115844727,49.37394828796387,50.77988224029541,49.94945014953613,47.20816493988037,44.22948850631714
2016-11-09,57.78561491591005,P,48.668495178222656,47.6552001953125,49.066938400268555,50.59364337921143,50.092347869873045,47.225524253845215,44.30211465835571
