Date,GRADE,GPS,VST,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2016-10-05,,,11.449798583984377,,,,,,
2016-10-06,,,11.63447093963623,,,,,,
2016-10-07,,,11.74527645111084,,,,,,
2016-10-10,,,11.819147109985352,,,,,,
2016-10-11,,,12.077691078186035,11.745276832580567,,,,,
2016-10-12,,,12.077691078186035,11.870855331420898,,,,,
2016-10-13,,,11.893014907836914,11.922564125061035,,,,,
2016-10-14,,,11.893014907836914,11.95211181640625,,,,,
2016-10-17,,,11.893014907836914,11.966885375976563,,,,,
2016-10-18,,,11.819147109985352,11.915176582336425,11.830226707458497,,,,
2016-10-19,,,11.81175708770752,11.861989784240723,11.866422557830811,,,,
2016-10-20,,,11.74527645111084,11.832442092895509,11.87750310897827,,,,
2016-10-21,,,11.597536087036133,11.773346328735352,11.8627290725708,,,,
2016-10-24,,,11.58276081085205,11.71129550933838,11.83909044265747,,,,
2016-10-25,,,11.50889492034912,11.649245071411134,11.78221082687378,,,,
2016-10-26,,,11.412861824035645,11.569466018676758,11.71572790145874,,,,
2016-10-27,,,11.228187561035156,11.466048240661621,11.649245166778565,,,,
2016-10-28,,,11.228187561035156,11.392178535461426,11.582762432098388,,,,
2016-10-31,,,11.228187561035156,11.321263885498047,11.516279697418213,,,,
2016-11-01,,,11.080449104309082,11.235574722290039,11.442409896850586,11.63631830215454,,,
2016-11-02,,,10.046274185180664,10.962257194519044,11.2658616065979,11.566142082214355,,,
2016-11-03,,,10.046274185180664,10.725874519348144,11.095961380004884,11.486732244491577,,,
2016-11-04,,,10.341754913330078,10.548587989807128,10.970383262634277,11.41655616760254,,,
2016-11-07,,,10.41562271118164,10.386075019836426,10.853669452667237,11.346379947662353,,,
2016-11-08,,,10.48949146270752,10.267883491516113,10.751729106903076,11.266969966888428,,,
2016-11-09,,,10.378686904907228,10.334366035461425,10.648311614990234,11.182019758224488,,,
2016-11-10,,,10.511651992797852,10.427441596984863,10.576658058166505,11.112951612472534,,,
2016-11-11,,,10.866228103637695,10.532336235046387,10.540462112426757,11.061612272262574,,,
2016-11-14,,,10.63722801208496,10.57665729522705,10.481366157531738,10.998822927474976,,,
2016-11-15,,,10.578134536743164,10.59438591003418,10.431134700775146,10.936772298812866,,,
2016-11-16,,,10.41562271118164,10.601773071289063,10.468069553375244,10.866965579986573,,,
2016-11-17,,,10.378686904907228,10.575180053710938,10.5013108253479,10.798636102676392,,,
2016-11-18,,,10.41562271118164,10.485058975219726,10.508697605133056,10.739540433883667,,,
2016-11-21,,,10.341754913330078,10.42596435546875,10.5013108253479,10.677490139007569,,,
2016-11-22,,,10.378686904907228,10.386074829101563,10.490230369567872,10.620979738235473,,,
2016-11-23,,,10.341754913330078,10.37130126953125,10.486537170410156,10.567424392700195,,,
2016-11-24,,,10.341754913330078,10.36391487121582,10.469547462463378,10.523102760314941,,,
2016-11-25,,,10.341754913330078,10.349141311645507,10.417100143432616,10.478781127929688,,,
2016-11-28,,,10.452556610107422,10.371301651000977,10.398633003234863,10.4399995803833,,,
2016-11-29,,,10.157076835632324,10.326979637145996,10.35652723312378,10.393830966949462,,,
2016-11-30,,,10.304818153381348,10.31959228515625,10.34544677734375,10.406758165359497,,,
2016-12-01,,,10.312204360961914,10.313682174682617,10.338798522949219,10.42005467414856,,,
2016-12-02,,,10.230947494506836,10.291520690917968,10.320331001281739,10.414514303207397,,,
2016-12-05,,,10.674163818359377,10.335842132568361,10.353571891784668,10.427441358566284,,,
2016-12-06,,,11.523666381835938,10.609160041809082,10.46806983947754,10.479150104522706,,,
2016-12-07,,,11.449798583984377,10.838156127929688,10.578874206542968,10.532705688476563,,,
2016-12-08,,,11.74527645111084,11.124770545959473,10.719226360321045,10.594386911392212,,,
