Date,GRADE,GPS,ADP,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.8618550300598145,,,,,,
1983-11-22,,,0.8587875366210938,,,,,,
1983-11-23,,,0.8710558414459229,,,,,,
1983-11-24,,,0.8710558414459229,,,,,,
1983-11-25,,,0.8587875366210938,0.8643083572387695,,,,,
1983-11-28,,,0.867988646030426,0.8655350804328918,,,,,
1983-11-29,,,0.867988646030426,0.8673753023147583,,,,,
1983-11-30,,,0.867988646030426,0.8667618632316589,,,,,
1983-12-01,,,0.867988646030426,0.8661484241485595,,,,,
1983-12-02,,,0.867988646030426,0.867988646030426,0.8661485016345978,,,,
1983-12-05,,,0.889458954334259,0.8722827076911926,0.8689088940620422,,,,
1983-12-06,,,0.8925265669822693,0.8771902918815613,0.8722827970981598,,,,
1983-12-07,,,0.8925265669822693,0.8820978760719299,0.8744298696517945,,,,
1983-12-08,,,0.8771905303001404,0.8839382529258728,0.8750433385372162,,,,
1983-12-09,,,0.8863916397094727,0.8876188516616821,0.877803748846054,,,,
1983-12-12,,,0.8836816549301147,0.8864633917808533,0.8793730497360229,,,,
1983-12-13,,,0.8867610096931458,0.8853102803230286,0.8812502861022949,,,,
1983-12-14,,,0.8744445443153381,0.8816938757896423,0.8818958759307861,,,,
1983-12-15,,,0.8405752182006836,0.874370813369751,0.8791545331478119,,,,
1983-12-16,,,0.8251808285713196,0.8621286511421203,0.8748737514019013,0.8705111265182495,,,
1983-12-19,,,0.8344174027442932,0.852275800704956,0.8693695962429047,0.8691392451524734,,,
1983-12-20,,,0.8374963402748108,0.8424228668212891,0.8638665735721588,0.8680746853351593,,,
1983-12-21,,,0.8498128056526184,0.8374965190887451,0.8595951974391938,0.8670125335454941,,,
1983-12-22,,,0.8374963402748108,0.8368807435035706,0.8556257784366608,0.8653345584869385,,,
1983-12-23,,,0.8313378691673279,0.8381121516227722,0.8501204013824463,0.8639620751142502,,,
1983-12-26,,,0.8313378691673279,0.8374962449073792,0.8448860228061676,0.8621295362710952,,,
1983-12-27,,,0.8621286153793335,0.8424226999282837,0.8424227833747864,0.8618365347385406,,,
1983-12-28,,,0.8621286153793335,0.8448858618736267,0.841191190481186,0.861543533205986,,,
1983-12-29,,,0.8590496182441711,0.8491965174674988,0.8430386304855346,0.8610965818166733,,,
1983-12-30,,,0.8744445443153381,0.8578178524971009,0.8479650020599365,0.8614193767309188,,,
1984-01-02,,,0.8744445443153381,0.8664391875267029,0.851967716217041,0.8606686562299728,,,
1984-01-03,,,0.8744445443153381,0.8689023733139039,0.8556625366210937,0.8597645550966263,,,
1984-01-04,,,0.8621286153793335,0.8689023733139039,0.8568941175937652,0.8582446575164795,,,
1984-01-05,,,0.8867610096931458,0.8744446516036988,0.8618205845355987,0.8587231814861298,,,
1984-01-06,,,0.899077296257019,0.8793712019920349,0.8685945272445679,0.8593574643135071,,,
1984-01-09,,,0.8867610096931458,0.8818344950675965,0.8741368412971496,0.8595114320516586,,,
1984-01-10,,,0.8929191827774048,0.8855294227600098,0.8772158980369568,0.8598193407058716,,,
1984-01-11,,,0.899077296257019,0.8929191589355469,0.8809107661247253,0.8610509783029556,,,
1984-01-12,,,0.917551338672638,0.8990772247314454,0.8867609381675721,0.8648997843265533,,,
1984-01-13,,,0.9144724011421204,0.9021562457084655,0.8907637238502503,0.8693643629550933,,,
1984-01-16,,,0.9113932847976683,0.9070827007293701,0.8944585978984833,0.8732131570577621,,,
1984-01-17,,,0.9298680424690248,0.914472472667694,0.900000947713852,0.8778317421674728,,,
1984-01-18,,,0.942183792591095,0.9230937719345093,0.908006465435028,0.8824502915143967,,,
1984-01-19,,,0.942183792591095,0.9280202627182007,0.913548743724823,0.8876846641302109,,,
1984-01-20,,,0.936025083065033,0.9323307991027832,0.9172435224056243,0.8929190248250961,,,
1984-01-23,,,0.917551338672638,0.933562409877777,0.9203225553035737,0.8972296983003616,,,
1984-01-24,,,0.9298680424690248,0.933562409877777,0.9240174412727356,0.9006166696548462,,,
1984-01-25,,,0.9052354097366332,0.9261727333068848,0.9246332526206971,0.9027720093727112,,,
1984-01-26,,,0.899077296257019,0.9175514340400696,0.9227858483791351,0.9047733932733536,,,
1984-01-27,,,0.8867610096931458,0.9076986193656922,0.9200147092342377,0.9053892165422439,0.8799531376361847,,
1984-01-30,,,0.8775240778923035,0.8996931672096252,0.9166277885437012,0.9055431932210922,0.8802665185928344,,
1984-01-31,,,0.8836816549301147,0.8904558897018433,0.9120091497898102,0.9060050487518311,0.8807644009590149,,
1984-02-01,,,0.8713653087615967,0.8836818695068359,0.9049273014068604,0.9064668834209442,0.8807705903053283,,
1984-02-02,,,0.8806031346321106,0.8799870371818542,0.8987692356109619,0.9061589896678924,0.8809615361690522,,
1984-02-03,,,0.8775240778923035,0.8781396508216858,0.8929191350936889,0.9050813287496566,0.8813362669944763,,
1984-02-06,,,0.8590496182441711,0.8744447588920593,0.8870689630508423,0.9036957591772079,0.8811574864387512,,
1984-02-07,,,0.8559702038764954,0.8689024686813355,0.8796791791915893,0.9018483102321625,0.8809171175956726,,
1984-02-08,,,0.8559702038764954,0.8658234477043152,0.8747526586055756,0.8996929556131363,0.8806767487525939,,
1984-02-09,,,0.8528918027877808,0.8602811813354492,0.8701341092586518,0.8964599788188934,0.8803748118877411,,
1984-02-10,,,0.8621286153793335,0.8572020888328552,0.8676708698272705,0.8938427895307541,0.8802576112747192,,
1984-02-13,,,0.8559702038764954,0.8565862059593201,0.8655154824256897,0.8910716354846955,0.8795878362655639,,
