Date,GRADE,GPS,DELL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2016-08-17,,,11.263915061950684,,,,,,
2016-08-18,,,11.198426246643066,,,,,,
2016-08-19,,,11.394890785217283,,,,,,
2016-08-22,,,11.434184074401855,,,,,,
2016-08-23,,,11.787818908691406,11.415847015380859,,,,,
2016-08-24,,,11.944987297058104,11.552061462402344,,,,,
2016-08-25,,,11.895216941833496,11.69141960144043,,,,,
2016-08-26,,,11.984280586242676,11.809297561645508,,,,,
2016-08-29,,,12.1283540725708,11.948131561279297,,,,,
2016-08-30,,,11.827108383178713,11.955989456176757,11.685918235778809,,,,
2016-08-31,,,11.70399284362793,11.907790565490723,11.729926013946534,,,,
2016-09-01,,,11.394890785217283,11.80772533416748,11.749572467803954,,,,
2016-09-02,,,11.258676528930664,11.662604522705077,11.735951042175293,,,,
2016-09-05,,,11.258676528930664,11.48866901397705,11.718400287628175,,,,
2016-09-06,,,11.905694007873535,11.504386138916015,11.730187797546387,,,,
2016-09-07,,,12.573671340942385,11.678321838378906,11.793056201934814,,,,
2016-09-08,,,13.17877960205078,12.035099601745605,11.921412467956543,,,,
2016-09-09,,,12.856578826904297,12.354680061340332,12.008642292022705,,,,
2016-09-12,,,12.940404891967772,12.691025733947752,12.089847373962403,,,,
2016-09-13,,,12.704647064208984,12.850816345214843,12.17760124206543,11.93175973892212,,,
2016-09-14,,,12.665355682373049,12.869153213500976,12.273737525939941,12.001831769943237,,,
2016-09-15,,,12.806809425354004,12.794759178161621,12.414929389953613,12.082250928878784,,,
2016-09-16,,,12.696789741516112,12.762801361083984,12.558740711212158,12.147345876693725,,,
2016-09-19,,,12.77275562286377,12.729271507263183,12.71014862060547,12.214274454116822,,,
2016-09-20,,,12.764894485473633,12.741320991516114,12.796068668365479,12.263128232955932,,,
2016-09-21,,,12.683690071105955,12.744987869262696,12.807070541381837,12.300063371658325,,,
2016-09-22,,,12.581530570983888,12.699932098388672,12.747345638275146,12.334379053115844,,,
2016-09-23,,,12.576290130615234,12.675832176208496,12.719316768646241,12.363979530334472,,,
2016-09-26,,,12.5448579788208,12.630252647399903,12.679762077331542,12.384804725646973,,,
2016-09-27,,,12.518661499023438,12.581006050109863,12.661163520812988,12.41938238143921,,,
2016-09-28,,,12.536999702453612,12.551667976379395,12.648327922821045,12.461032724380493,,,
2016-09-29,,,12.461030960083008,12.527568054199218,12.613750076293945,12.51433973312378,,,
2016-09-30,,,12.521280288696287,12.51656608581543,12.59619913101196,12.57746992111206,,,
2016-10-03,,,12.555336952209473,12.518661880493164,12.574457263946531,12.642302942276,,,
