Date,GRADE,GPS,WDC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,4.064164161682129,,,,,,
1983-11-22,,,3.963814020156861,,,,,,
1983-11-23,,,3.863464593887329,,,,,,
1983-11-24,,,3.863464593887329,,,,,,
1983-11-25,,,3.712940454483032,3.893569564819336,,,,,
1983-11-28,,,3.662765502929688,3.813289833068848,,,,,
1983-11-29,,,3.662765502929688,3.753080129623413,,,,,
1983-11-30,,,3.813289165496826,3.7430450439453127,,,,,
1983-12-01,,,3.863464593887329,3.7430450439453127,,,,,
1983-12-02,,,3.863464593887329,3.773149871826172,3.833359718322754,,,,
1983-12-05,,,3.813289165496826,3.8032546043395996,3.8082722187042237,,,,
1983-12-06,,,3.662765502929688,3.8032546043395996,3.7781673669815063,,,,
1983-12-07,,,3.662765502929688,3.773149871826172,3.758097457885742,,,,
1983-12-08,,,3.612590074539185,3.7229749679565436,3.733010005950928,,,,
1983-12-09,,,3.612590074539185,3.672800064086915,3.722974967956543,,,,
1983-12-12,,,3.612590074539185,3.6326602458953863,3.7179574251174925,,,,
1983-12-13,,,3.612590074539185,3.622625160217285,3.7129398822784423,,,,
1983-12-14,,,3.5122406482696533,3.5925201892852785,3.682835030555725,,,,
1983-12-15,,,3.5624146461486816,3.5824851036071776,3.65273003578186,,,,
1983-12-16,,,3.5122406482696533,3.5624152183532716,3.6176076412200926,3.7254836797714233,,,
1983-12-19,,,3.411891460418701,3.5222754955291746,3.5774678707122805,3.692870044708252,,,
1983-12-20,,,3.462065458297729,3.492170572280884,3.5573978662490844,3.6677826166152956,,,
1983-12-21,,,3.462065458297729,3.482135534286499,3.5373278617858888,3.6477126598358156,,,
1983-12-22,,,3.462065458297729,3.4620656967163086,3.5222754001617433,3.6276427030563356,,,
1983-12-23,,,3.3115413188934326,3.4219258308410643,3.492170524597168,3.6075727462768556,,,
1983-12-26,,,3.3115413188934326,3.401855802536011,3.462065649032593,3.5900115370750427,,,
1983-12-27,,,3.261366128921509,3.3617159366607665,3.4269432544708254,3.5699415683746336,,,
1983-12-28,,,3.3617162704467773,3.341646099090576,3.4118908166885378,3.5473629236221313,,,
1983-12-29,,,3.5122406482696533,3.351681137084961,3.406873416900635,3.5298017263412476,,,
1983-12-30,,,3.612590074539185,3.4118908882141112,3.416908359527588,3.5172580003738405,,,
1984-01-02,,,3.612590074539185,3.4721006393432616,3.4369782209396362,3.5072230458259583,,,
1984-01-03,,,3.5624146461486816,3.5323103427886964,3.4470131397247314,3.502205502986908,,,
1984-01-04,,,3.712940454483032,3.602555179595947,3.4721006393432616,3.504714250564575,,,
1984-01-05,,,3.863464593887329,3.6727999687194823,3.5122405529022216,3.5172579765319822,,,
