Date,GRADE,GPS,VRTX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1991-11-26,,,5.75,5.675,6.09375,6.825,6.9975,,
1991-11-27,,,5.8125,5.6875,5.95625,6.74375,7.0,,
1991-11-28,,,5.8125,5.7125,5.81875,6.671875,6.9925,,
1991-11-29,,,5.6875,5.725,5.74375,6.578125,6.97375,,
1991-12-02,,,5.75,5.7625,5.71875,6.48125,6.9575,,
1991-12-03,,,5.75,5.7625,5.71875,6.384375,6.94125,,
1991-12-04,,,6.25,5.85,5.76875,6.309375,6.92625,,
1991-12-05,,,6.625,6.0125,5.8625,6.259375,6.90625,,
1991-12-06,,,7.0,6.275,6.0,6.221875,6.89875,,
1991-12-09,,,6.875,6.5,6.13125,6.1875,6.88875,,
1991-12-10,,,6.9375,6.7375,6.25,6.171875,6.87125,6.02,
1991-12-11,,,7.0,6.8875,6.36875,6.1625,6.855,6.045,
1991-12-12,,,6.875,6.9375,6.475,6.146875,6.845,6.068125,
1991-12-13,,,6.75,6.8875,6.58125,6.1625,6.83,6.090625,
1991-12-16,,,6.6875,6.85,6.675,6.196875,6.83125,6.11125,
1991-12-17,,,6.8125,6.825,6.78125,6.25,6.83125,6.134375,
1991-12-18,,,7.0,6.825,6.85625,6.3125,6.83375,6.159375,
1991-12-19,,,7.0,6.85,6.89375,6.378125,6.83625,6.184375,
1991-12-20,,,6.75,6.85,6.86875,6.434375,6.835,6.20625,
1991-12-23,,,6.5625,6.825,6.8375,6.484375,6.82875,6.225625,
1991-12-24,,,6.75,6.8125,6.81875,6.534375,6.81875,6.246875,
1991-12-25,,,6.75,6.7625,6.79375,6.58125,6.7975,6.269375,
1991-12-26,,,6.75,6.7125,6.78125,6.628125,6.7825,6.29125,
1991-12-27,,,7.5,6.8625,6.85625,6.71875,6.78,6.32125,
1991-12-30,,,7.5,7.05,6.9375,6.80625,6.785,6.35125,
1991-12-31,,,7.375,7.175,6.99375,6.8875,6.7975,6.38,
1992-01-01,,,7.375,7.3,7.03125,6.94375,6.795,6.4075,
1992-01-02,,,7.5,7.45,7.08125,6.9875,6.79375,6.4375,
1992-01-03,,,8.125,7.575,7.21875,7.04375,6.81125,6.47375,
1992-01-06,,,8.625,7.8,7.425,7.13125,6.83875,6.51625,
1992-01-07,,,8.375,8.0,7.5875,7.203125,6.86125,6.55625,
1992-01-08,,,8.0,8.125,7.7125,7.253125,6.8725,6.591875,
1992-01-09,,,8.125,8.25,7.85,7.315625,6.89,6.629375,
1992-01-10,,,8.25,8.275,7.925,7.390625,6.90375,6.66875,
1992-01-13,,,8.25,8.2,8.0,7.46875,6.915,6.705625,
1992-01-14,,,8.0,8.125,8.0625,7.528125,6.92125,6.739375,
1992-01-15,,,8.125,8.15,8.1375,7.584375,6.92875,6.77375,
1992-01-16,,,7.75,8.075,8.1625,7.621875,6.93125,6.801875,
1992-01-17,,,7.75,7.975,8.125,7.671875,6.93125,6.8275,
1992-01-20,,,7.25,7.775,7.9875,7.70625,6.925,6.848125,
1992-01-21,,,7.375,7.65,7.8875,7.7375,6.9275,6.870625,
1992-01-22,,,7.375,7.5,7.825,7.76875,6.93125,6.894375,
1992-01-23,,,7.375,7.425,7.75,7.8,6.935,6.918125,
1992-01-24,,,7.0,7.275,7.625,7.775,6.94625,6.938125,
1992-01-27,,,7.375,7.3,7.5375,7.76875,6.97375,6.963125,
1992-01-28,,,7.125,7.25,7.45,7.75625,7.00125,6.98375,
1992-01-29,,,6.625,7.1,7.3,7.71875,7.01875,7.0,
1992-01-30,,,6.5,6.925,7.175,7.66875,7.035,7.013125,
1992-01-31,,,6.75,6.875,7.075,7.6,7.0575,7.025,
1992-02-03,,,6.75,6.75,7.025,7.50625,7.08125,7.036875,
1992-02-04,,,6.625,6.65,6.95,7.41875,7.09875,7.048125,
1992-02-05,,,6.75,6.675,6.8875,7.35625,7.1175,7.05875,
1992-02-06,,,6.625,6.7,6.8125,7.28125,7.13375,7.063125,
1992-02-07,,,6.75,6.7,6.7875,7.20625,7.155,7.064375,
1992-02-10,,,6.625,6.675,6.7125,7.125,7.1725,7.065,
1992-02-11,,,6.375,6.625,6.6375,7.04375,7.185,7.063125,
1992-02-12,,,6.375,6.55,6.6125,6.95625,7.1875,7.056875,
1992-02-13,,,6.25,6.475,6.5875,6.88125,7.18,7.043125,
1992-02-14,,,6.5,6.425,6.5625,6.81875,7.17,7.034375,
1992-02-17,,,6.5,6.4,6.5375,6.78125,7.1625,7.025625,
