Date,GRADE,GPS,YUM,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1997-09-17,,,3.617381811141968,,,,,,
1997-09-18,,,3.741583824157715,,,,,,
1997-09-19,,,3.757110834121704,,,,,,
1997-09-22,,,3.726059436798096,,,,,,
1997-09-23,,,3.726059436798096,3.7136390686035154,,,,,
1997-09-24,,,3.726059436798096,3.735374593734741,,,,,
1997-09-25,,,3.7803995609283447,3.743137741088867,,,,,
1997-09-26,,,3.873549699783325,3.7664255142211913,,,,,
1997-09-29,,,3.927890300750733,3.8067916870117195,,,,,
1997-09-30,,,4.021040916442871,3.865787982940674,3.7897135257720946,,,,
1997-10-01,,,3.85026216506958,3.890628528594971,3.813001561164856,,,,
1997-10-02,,,3.834739208221436,3.9014964580535887,3.822317099571228,,,,
1997-10-03,,,3.889076471328736,3.904601812362671,3.8355136632919313,,,,
1997-10-06,,,3.97446346282959,3.9139164447784425,3.8603540658950806,,,,
1997-10-07,,,3.865787029266357,3.8828656673431396,3.8743268251419067,,,,
1997-10-08,,,3.811448574066162,3.8751029491424562,3.8828657388687136,,,,
1997-10-09,,,3.9667022228240967,3.9014955520629884,3.9014960050582888,,,,
1997-10-10,,,3.920124530792236,3.9077051639556886,3.9061534881591795,,,,
1997-10-13,,,3.9822280406951904,3.9092580795288088,3.9115872621536254,,,,
1997-10-14,,,3.958938598632813,3.9278883934020996,3.9053770303726196,3.8475452780723574,,,
1997-10-15,,,3.94341254234314,3.954281187057495,3.9146920680999755,3.863846814632416,,,
1997-10-16,,,3.94341254234314,3.9496232509613036,3.925559401512146,3.873938250541687,,,
1997-10-17,,,3.873549699783325,3.9403082847595217,3.924006724357605,3.879760193824768,,,
1997-10-20,,,4.005515098571777,3.944965696334839,3.9271118879318236,3.8937329769134523,,,
1997-10-21,,,4.1685285568237305,3.9868836879730223,3.957386040687561,3.915856432914734,,,
1997-10-22,,,4.098665714263916,4.017934322357178,3.9861077547073362,3.934486746788025,,,
1997-10-23,,,4.098665714263916,4.048984956741333,3.999304103851318,3.9504000544548035,,,
1997-10-24,,,4.098665714263916,4.094008159637451,4.0171582221984865,3.961655855178833,,,
1997-10-27,,,3.865787029266357,4.066062545776367,4.005514121055603,3.9585506916046143,,,
1997-10-28,,,3.842499256134033,4.000856685638428,3.993870186805725,3.9496236085891723,,,
1997-10-29,,,3.76487398147583,3.9340983390808106,3.976016330718994,3.945354199409485,,,
1997-10-30,,,3.663959264755249,3.847157049179077,3.948071002960205,3.9368152022361755,,,
1997-10-31,,,3.76487398147583,3.78039870262146,3.9372034311294555,3.93060507774353,,,
1997-11-03,,,3.788160800933838,3.7648734569549562,3.9154680013656615,3.9212899446487426,,,
1997-11-04,,,3.741583824157715,3.7446903705596926,3.87277352809906,3.9150797843933107,,,
1997-11-05,,,3.749346971511841,3.7415849685668947,3.8378416538238525,3.9119747042655946,,,
