Date,GRADE,GPS,DHR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.0554552152752876,,,,,,
1983-11-22,,,0.0539144799113273,,,,,,
1983-11-23,,,0.0554552152752876,,,,,,
1983-11-24,,,0.0554552152752876,,,,,,
1983-11-25,,,0.0554552152752876,0.05514706820249554,,,,,
1983-11-28,,,0.0554552152752876,0.05514706820249554,,,,,
1983-11-29,,,0.0554552152752876,0.0554552152752876,,,,,
1983-11-30,,,0.0539144799113273,0.05514706820249554,,,,,
1983-12-01,,,0.0508336201310157,0.05422274917364116,,,,,
1983-12-02,,,0.0554552152752876,0.05422274917364116,0.05468490868806834,,,,
1983-12-05,,,0.0539144799113273,0.0539146021008491,0.05453083515167232,,,,
1983-12-06,,,0.0523743778467178,0.053298434615135136,0.05437682494521138,,,,
1983-12-07,,,0.0523743778467178,0.052990414202213246,0.05406874120235439,,,,
1983-12-08,,,0.0523743778467178,0.05329856574535365,0.05376065745949741,,,,
1983-12-09,,,0.0508336201310157,0.05237424671649928,0.053298497945070224,,,,
1983-12-12,,,0.0508336201310157,0.05175807476043696,0.05283633843064304,,,,
1983-12-13,,,0.0508336201310157,0.05144992321729654,0.05237417891621584,,,,
1983-12-14,,,0.0492934621870517,0.05083374008536332,0.05191207714378828,,,,
1983-12-15,,,0.0492934621870517,0.050217556953430095,0.051758061349391885,,,,
1983-12-16,,,0.0523743778467178,0.05052570849657052,0.0514499776065349,0.05306744314730163,,,
1983-12-19,,,0.0492934621870517,0.05021767690777772,0.050987875834107334,0.05275935549288983,,,
1983-12-20,,,0.0492934621870517,0.04990964531898491,0.05067978426814072,0.05252830460667605,,,
1983-12-21,,,0.0492934621870517,0.04990964531898492,0.05037169270217412,0.05222021695226425,,,
1983-12-22,,,0.0539144799113273,0.050833848863840035,0.050525702908635076,0.05214318018406624,,,
1983-12-23,,,0.058536123484373,0.05206619799137108,0.05129595324397081,0.05229722559452051,,,
1983-12-26,,,0.058536123484373,0.05391473025083534,0.052066203579306525,0.05245127100497478,,,
1983-12-27,,,0.0554552152752876,0.05514708086848252,0.052528363093733724,0.05245127100497478,,,
1983-12-28,,,0.0523743778467178,0.05576326400041574,0.05283645465970033,0.05237426590174431,,,
1983-12-29,,,0.0539144799113273,0.055763264000415744,0.053298556432127886,0.05252830889075988,,,
1983-12-30,,,0.0554552152752876,0.055147082358598665,0.05360664017498488,0.05252830889075989,,,
1984-01-02,,,0.0554552152752876,0.054530900716781586,0.05422281548380846,0.0526053456589579,,,
1984-01-03,,,0.058536123484373,0.055147082358598665,0.05514708161354058,0.05291343294084065,,,
1984-01-04,,,0.061616975814104,0.056995601952075904,0.05637943297624583,0.05337556283920997,,,
1984-01-05,,,0.0646978467702865,0.05915227532386774,0.057457769662141736,0.05399173628538841,,,
1984-01-06,,,0.0662380158901214,0.0613088354468345,0.05822795890271658,0.054761956073343686,,,
1984-01-09,,,0.0677781254053115,0.06377341747283928,0.05915215909481043,0.05560918133705848,,,
1984-01-10,,,0.0662380158901214,0.06531379595398897,0.0602304391562938,0.05637940112501377,,,
1984-01-11,,,0.0646978467702865,0.06592997014522547,0.061462786048650686,0.0571496203541755,,,
1984-01-12,,,0.0646978467702865,0.06592997014522547,0.0625411227345466,0.05791983958333724,,,
1984-01-13,,,0.0646978467702865,0.06562193632125848,0.06346538588404649,0.05853601302951568,,,
1984-01-16,,,0.0677781254053115,0.06562193632125848,0.06469767689704889,0.05946024619042868,,,
1984-01-17,,,0.0693189054727554,0.06623811423778528,0.06577595509588711,0.06046151835471385,,,
1984-01-18,,,0.0723997727036476,0.0677784994244575,0.06685423478484148,0.06161683388054364,,,
1984-01-19,,,0.0785614922642707,0.07055122852325434,0.0682405993342399,0.06284918449819082,,,
1984-01-20,,,0.0862634554505348,0.074864350259304,0.07024314329028124,0.06423555109649891,,,
1984-01-23,,,0.0831825882196426,0.07794524282217022,0.07178358957171435,0.0654678743332624,,,
1984-01-24,,,0.0862634554505348,0.0813341528177261,0.07378613352775569,0.06700828634202476,,,
1984-01-25,,,0.0847233235836029,0.08379886299371717,0.07578868120908733,0.068625733628869,,,
1984-01-26,,,0.0831825882196426,0.08472308218479155,0.07763715535402294,0.07008913904428478,,,
1984-01-27,,,0.0770207941532135,0.08287454992532728,0.07886945009231563,0.07116741798818108,0.06041527248919005,,
1984-01-30,,,0.0708590149879455,0.08040983527898786,0.07917753905057905,0.07193760797381396,0.060723348483443206,,
1984-01-31,,,0.0693189054727554,0.07702092528343199,0.07917753905057903,0.07247674707323308,0.06103143699467177,,
1984-02-01,,,0.0739399343729019,0.07486424744129179,0.07933155521750447,0.07309289500117297,0.061401131376624056,,
1984-02-02,,,0.0816423818469047,0.07455620616674422,0.07963964417576788,0.07394012175500389,0.061924874708056396,,
1984-02-03,,,0.0785614922642707,0.07486434578895565,0.07886944785714146,0.07455629557371135,0.06238700024783606,,
1984-02-06,,,0.0754806548357009,0.07578867375850673,0.07809925451874729,0.07494142204523083,0.06278750903904433,,
1984-02-07,,,0.0770207941532135,0.07732905149459834,0.07717498838901515,0.07548056095838543,0.06321882061660285,,
1984-02-08,,,0.0754806548357009,0.07763719558715813,0.07625072151422496,0.07601970136165614,0.06365014411509032,,
1984-02-09,,,0.0739399343729019,0.0760967060923576,0.07532645612955088,0.07648180574178692,0.06411227039992803,,
1984-02-10,,,0.0739399343729019,0.07517239451408382,0.07501837015151973,0.07694391012191769,0.06448196478188033,,
