Date,GRADE,GPS,CTLT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2014-07-31,,,19.989999771118164,,,,,,
2014-08-01,,,19.850000381469727,,,,,,
2014-08-04,,,20.01000022888184,,,,,,
2014-08-05,,,20.209999084472656,,,,,,
2014-08-06,,,20.32999992370605,20.077999877929688,,,,,
2014-08-07,,,20.420000076293945,20.163999938964842,,,,,
2014-08-08,,,20.530000686645508,20.3,,,,,
2014-08-11,,,20.5,20.397999954223632,,,,,
2014-08-12,,,20.5,20.456000137329102,,,,,
2014-08-13,,,20.530000686645508,20.496000289916992,20.28700008392334,,,,
2014-08-14,,,20.5,20.512000274658202,20.338000106811524,,,,
2014-08-15,,,20.51000022888184,20.50800018310547,20.404000091552735,,,,
2014-08-18,,,20.65999984741211,20.54000015258789,20.46900005340576,,,,
2014-08-19,,,20.6299991607666,20.56599998474121,20.511000061035155,,,,
2014-08-20,,,20.57999992370605,20.57599983215332,20.536000061035157,,,,
2014-08-21,,,20.71999931335449,20.61999969482422,20.56599998474121,,,,
2014-08-22,,,20.850000381469727,20.687999725341797,20.59799995422363,,,,
2014-08-25,,,21.200000762939453,20.795999908447264,20.66800003051758,,,,
2014-08-26,,,21.31999969482422,20.93400001525879,20.75,,,,
2014-08-27,,,21.270000457763672,21.072000122070314,20.823999977111818,20.555500030517578,,,
2014-08-28,,,21.5,21.228000259399415,20.923999977111816,20.63100004196167,,,
2014-08-29,,,21.5,21.358000183105467,21.022999954223632,20.713500022888184,,,
2014-09-01,,,21.5,21.41800003051758,21.106999969482423,20.78800001144409,,,
2014-09-02,,,21.700000762939453,21.494000244140626,21.214000129699706,20.86250009536743,,,
2014-09-03,,,21.68000030517578,21.576000213623047,21.32400016784668,20.93000011444092,,,
2014-09-04,,,21.5,21.576000213623047,21.40200023651123,20.98400011062622,,,
2014-09-05,,,22.399999618530277,21.756000137329103,21.557000160217285,21.07750005722046,,,
2014-09-08,,,22.5,21.956000137329102,21.68700008392334,21.17750005722046,,,
2014-09-09,,,22.479999542236328,22.111999893188475,21.803000068664552,21.276500034332276,,,
2014-09-10,,,22.989999771118164,22.373999786376952,21.975,21.39949998855591,,,
2014-09-11,,,23.25,22.723999786376954,22.15,21.53699998855591,,,
2014-09-12,,,23.489999771118164,22.94199981689453,22.348999977111816,21.685999965667726,,,
2014-09-15,,,24.84000015258789,23.40999984741211,22.682999992370604,21.894999980926514,,,
2014-09-16,,,24.21999931335449,23.75799980163574,22.934999847412108,22.074499988555907,,,
2014-09-17,,,24.309999465942383,24.021999740600585,23.19799976348877,22.260999965667725,,,
2014-09-18,,,24.190000534057617,24.20999984741211,23.466999816894532,22.43450002670288,,,
2014-09-19,,,23.68000030517578,24.247999954223634,23.594999885559083,22.576000022888184,,,
2014-09-22,,,23.989999771118164,24.077999877929688,23.743999862670897,22.71549997329712,,,
2014-09-23,,,23.96999931335449,24.027999877929688,23.892999839782714,22.84799995422363,,,
2014-09-24,,,24.84000015258789,24.13400001525879,24.077999877929688,23.026499938964843,,,
2014-09-25,,,24.68000030517578,24.231999969482423,24.220999908447265,23.185499954223634,,,
2014-09-26,,,25.040000915527344,24.504000091552733,24.376000022888185,23.3625,,,
2014-09-29,,,25.170000076293945,24.74000015258789,24.40900001525879,23.546000003814697,,,
2014-09-30,,,25.030000686645508,24.952000427246094,24.49000015258789,23.7125,,,
2014-10-01,,,23.850000381469727,24.75400047302246,24.444000244140625,23.821000003814696,,,
2014-10-02,,,25.350000381469727,24.88800048828125,24.560000228881837,24.013500022888184,,,
2014-10-03,,,25.1299991607666,24.9060001373291,24.705000114440917,24.15,,,
2014-10-06,,,24.979999542236328,24.868000030517578,24.804000091552734,24.273999977111817,,,
2014-10-07,,,24.729999542236328,24.80799980163574,24.880000114440918,24.386499977111818,,,
2014-10-08,,,25.479999542236328,25.133999633789063,24.944000053405762,24.510999965667725,22.42159999847412,,
2014-10-09,,,24.420000076293945,24.947999572753908,24.91800003051758,24.569499969482422,22.510200004577637,,
2014-10-10,,,23.670000076293945,24.655999755859376,24.78099994659424,24.57849998474121,22.58659999847412,,
2014-10-13,,,23.520000457763672,24.363999938964845,24.61599998474121,24.5125,22.656800003051757,,
2014-10-14,,,23.729999542236328,24.163999938964842,24.485999870300294,24.488000011444093,22.72720001220703,,
2014-10-15,,,24.21999931335449,23.911999893188472,24.52299976348877,24.483500003814697,22.805,,
2014-10-16,,,24.25,23.87799987792969,24.4129997253418,24.486499977111816,22.881599998474123,,
2014-10-17,,,23.6299991607666,23.86999969482422,24.262999725341796,24.483999919891357,22.943599967956544,,
2014-10-20,,,23.959999084472656,23.957999420166015,24.16099967956543,24.482499885559083,23.012799949645995,,
2014-10-21,,,25.190000534057617,24.249999618530275,24.20699977874756,24.54349994659424,23.10659996032715,,
2014-10-22,,,24.06999969482422,24.219999694824217,24.06599979400635,24.504999923706055,23.177399940490723,,
2014-10-23,,,24.26000022888184,24.221999740600587,24.049999809265138,24.483999919891357,23.252599945068358,,
2014-10-24,,,24.940000534057617,24.48400001525879,24.176999855041505,24.478999900817872,23.341199951171873,,
2014-10-27,,,24.459999084472656,24.584000015258788,24.270999717712403,24.443499851226807,23.417199935913086,,
2014-10-28,,,25.200000762939453,24.586000061035158,24.417999839782716,24.451999855041503,23.508599967956542,,
2014-10-29,,,25.549999237060547,24.881999969482422,24.55099983215332,24.536999797821046,23.607999954223633,,
2014-10-30,,,25.63999938964844,25.157999801635746,24.689999771118163,24.55149974822998,23.70639995574951,,
