Date,GRADE,GPS,CME,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2002-12-06,,,4.415133476257324,,,,,,
2002-12-09,,,4.324565887451172,,,,,,
2002-12-10,,,4.399696350097656,,,,,,
2002-12-11,,,4.637430667877197,,,,,,
2002-12-12,,,4.519078731536865,4.459181022644043,,,,,
2002-12-13,,,4.492319583892822,4.474618244171142,,,,,
2002-12-16,,,4.43571662902832,4.496848392486572,,,,,
2002-12-17,,,4.453211307525635,4.507551383972168,,,,,
2002-12-18,,,4.391462326049805,4.45835771560669,,,,,
2002-12-19,,,4.353382587432861,4.425218486785889,4.442199754714966,,,,
2002-12-20,,,4.574655055999756,4.441685581207276,4.458151912689209,,,,
2002-12-23,,,4.4665937423706055,4.447861003875732,4.472354698181152,,,,
2002-12-24,,,4.430570125579834,4.443332767486572,4.4754420757293705,,,,
2002-12-25,,,4.430570125579834,4.451154327392578,4.454756021499634,,,,
2002-12-26,,,4.38425874710083,4.457329559326172,4.44127402305603,,,,
2002-12-27,,,4.322508335113525,4.406900215148926,4.4242928981781,,,,
2002-12-30,,,4.355441093444824,4.38466968536377,4.416265344619751,,,,
2002-12-31,,,4.493347644805908,4.397225189208984,4.4202789783477785,,,,
2003-01-01,,,4.493347644805908,4.409780693054199,4.430467510223389,,,,
2003-01-02,,,4.49952507019043,4.432833957672119,4.445081758499145,4.4436407566070555,,,
2003-01-03,,,4.713593006134033,4.511050891876221,4.458975553512573,4.458563733100891,,,
2003-01-06,,,4.950301170349121,4.63002290725708,4.507346296310425,4.489850497245788,,,
2003-01-07,,,4.942067623138428,4.719766902923584,4.558496046066284,4.516969060897827,,,
2003-01-08,,,4.941038131713867,4.809305000305176,4.6095428466796875,4.532149434089661,,,
2003-01-09,,,5.048072814941406,4.919014549255371,4.675924253463745,4.558599138259888,,,
2003-01-10,,,5.041897773742676,4.984675502777099,4.7478631973266605,4.58607804775238,,,
2003-01-13,,,5.106734275817871,5.01596212387085,4.822992515563965,4.619628930091858,,,
2003-01-14,,,5.053215980529785,5.038191795349121,4.878979349136353,4.649629163742065,,,
2003-01-15,,,4.84223747253418,5.018431663513184,4.91386833190918,4.6721679210662845,,,
2003-01-16,,,4.670368194580078,4.942890739440918,4.930952644348144,4.688017201423645,,,
2003-01-17,,,4.633317947387695,4.861174774169922,4.922925138473511,4.690950345993042,,,
2003-01-20,,,4.633317947387695,4.766491508483886,4.891226816177368,4.699286556243896,,,
2003-01-21,,,4.574655055999756,4.6707793235778805,4.854485559463501,4.706490802764892,,,
2003-01-22,,,4.543776512145996,4.611087131500244,4.814759397506714,4.712151122093201,,,
2003-01-23,,,4.675512313842773,4.612115955352783,4.77750334739685,4.726713800430298,,,
2003-01-24,,,4.836062431335449,4.652664852142334,4.756919813156128,4.752391505241394,,,
2003-01-27,,,4.759905815124512,4.677982425689697,4.722236967086792,4.772614741325379,,,
2003-01-28,,,4.735203266143799,4.710092067718506,4.690435695648193,4.784707522392273,,,
2003-01-29,,,4.785633563995361,4.7584634780883786,4.684775304794312,4.799321818351745,,,
2003-01-30,,,4.548925876617432,4.7331461906433105,4.672631072998047,4.801791858673096,,,
2003-01-31,,,4.373967170715332,4.640727138519287,4.646695995330811,4.784810566902161,,,
2003-02-03,,,4.358530044555664,4.560451984405518,4.619217205047607,4.755222010612488,,,
2003-02-04,,,4.322508335113525,4.4779129981994625,4.594002532958984,4.7242440462112425,,,
2003-02-05,,,4.295748710632324,4.379936027526855,4.569199752807617,4.691979575157165,,,
2003-02-06,,,4.271051406860352,4.324361133575439,4.528753662109375,4.653128504753113,,,
2003-02-07,,,4.333827972412109,4.316333293914795,4.478530216217041,4.6177250146865845,,,
2003-02-10,,,4.4254255294799805,4.329712390899658,4.445082187652588,4.58365957736969,,,
2003-02-11,,,4.416162014007568,4.348443126678466,4.4131780624389645,4.551806879043579,,,
2003-02-12,,,4.416162014007568,4.372525787353515,4.376230907440186,4.530503106117249,,,
2003-02-13,,,4.476883411407471,4.41369218826294,4.3690266609191895,4.5208288669586185,4.571978378295898,,
2003-02-14,,,4.579800128936768,4.462886619567871,4.389609956741333,4.518152976036072,4.575271711349488,,
2003-02-17,,,4.579800128936768,4.4937615394592285,4.411736965179443,4.515477085113526,4.580376396179199,,
