Date,GRADE,GPS,AVY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,2.6889567375183105,,,,,,
1983-11-22,,,2.72701096534729,,,,,,
1983-11-23,,,2.707984685897827,,,,,,
1983-11-24,,,2.707984685897827,,,,,,
1983-11-25,,,2.72701096534729,2.711789608001709,,,,,
1983-11-28,,,2.7143256664276123,2.7168633937835693,,,,,
1983-11-29,,,2.701641321182251,2.7117894649505616,,,,,
1983-11-30,,,2.7523770332336426,2.7206679344177247,,,,,
1983-12-01,,,2.7523770332336426,2.729546403884888,,,,,
1983-12-02,,,2.7714030742645264,2.738424825668335,2.725107216835022,,,,
1983-12-05,,,2.739694356918335,2.7434985637664795,2.7301809787750244,,,,
1983-12-06,,,2.733351469039917,2.749840593338013,2.730815029144287,,,,
1983-12-07,,,2.7587192058563232,2.7511090278625487,2.7358884811401367,,,,
1983-12-08,,,2.7650625705718994,2.7536461353302,2.7415962696075438,,,,
1983-12-09,,,2.739694356918335,2.747304391860962,2.7428646087646484,,,,
1983-12-12,,,2.720666885375977,2.7434988975524903,2.7434987306594847,,,,
1983-12-13,,,2.72701096534729,2.7422307968139648,2.7460356950759888,,,,
1983-12-14,,,2.701641321182251,2.73081521987915,2.7409621238708497,,,,
1983-12-15,,,2.669933557510376,2.7117894172668455,2.732717776298523,,,,
1983-12-16,,,2.6318812370300293,2.6902267932891846,2.7187655925750733,2.7219364047050476,,,
1983-12-19,,,2.638223648071289,2.673738145828247,2.7086185216903687,2.7193997502326965,,,
1983-12-20,,,2.650907039642334,2.658517360687256,2.7003740787506105,2.7155945539474486,,,
1983-12-21,,,2.682616710662842,2.654712438583374,2.692763829231262,2.7143261551856996,,,
1983-12-22,,,2.669933557510376,2.654712438583374,2.6832509279251098,2.712423598766327,,,
1983-12-23,,,2.6318812370300293,2.654712438583374,2.6724696159362793,2.707667112350464,,,
1983-12-26,,,2.6318812370300293,2.653443956375122,2.6635910511016845,2.703544890880585,,,
1983-12-27,,,2.6635901927948,2.6559805870056152,2.6572489738464355,2.701642334461212,,,
1983-12-28,,,2.638223648071289,2.6471019744873048,2.650907206535339,2.6959346652030947,,,
1983-12-29,,,2.625540018081665,2.6382232666015626,2.646467852592468,2.6895928144454957,,,
1983-12-30,,,2.7523770332336426,2.662322425842285,2.6585174322128298,2.6886415123939513,,,
1984-01-02,,,2.7523770332336426,2.686421585083008,2.6699327707290648,2.6892756462097167,,,
1984-01-03,,,2.650907039642334,2.6838849544525147,2.6699327707290648,2.6851534247398376,,,
1984-01-04,,,2.701641321182251,2.696568489074707,2.6718352317810057,2.682299530506134,,,
1984-01-05,,,2.7523770332336426,2.7219358921051025,2.6800795793533325,2.6816652536392214,,,
1984-01-06,,,2.7523770332336426,2.7219358921051025,2.6921291589736938,2.6822993874549867,,,
1984-01-09,,,2.7904295921325684,2.729546403884888,2.7079839944839477,2.685787522792816,,,
1984-01-10,,,2.841163158416748,2.7675976276397707,2.7257412910461425,2.6914951324462892,,,
1984-01-11,,,2.8031129837036133,2.787891960144043,2.742230224609375,2.696568715572357,,,
1984-01-12,,,2.8031129837036133,2.7980391502380373,2.7599875211715696,2.703227686882019,,,
1984-01-13,,,2.841163158416748,2.815796375274658,2.7688661336898805,2.713691782951355,,,
1984-01-16,,,2.7904295921325684,2.815796375274658,2.7726713895797728,2.7213020801544188,,,
1984-01-17,,,2.72701096534729,2.7929659366607664,2.7802817821502686,2.7251072764396667,,,
1984-01-18,,,2.638223648071289,2.7599880695343018,2.773940014839172,2.722887623310089,,,
1984-01-19,,,2.587488889694214,2.716863250732422,2.7574512004852294,2.718765389919281,,,
1984-01-20,,,2.638223648071289,2.67627534866333,2.746035861968994,2.719082510471344,,,
1984-01-23,,,2.5494370460510254,2.6280768394470213,2.7219366073608398,2.7149603009223937,,,
1984-01-24,,,2.5367519855499268,2.590025043487549,2.691495490074158,2.70861839056015,,,
1984-01-25,,,2.524070501327514,2.567194414138794,2.663591241836548,2.7029107332229616,,,
1984-01-26,,,2.486017942428589,2.546900224685669,2.6318817377090453,2.6959346294403077,,,
1984-01-27,,,2.5621213912963867,2.5316797733306884,2.6039775609970093,2.686421847343445,2.695046787261963,,
1984-01-30,,,2.5367519855499268,2.5291427612304687,2.578609800338745,2.675640594959259,2.6920026922225953,,
1984-01-31,,,2.524070501327514,2.5266064643859862,2.5583157539367676,2.669298768043518,2.6879438829421995,,
1984-02-01,,,2.5367519855499268,2.5291427612304687,2.548168587684631,2.6610543012619017,2.6845192289352418,,
1984-02-02,,,2.61285662651062,2.554510498046875,2.550705361366272,2.654078280925751,2.6826166677474976,,
1984-02-03,,,2.650907039642334,2.5722676277160645,2.5519737005233765,2.649004781246185,2.6810945892333984,,
1984-02-06,,,2.7523770332336426,2.615392637252808,2.572267699241638,2.647102153301239,2.681855616569519,,
1984-02-07,,,2.6889567375183105,2.648369884490967,2.5874881744384766,2.6394918322563172,2.68160192489624,,
1984-02-08,,,2.650907039642334,2.671200895309448,2.6001718282699584,2.631881535053253,2.679572525024414,,
1984-02-09,,,2.650907039642334,2.678810977935791,2.616660737991333,2.624271237850189,2.677543125152588,,
1984-02-10,,,2.650907039642334,2.678810977935791,2.6255393028259277,2.6147584319114685,2.675133204460144,,
1984-02-13,,,2.625540018081665,2.6534435749053955,2.6344181060791017,2.6065139532089234,2.6728501176834105,,
1984-02-14,,,2.6635901927948,2.6483702659606934,2.64837007522583,2.6033429145812987,2.671454892158508,,
