Date,GRADE,GPS,MAR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1998-03-23,,,13.181766510009766,,,,,,
1998-03-24,,,13.685243606567385,,,,,,
1998-03-25,,,13.891205787658691,,,,,,
1998-03-26,,,13.822545051574709,,,,,,
1998-03-27,,,13.502151489257812,13.616582489013672,,,,,
1998-03-30,,,13.158879280090332,13.612005043029786,,,,,
1998-03-31,,,13.113112449645996,13.497578811645507,,,,,
1998-04-01,,,12.769831657409668,13.273303985595703,,,,,
1998-04-02,,,13.364848136901855,13.181764602661133,,,,,
1998-04-03,,,13.570818901062012,13.195498085021972,13.406040287017822,,,,
1998-04-06,,,13.181766510009766,13.20007553100586,13.406040287017822,,,,
1998-04-07,,,12.930039405822754,13.16346092224121,13.330519866943359,,,,
1998-04-08,,,12.88426685333252,13.186347961425781,13.229825973510742,,,,
1998-04-09,,,12.632526397705078,13.039883613586426,13.11082410812378,,,,
1998-04-10,,,12.632526397705078,12.85222511291504,13.023861598968505,,,,
1998-04-13,,,12.67829704284668,12.751531219482422,12.97580337524414,,,,
1998-04-14,,,13.250422477722168,12.815607833862305,12.989534378051758,,,,
1998-04-15,,,13.616581916809082,12.962070846557618,13.074209403991699,,,,
1998-04-16,,,12.899871826171877,13.015539932250977,13.027711772918702,,,,
1998-04-17,,,12.602005958557127,13.009435844421386,12.930830478668213,13.168435382843018,,,
1998-04-20,,,12.25831699371338,12.925439834594727,12.838485527038575,13.122262907028198,,,
1998-04-21,,,11.639668464660645,12.603289031982424,12.709448432922363,13.019984149932862,,,
1998-04-22,,,11.8458890914917,12.249150466918945,12.605610656738282,12.917718315124512,,,
1998-04-23,,,11.777145385742188,12.024605178833008,12.520072555541992,12.815448331832886,,,
1998-04-24,,,11.914626121520996,11.887129211425782,12.448282527923585,12.736072063446045,,,
1998-04-27,,,11.914626121520996,11.818391036987304,12.371915435791015,12.673859405517579,,,
1998-04-28,,,12.212491035461426,11.932955551147462,12.268122291564941,12.62882833480835,,,
1998-04-29,,,12.143754005432127,11.992528533935547,12.120839500427246,12.597524452209473,,,
1998-04-30,,,11.7313232421875,11.98336410522461,12.003984642028808,12.515848207473756,,,
1998-05-01,,,12.23540210723877,12.047519302368164,11.967324256896973,12.449077367782593,,,
1998-05-04,,,12.556181907653809,12.175830459594726,11.997110748291016,12.417798137664795,,,
1998-05-05,,,12.556181907653809,12.244568634033204,12.088762092590333,12.399105262756347,,,
1998-05-06,,,12.097929000854492,12.235403633117675,12.113966083526611,12.359788370132446,,,
1998-05-07,,,11.7313232421875,12.235403633117675,12.109383869171143,12.314728212356567,,,
1998-05-08,,,11.822976112365724,12.152918434143066,12.100218868255615,12.274250698089599,,,
1998-05-11,,,11.593846321105955,11.960451316833495,12.068140888214112,12.220028162002563,,,
1998-05-12,,,11.181421279907228,11.68549919128418,11.965033912658692,12.116578102111816,,,
1998-05-13,,,12.075011253356934,11.680915641784669,11.958159637451171,12.03949956893921,,,
1998-05-14,,,12.006272315979004,11.73590545654297,11.985654544830322,11.994819593429565,,,
1998-05-15,,,12.166669845581056,11.804644203186035,11.97878131866455,11.973052787780762,,,
1998-05-18,,,12.281228065490724,11.942120552062988,11.951285934448244,11.974198341369629,,,
1998-05-19,,,12.25831699371338,12.157499694824219,11.9214994430542,12.005130767822266,,,
1998-05-20,,,12.968610763549805,12.336219596862794,12.008567619323731,12.06126685142517,,,
1998-05-21,,,12.602005958557127,12.455366325378417,12.095635890960695,12.102509880065918,,,
1998-05-22,,,12.44161891937256,12.510356140136718,12.157500171661379,12.128859519958496,,,
1998-05-25,,,12.44161891937256,12.542434310913087,12.242277431488038,12.155209159851074,,,
1998-05-26,,,12.349967956542969,12.560764503479003,12.359132099151612,12.162083005905151,,,
1998-05-27,,,12.624923706054688,12.492027091979981,12.414123344421387,12.18614149093628,,,
1998-05-28,,,12.624923706054688,12.496610641479494,12.475988483428956,12.230821514129639,,,
1998-05-29,,,12.739483833312988,12.556183624267579,12.533269882202148,12.25602560043335,12.563249244689942,,
1998-06-01,,,12.762394905090332,12.620338821411133,12.58138656616211,12.266336250305176,12.554861812591552,,
1998-06-02,,,12.533266067504885,12.656998443603516,12.60888147354126,12.26519045829773,12.531822261810303,,
1998-06-03,,,12.533266067504885,12.638666915893555,12.565347003936768,12.28695731163025,12.504663467407227,,
1998-06-04,,,12.808219909667969,12.675326156616212,12.585968399047852,12.340802145004274,12.484376964569092,,
1998-06-05,,,12.831134796142578,12.69365634918213,12.624919986724853,12.391210079193117,12.470956630706787,,
1998-06-08,,,12.304142951965332,12.602005958557129,12.61117238998413,12.426724910736086,12.453861904144286,,
1998-06-09,,,11.891708374023438,12.47369441986084,12.565346431732177,12.462239265441896,12.429433822631836,,
1998-06-10,,,11.75423526763916,12.317888259887695,12.478277587890625,12.446200466156007,12.409121894836426,,
1998-06-11,,,11.639668464660645,12.08417797088623,12.379752063751221,12.42787027359009,12.374618301391601,,
1998-06-12,,,11.7313232421875,11.864215660095216,12.278936004638672,12.40610294342041,12.337828388214112,,
1998-06-15,,,11.41054344177246,11.685495758056641,12.143750858306884,12.362568712234497,12.302403926849365,,
1998-06-16,,,11.777145385742188,11.662583160400391,12.068138790130615,12.338510131835937,12.279346046447754,,
1998-06-17,,,11.75423526763916,11.662583160400391,11.990235710144043,12.277791357040405,12.256745414733887,,
1998-06-18,,,11.548017501831056,11.644252967834472,11.864215469360351,12.225091934204103,12.235055236816406,,
1998-06-19,,,11.41054344177246,11.580097007751466,11.72215633392334,12.173538160324096,12.210615577697753,,
