Date,GRADE,GPS,BLK,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1999-10-01,,,8.669035911560059,,,,,,
1999-10-04,,,8.592316627502441,,,,,,
1999-10-05,,,8.669035911560059,,,,,,
1999-10-06,,,9.129337310791016,,,,,,
1999-10-07,,,8.669035911560059,8.745752334594727,,,,,
1999-10-08,,,8.6306734085083,8.738079833984376,,,,,
1999-10-11,,,8.6306734085083,8.745751190185548,,,,,
1999-10-12,,,8.669035911560059,8.745751190185548,,,,,
1999-10-13,,,8.6306734085083,8.646018409729004,,,,,
1999-10-14,,,8.362163543701172,8.584643936157226,8.665198135375977,,,,
1999-10-15,,,8.016937255859375,8.461896705627442,8.599988269805909,,,,
1999-10-18,,,7.863500595092773,8.308462142944336,8.527106666564942,,,,
1999-10-19,,,8.1320161819458,8.201058197021485,8.473404693603516,,,,
1999-10-20,,,8.055296897888184,8.08598289489746,8.366000652313232,,,,
1999-10-21,,,8.247086524963379,8.062967491149902,8.323805713653565,,,,
1999-10-22,,,8.285445213317871,8.116669082641602,8.289282894134521,,,,
1999-10-25,,,8.55395793914795,8.254760551452637,8.281611347198487,,,,
1999-10-26,,,8.592316627502441,8.346820640563966,8.273939418792725,,,,
1999-10-27,,,8.6306734085083,8.461895942687988,8.273939418792725,,,,
1999-10-28,,,8.669035911560059,8.546285820007324,8.304626655578613,8.484912395477295,,,
1999-10-29,,,9.359485626220703,8.761093902587891,8.438881492614746,8.519434881210326,,,
1999-11-01,,,9.052620887756348,8.86082649230957,8.557793521881104,8.542450094223023,,,
1999-11-02,,,9.052620887756348,8.952887344360352,8.649853992462159,8.561629343032838,,,
1999-11-03,,,9.052620887756348,9.03727684020996,8.749586391448975,8.557793521881104,,,
1999-11-04,,,9.167692184448242,9.137008094787598,8.841646957397462,8.582726335525512,,,
1999-11-05,,,9.66635513305664,9.198381996154785,8.979737949371337,8.63451042175293,,,
1999-11-08,,,10.203374862670898,9.428532791137695,9.144679641723632,8.71314549446106,,,
1999-11-09,,,9.89650535583496,9.597309684753418,9.275098514556884,8.774518966674805,,,
1999-11-10,,,9.858145713806152,9.75841464996338,9.39784574508667,8.835892581939698,,,
1999-11-11,,,9.89650535583496,9.904177284240722,9.52059268951416,8.912609672546386,,,
1999-11-12,,,11.047263145446776,10.180358886718748,9.689370441436768,9.064125967025756,,,
