Date,GRADE,GPS,NRG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2003-12-02,,,7.306663513183594,,,,,,
2003-12-03,,,7.401556015014648,,,,,,
2003-12-04,,,7.686230659484863,,,,,,
2003-12-05,,,7.686230659484863,,,,,,
2003-12-08,,,8.274557113647461,7.671047592163086,,,,,
2003-12-09,,,8.399812698364258,7.889677429199219,,,,,
2003-12-10,,,8.540253639221191,8.117416954040527,,,,,
2003-12-11,,,8.6920804977417,8.318586921691894,,,,,
2003-12-12,,,8.71106243133545,8.523553276062012,,,,,
2003-12-15,,,8.502298355102539,8.569101524353027,8.120074558258057,,,,
2003-12-16,,,8.33149528503418,8.555438041687012,8.222557735443115,,,,
2003-12-17,,,8.141708374023438,8.475728988647461,8.296572971343995,,,,
2003-12-18,,,8.179665565490723,8.373246002197266,8.34591646194458,,,,
2003-12-19,,,8.274557113647461,8.285944938659668,8.40474910736084,,,,
2003-12-22,,,8.217621803283691,8.229009628295898,8.399055576324463,,,,
2003-12-23,,,8.274557113647461,8.217621994018554,8.386530017852783,,,,
2003-12-24,,,8.293533325195312,8.247986984252929,8.361857986450195,,,,
2003-12-25,,,8.293533325195312,8.270760536193848,8.322003269195557,,,,
2003-12-26,,,8.293533325195312,8.274555778503418,8.280250358581544,,,,
2003-12-29,,,8.274557113647461,8.285942840576173,8.257476234436036,8.188775396347046,,,
2003-12-30,,,8.312511444091797,8.29353370666504,8.255577850341798,8.239067792892456,,,
2003-12-31,,,8.312511444091797,8.297329330444336,8.272658157348634,8.284615564346314,,,
2004-01-01,,,8.312511444091797,8.301124954223633,8.28594274520874,8.31592960357666,,,
2004-01-02,,,8.521275520324707,8.346673393249512,8.310614585876465,8.357681846618652,,,
2004-01-05,,,8.502298355102539,8.392221641540527,8.33908224105835,8.369068908691407,,,
2004-01-06,,,8.521275520324707,8.433974456787109,8.363754081726075,8.375142049789428,,,
2004-01-07,,,8.445361137390137,8.460544395446778,8.378936862945556,8.370397424697876,,,
2004-01-08,,,8.4491605758667,8.487874221801757,8.394499588012696,8.358251428604126,,,
2004-01-09,,,8.027840614318848,8.389187240600586,8.36793031692505,8.324090337753296,,,
2004-01-12,,,8.0468168258667,8.298090934753418,8.345156288146972,8.301316261291504,,,
2004-01-13,,,7.970902919769287,8.188016414642334,8.310995435714721,8.283286643028259,,,
2004-01-14,,,7.970902919769287,8.093124771118164,8.27683458328247,8.274746370315551,,,
2004-01-15,,,7.91396951675415,7.9860865592956545,8.236980390548705,8.261461567878722,,,
2004-01-16,,,7.894989013671875,7.95951623916626,8.174351739883424,8.242483162879944,,,
2004-01-19,,,7.894989013671875,7.929150676727295,8.113620805740357,8.226351523399353,,,
2004-01-20,,,7.970902919769287,7.929150676727295,8.058583545684815,8.211168813705445,,,
2004-01-21,,,7.970902919769287,7.929150676727295,8.01113772392273,8.195037293434144,,,
2004-01-22,,,8.160690307617188,7.9784948348999025,7.9822906970977785,8.188395142555237,,,
2004-01-23,,,8.0468168258667,8.008860397338868,7.9841883182525635,8.176059317588805,,,
2004-01-26,,,7.91396951675415,8.012656497955323,7.970903587341309,8.158029937744141,,,
2004-01-27,,,7.868420600891113,7.992160034179688,7.960655355453492,8.135825395584106,,,
2004-01-28,,,7.78112268447876,7.954203987121582,7.9416773319244385,8.109255957603455,,,
2004-01-29,,,7.591336250305176,7.84033317565918,7.909414005279541,8.073197197914123,,,
2004-01-30,,,7.591336250305176,7.749237060546875,7.8790487289428714,8.026700234413147,,,
2004-02-02,,,7.648270130157471,7.696097183227539,7.8543768405914305,7.983998823165893,,,
2004-02-03,,,7.705204963684082,7.663454055786133,7.82780704498291,7.9431952953338625,,,
2004-02-04,,,7.686230659484863,7.644475650787354,7.799339818954468,7.905238771438599,,,
2004-02-05,,,7.610317707061768,7.648271942138672,7.744302558898926,7.863296627998352,,,
2004-02-06,,,7.610317707061768,7.65206823348999,7.700652647018432,7.842420482635498,,,
2004-02-09,,,7.591336250305176,7.640681457519531,7.668389320373535,7.8196464538574215,8.072399997711182,,
2004-02-10,,,7.602721214294434,7.620184707641601,7.6418193817138675,7.8012373685836796,8.078321151733398,,
2004-02-11,,,7.591336250305176,7.601205825805664,7.622840738296508,7.7822590351104735,8.08211675643921,,
2004-02-12,,,7.591336250305176,7.5974095344543455,7.622840738296508,7.766127371788025,8.080218868255615,,
2004-02-13,,,7.606522083282471,7.596650409698486,7.6243593215942385,7.7517040252685545,8.078624696731568,,
2004-02-16,,,7.606522083282471,7.599687576293945,7.620184516906738,7.737280678749085,8.065263996124267,,
2004-02-17,,,7.515422344207764,7.582227802276611,7.601206254959107,7.714506649971009,8.047576189041138,,
2004-02-18,,,7.405349254608154,7.545030403137207,7.573118114471436,7.686228966712951,8.024878101348877,,
2004-02-19,,,7.416737079620361,7.510110569000244,7.553760051727295,7.649031305313111,7.999371232986451,,
2004-02-20,,,7.416737079620361,7.472153568267823,7.534401988983154,7.617527318000794,7.973484725952148,,
2004-02-23,,,7.306663513183594,7.412181854248047,7.505934715270996,7.587162017822266,7.94957202911377,,
2004-02-24,,,6.999210834503174,7.3089395523071286,7.44558367729187,7.543701529502869,7.92292634010315,,
2004-02-25,,,7.287683010101318,7.285406303405762,7.415218353271484,7.519029545783996,7.905845832824707,,
2004-02-26,,,7.268704414367676,7.255799770355225,7.382955169677734,7.502897953987121,7.887626609802246,,
2004-02-27,,,7.325638771057129,7.237580108642578,7.3548668384552,7.48961308002472,7.86864824295044,,
