Date,GRADE,GPS,COF,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1994-11-16,,,3.7857003211975098,,,,,,
1994-11-17,,,3.844852924346924,,,,,,
1994-11-18,,,3.904001235961914,,,,,,
1994-11-21,,,3.815277099609375,,,,,,
1994-11-22,,,3.637821912765503,3.797530698776245,,,,,
1994-11-23,,,3.608244419097901,3.7620395183563233,,,,,
1994-11-24,,,3.608244419097901,3.7147178173065187,,,,,
1994-11-25,,,3.667396783828736,3.6673969268798827,,,,,
1994-11-28,,,3.608244419097901,3.625990390777588,,,,,
1994-11-29,,,3.637821912765503,3.625990390777588,3.7117605447769164,,,,
1994-11-30,,,3.608244419097901,3.625990390777589,3.6940149545669554,,,,
1994-12-01,,,3.489941358566284,3.6023297786712654,3.6585237979888916,,,,
1994-12-02,,,3.489941358566284,3.5668386936187746,3.6171178102493284,,,,
1994-12-05,,,3.489941358566284,3.543178081512451,3.5845842361450195,,,,
1994-12-06,,,3.460364818572998,3.50768666267395,3.566838526725769,,,,
1994-12-07,,,3.4307894706726074,3.4721956729888914,3.5490930318832397,,,,
1994-12-08,,,3.4012138843536377,3.454450178146362,3.5283899784088133,,,,
1994-12-09,,,3.3124887943267822,3.4189596652984617,3.492899179458618,,,,
1994-12-12,,,3.371638298034668,3.3952990531921388,3.4692385673522947,,,,
1994-12-13,,,3.342062473297119,3.3716385841369627,3.4396626234054564,3.5757115840911866,,,
1994-12-14,,,3.4012138843536377,3.365723466873169,3.4189595699310305,3.556487262248993,,,
1994-12-15,,,3.4307894706726074,3.3716385841369627,3.4130443811416624,3.535784089565277,,,
1994-12-16,,,3.637821912765503,3.436705207824707,3.4278324365615847,3.5224751234054565,,,
1994-12-19,,,3.578670024871826,3.4781115531921385,3.436705303192139,3.510644769668579,,,
1994-12-20,,,3.578670024871826,3.52543306350708,3.4485358238220214,3.507687175273895,,,
1994-12-21,,,3.667396783828736,3.5786696434020997,3.4721965551376344,3.510644793510437,,,
1994-12-22,,,3.6969709396362314,3.631905937194824,3.5017722606658936,3.5150811195373537,,,
1994-12-23,,,3.7857003211975098,3.6614816188812256,3.549093413352966,3.520996296405792,,,
1994-12-26,,,3.7857003211975098,3.702887678146362,3.5904996156692506,3.529869091510773,,,
