Date,GRADE,GPS,BAC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.0375854969024658,,,,,,
1983-11-22,,,1.0533071756362915,,,,,,
1983-11-23,,,1.0585477352142334,,,,,,
1983-11-24,,,1.0585477352142334,,,,,,
1983-11-25,,,1.0533071756362915,1.0522590637207032,,,,,
1983-11-28,,,1.0166245698928833,1.0480668783187865,,,,,
1983-11-29,,,1.0428266525268557,1.0459707736968995,,,,,
1983-11-30,,,1.0585477352142334,1.0459707736968995,,,,,
1983-12-01,,,1.0271060466766355,1.03968243598938,,,,,
1983-12-02,,,1.0428266525268557,1.0375863313674927,1.044922697544098,,,,
1983-12-05,,,1.0375854969024658,1.0417785167694091,1.044922697544098,,,,
1983-12-06,,,1.0166245698928833,1.0365381002426148,1.0412544369697572,,,,
1983-12-07,,,1.0533071756362915,1.0354899883270263,1.0407303810119628,,,,
1983-12-08,,,1.0690284967422483,1.043874478340149,1.0417784571647644,,,,
1983-12-09,,,1.0899900197982788,1.0533071517944337,1.0454467415809632,,,,
1983-12-12,,,1.0795087814331057,1.0616918087005616,1.0517351627349854,,,,
1983-12-13,,,1.105710506439209,1.0795089960098267,1.0580235481262208,,,,
1983-12-14,,,1.105710506439209,1.0899896621704102,1.0627398252487184,,,,
1983-12-15,,,1.0795087814331057,1.0920857191085815,1.0679800987243653,,,,
1983-12-16,,,1.0899900197982788,1.0920857191085815,1.0726964354515076,1.0588095664978028,,,
1983-12-19,,,1.0847495794296265,1.0931338787078857,1.0774128437042236,1.0611677706241607,,,
1983-12-20,,,1.1161913871765137,1.0952300548553466,1.0873695254325866,1.0643119812011719,,,
1983-12-21,,,1.1319122314453125,1.1004703998565675,1.0952300310134888,1.067980206012726,,,
1983-12-22,,,1.1476339101791382,1.114095425605774,1.1030905723571778,1.072434514760971,,,
1983-12-23,,,1.1423934698104858,1.1245761156082152,1.1083309173583984,1.0768888294696808,,,
1983-12-26,,,1.1423934698104858,1.1361048936843872,1.1146193861961364,1.083177274465561,,,
1983-12-27,,,1.1633546352386477,1.1455375432968142,1.1203837990760803,1.0892036736011506,,,
1983-12-28,,,1.1633546352386477,1.151826024055481,1.1261482119560242,1.0944440186023712,,,
1983-12-29,,,1.152873992919922,1.1528740406036377,1.133484733104706,1.1007324159145355,,,
1983-12-30,,,1.1476339101791382,1.1539221286773682,1.1392491221427918,1.1059727787971496,,,
1984-01-02,,,1.1476339101791382,1.1549702167510987,1.1455375552177431,1.1114751994609833,,,
1984-01-03,,,1.1319122314453125,1.1486817359924317,1.147109639644623,1.1172395825386048,,,
1984-01-04,,,1.1423934698104858,1.1444895029067994,1.1481577634811404,1.1216938972473145,,,
1984-01-05,,,1.1476339101791382,1.1434414863586426,1.1481577634811404,1.125624167919159,,,
1984-01-06,,,1.1633546352386477,1.1465856313705445,1.1502538800239566,1.1292923986911774,,,
1984-01-09,,,1.1738345623016355,1.151825761795044,1.1533979892730715,1.1340086877346038,,,
1984-01-10,,,1.1581140756607056,1.1570661306381225,1.1528739333152773,1.1366288661956787,,,
1984-01-11,,,1.152873992919922,1.1591622352600097,1.1518258690834045,1.1389870405197144,,,
1984-01-12,,,1.152873992919922,1.1602102518081667,1.1518258690834045,1.1426553010940552,,,
1984-01-13,,,1.152873992919922,1.1581141233444214,1.152349877357483,1.1457994997501373,,,
1984-01-16,,,1.1371525526046753,1.1507777214050294,1.1513017416000366,1.1484196484088898,,,
1984-01-17,,,1.1266721487045288,1.1444893360137942,1.1507777333259583,1.1489436864852904,,,
1984-01-18,,,1.1319122314453125,1.1402969837188721,1.149729609489441,1.1489436864852904,,,
1984-01-19,,,1.1371525526046753,1.1371526956558227,1.1486814737319946,1.1484196186065674,,,
1984-01-20,,,1.1476339101791382,1.136104679107666,1.1471094012260437,1.148681640625,,,
1984-01-23,,,1.1423934698104858,1.137152862548828,1.1439652919769288,1.148681640625,,,
1984-01-24,,,1.1371525526046753,1.1392489433288575,1.1418691396713256,1.1473715364933015,,,
1984-01-25,,,1.152873992919922,1.1434412956237794,1.1418691396713256,1.1468475043773654,,,
1984-01-26,,,1.1423934698104858,1.1444894790649414,1.1408210873603821,1.1463234782218934,,,
1984-01-27,,,1.152873992919922,1.1455374956130981,1.1408210873603821,1.1465854823589328,1.1100078439712524,,
1984-01-30,,,1.1581140756607056,1.1486816167831422,1.142917239665985,1.147109490633011,1.1124184155464172,,
1984-01-31,,,1.1633546352386477,1.1539220333099367,1.1465854883193969,1.1486816108226778,1.1146193647384643,,
1984-02-01,,,1.1685945987701416,1.1570661544799807,1.1502537250518798,1.1499916672706605,1.1168203020095826,,
1984-02-02,,,1.1633546352386477,1.161258387565613,1.152873933315277,1.150777703523636,1.1189164400100708,,
1984-02-03,,,1.1895558834075928,1.168594765663147,1.1570661306381225,1.1520877659320834,1.121641414165497,,
1984-02-06,,,1.152873992919922,1.1675467491149902,1.1581141829490664,1.1510397374629977,1.1243664026260376,,
1984-02-07,,,1.1371525526046753,1.1623063325881957,1.1581141829490664,1.1499916613101961,1.126252920627594,,
1984-02-08,,,1.1319122314453125,1.15496985912323,1.1560180068016055,1.1489435732364657,1.1277202105522155,,
1984-02-09,,,1.105710506439209,1.1434410333633422,1.1523497104644778,1.14658539891243,1.129292299747467,,
1984-02-10,,,1.121431589126587,1.1298161745071411,1.1492054700851442,1.1450132787227632,1.1308643984794617,,
1984-02-13,,,1.0952301025390625,1.1182873964309692,1.1429170727729798,1.1429171562194824,1.1320172905921937,,
