Date,GRADE,GPS,MDLZ,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2001-06-13,,,11.767743110656738,,,,,,
2001-06-14,,,11.353522300720217,,,,,,
2001-06-15,,,11.52297306060791,,,,,,
2001-06-18,,,11.417536735534668,,,,,,
2001-06-19,,,11.447665214538574,11.501888084411622,,,,,
2001-06-20,,,11.410001754760742,11.430339813232422,,,,,
2001-06-21,,,11.297036170959473,11.419042587280273,,,,,
2001-06-22,,,11.297036170959473,11.373855209350586,,,,,
2001-06-25,,,11.353522300720217,11.361052322387696,,,,,
2001-06-26,,,11.312098503112791,11.33393898010254,11.41791353225708,,,,
2001-06-27,,,11.274446487426758,11.306827926635743,11.368583869934081,,,,
2001-06-28,,,11.451427459716797,11.337706184387207,11.378374385833741,,,,
2001-06-29,,,11.673606872558594,11.41302032470703,11.393437767028809,,,,
2001-07-02,,,11.474019050598145,11.437119674682616,11.399085998535156,,,,
2001-07-03,,,11.50791358947754,11.476282691955566,11.405110836029053,,,,
2001-07-04,,,11.50791358947754,11.522976112365724,11.414902019500733,,,,
2001-07-05,,,11.647247314453123,11.562140083312988,11.449923133850097,,,,
2001-07-06,,,11.541799545288086,11.535778617858886,11.47439947128296,,,,
2001-07-09,,,11.4401273727417,11.529000282287598,11.483059978485107,,,,
2001-07-10,,,11.428833961486816,11.513184356689454,11.494733524322509,11.456323528289795,,,
2001-07-11,,,11.410001754760742,11.493601989746093,11.508289051055907,11.438436460494994,,,
2001-07-12,,,11.635950088500977,11.491342544555664,11.526741313934327,11.452557849884034,,,
2001-07-13,,,11.57193088531494,11.497368812561033,11.516573715209962,11.455005741119384,,,
2001-07-16,,,11.56439208984375,11.522221755981445,11.525611019134521,11.46234850883484,,,
2001-07-17,,,11.843060493469238,11.60506706237793,11.559125709533692,11.482118272781372,,,
2001-07-18,,,11.858121871948242,11.69469108581543,11.594146537780762,11.504524278640748,,,
2001-07-19,,,11.79410171508789,11.726321411132812,11.608831977844238,11.529377555847168,,,
2001-07-20,,,11.748918533325195,11.761718940734863,11.629543876647949,11.551971673965454,,,
2001-07-23,,,11.673606872558594,11.783561897277831,11.652891826629638,11.567975902557373,,,
2001-07-24,,,11.69996452331543,11.754942703247071,11.6800048828125,11.587369203567505,,,
2001-07-25,,,11.560632705688477,11.695444869995118,11.695067977905273,11.601678514480591,,,
2001-07-26,,,11.718793869018556,11.68038330078125,11.703352355957032,11.615046834945678,,,
2001-07-27,,,11.639713287353516,11.658542251586914,11.710130596160889,11.613352155685424,,,
