Date,GRADE,GPS,MCO,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1994-10-31,,,6.529139041900635,,,,,,
1994-11-01,,,6.48004674911499,,,,,,
1994-11-02,,,6.430956840515137,,,,,,
1994-11-03,,,6.430956840515137,,,,,,
1994-11-04,,,6.381866455078125,6.450593185424805,,,,,
1994-11-07,,,6.332772731781006,6.411319923400879,,,,,
1994-11-08,,,6.185500621795654,6.352410697937012,,,,,
1994-11-09,,,6.283682346343994,6.322955799102783,,,,,
1994-11-10,,,6.332772731781006,6.303318977355957,,,,,
1994-11-11,,,6.283682346343994,6.283682155609131,6.367137670516968,,,,
1994-11-14,,,6.234590530395508,6.264045715332031,6.337682819366455,,,,
1994-11-15,,,6.185500621795654,6.264045715332031,6.308228206634522,,,,
1994-11-16,,,6.185500621795654,6.244409370422363,6.283682584762573,,,,
1994-11-17,,,6.136407375335693,6.205136299133301,6.254227638244629,,,,
1994-11-18,,,6.08731746673584,6.16586332321167,6.2247727394104,,,,
1994-11-21,,,5.940042018890381,6.1069536209106445,6.185499668121338,,,,
1994-11-22,,,5.841860771179199,6.0382256507873535,6.151135683059692,,,,
1994-11-23,,,5.8909525871276855,5.97931604385376,6.111862707138061,,,,
1994-11-24,,,5.8909525871276855,5.930225086212158,6.067680692672729,,,,
1994-11-25,,,5.8909525871276855,5.890952110290527,6.028407716751099,6.197772693634033,,,
1994-11-28,,,5.940042018890381,5.890952110290527,5.998952865600586,6.16831784248352,,,
1994-11-29,,,5.8909525871276855,5.900770473480224,5.969498062133789,6.138863134384155,,,
1994-11-30,,,5.8909525871276855,5.900770473480224,5.940043258666992,6.111862921714783,,,
1994-12-01,,,5.841860771179199,5.890952110290527,5.910588598251342,6.082408118247986,,,
1994-12-02,,,5.8909525871276855,5.890952110290527,5.890952110290527,6.057862424850464,,,
1994-12-05,,,5.841860771179199,5.871315860748291,5.881133985519409,6.033316826820373,,,
1994-12-06,,,5.841860771179199,5.861497497558593,5.881133985519409,6.01613483428955,,,
1994-12-07,,,5.792770862579346,5.841861152648926,5.871315813064575,5.9915892601013185,,,
1994-12-08,,,5.792770862579346,5.832043170928955,5.861497640609741,5.964589166641235,,,
1994-12-09,,,5.792770862579346,5.812406826019287,5.851679468154908,5.940043592453003,,,
1994-12-12,,,5.792770862579346,5.802588844299317,5.836952352523804,5.917952609062195,,,
1994-12-13,,,5.841860771179199,5.802588844299317,5.832043170928955,5.900770616531372,,,
1994-12-14,,,5.8909525871276855,5.822225189208984,5.832043170928955,5.886043214797974,,,
1994-12-15,,,5.8909525871276855,5.841861534118652,5.836952352523804,5.873770475387573,,,
1994-12-16,,,5.8909525871276855,5.86149787902832,5.836952352523804,5.863952231407166,,,
1994-12-19,,,5.940042018890381,5.890952110290527,5.846770477294922,5.863952231407166,,,
1994-12-20,,,5.989134788513184,5.920406913757324,5.86149787902832,5.871315932273864,,,
1994-12-21,,,5.989134788513184,5.940043354034424,5.881134271621704,5.8762250423431395,,,
1994-12-22,,,6.08731746673584,5.979316329956054,5.910588932037354,5.886043286323547,,,
1994-12-23,,,5.989134788513184,5.998952770233155,5.9302253246307375,5.890952396392822,,,
1994-12-26,,,5.989134788513184,6.008771324157715,5.949861717224121,5.893407034873962,,,
1994-12-27,,,6.08731746673584,6.028407859802246,5.974407386779785,5.90322527885437,,,
1994-12-28,,,6.08731746673584,6.0480443954467775,5.9940438747406,5.913043522834778,,,
1994-12-29,,,6.136407375335693,6.057862377166748,6.018589353561401,5.9277708530426025,,,
1994-12-30,,,6.136407375335693,6.08731689453125,6.0431348323822025,5.940043592453003,,,
1995-01-02,,,6.136407375335693,6.116771411895752,6.062771368026733,5.954770922660828,,,
