Date,GRADE,GPS,MOH,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2003-07-02,,,13.333333015441896,,,,,,
2003-07-03,,,13.733332633972168,,,,,,
2003-07-04,,,13.733332633972168,,,,,,
2003-07-07,,,14.333333015441896,,,,,,
2003-07-08,,,14.633333206176758,13.953332901000977,,,,,
2003-07-09,,,15.0,14.286666297912598,,,,,
2003-07-10,,,15.0,14.539999771118165,,,,,
2003-07-11,,,14.666666984558104,14.72666664123535,,,,,
2003-07-14,,,15.046667098999023,14.869333457946777,,,,,
2003-07-15,,,15.333333015441896,15.009333419799805,14.481333160400391,,,,
2003-07-16,,,15.313332557678224,15.07199993133545,14.679333114624024,,,,
2003-07-17,,,15.466667175292969,15.165333366394043,14.852666568756103,,,,
2003-07-18,,,15.699999809265137,15.371999931335449,15.0493332862854,,,,
2003-07-21,,,15.92666721343994,15.547999954223632,15.208666706085205,,,,
2003-07-22,,,16.166667938232422,15.714666938781738,15.36200017929077,,,,
2003-07-23,,,16.46666717529297,15.945333862304688,15.508666896820069,,,,
2003-07-24,,,16.066667556762695,16.065333938598634,15.615333652496338,,,,
2003-07-25,,,16.03333282470703,16.132000541687013,15.75200023651123,,,,
2003-07-28,,,16.093332290649414,16.165333557128907,15.856666755676269,,,,
2003-07-29,,,16.0,16.131999969482422,15.92333345413208,15.202333307266235,,,
2003-07-30,,,16.666667938232422,16.172000122070312,16.0586669921875,15.369000053405761,,,
2003-07-31,,,15.800000190734863,16.118666648864746,16.09200029373169,15.472333431243896,,,
2003-08-01,,,15.58666706085205,16.02933349609375,16.08066701889038,15.56500015258789,,,
2003-08-04,,,15.333333015441896,15.877333641052246,16.021333599090575,15.615000152587891,,,
2003-08-05,,,15.266667366027832,15.730667114257812,15.931333541870117,15.646666860580444,,,
2003-08-06,,,14.699999809265137,15.337333488464356,15.754666805267334,15.6316668510437,,,
2003-08-07,,,14.966667175292969,15.170666885375976,15.644666767120361,15.63000020980835,,,
2003-08-08,,,15.300000190734863,15.11333351135254,15.571333503723144,15.661666870117188,,,
2003-08-11,,,14.866666793823242,15.02000026702881,15.448666954040528,15.6526668548584,,,
2003-08-12,,,14.399999618530272,14.846666717529297,15.288666915893554,15.606000185012817,,,
2003-08-13,,,14.326666831970217,14.772000122070313,15.054666805267335,15.556666898727418,,,
2003-08-14,,,14.233332633972168,14.625333213806153,14.898000049591065,15.495000171661378,,,
2003-08-15,,,14.366666793823242,14.438666534423827,14.776000022888184,15.428333520889282,,,
2003-08-18,,,14.866666793823242,14.438666534423827,14.729333400726318,15.375333499908447,,,
2003-08-19,,,15.43333339691162,14.645333290100098,14.746000003814697,15.338666772842407,,,
2003-08-20,,,15.733332633972168,14.926666450500488,14.8493332862854,15.302000045776367,,,
2003-08-21,,,15.866666793823242,15.253333282470702,14.939333248138428,15.292000007629394,,,
2003-08-22,,,15.966667175292969,15.573333358764648,15.005999946594239,15.288666725158691,,,
2003-08-25,,,16.0,15.8,15.119333267211914,15.28400011062622,,,
2003-08-26,,,15.666666984558104,15.846666717529297,15.246000003814697,15.267333459854125,,,
2003-08-27,,,15.93333339691162,15.886666870117187,15.406666660308838,15.230666732788086,,,
2003-08-28,,,15.866666793823242,15.886666870117187,15.570000076293946,15.234000062942505,,,
2003-08-29,,,15.833333015441896,15.860000038146973,15.71666669845581,15.246333360671997,,,
2003-09-01,,,15.833333015441896,15.826666641235352,15.813333320617676,15.271333360671997,,,
2003-09-02,,,15.533332824707031,15.799999809265136,15.823333263397217,15.284666633605957,,,
2003-09-03,,,14.813332557678224,15.575999641418457,15.731333255767822,15.290333271026611,,,
2003-09-04,,,14.986666679382324,15.399999618530273,15.643333244323731,15.29133324623108,,,
2003-09-05,,,15.260000228881836,15.285333061218262,15.572666549682618,15.289333248138428,,,
2003-09-08,,,16.03333282470703,15.32533302307129,15.57599983215332,15.347666549682618,,,
2003-09-09,,,16.286666870117188,15.47599983215332,15.63799982070923,15.441999912261963,15.31546667098999,,
2003-09-10,,,16.31333351135254,15.776000022888184,15.67599983215332,15.54133324623108,15.375066680908203,,
2003-09-11,,,16.100000381469727,15.998666763305664,15.699333190917969,15.634666633605956,15.422400035858153,,
2003-09-12,,,16.733333587646484,16.293333435058592,15.789333248138428,15.752999973297118,15.48240005493164,,
2003-09-15,,,17.5,16.586666870117188,15.955999946594238,15.884666633605956,15.545733394622802,,
2003-09-16,,,16.666667938232422,16.662667083740235,16.069333457946776,15.946333360671996,15.586400089263917,,
2003-09-17,,,16.733333587646484,16.746667098999023,16.261333560943605,15.996333408355714,15.621066761016845,,
2003-09-18,,,16.666667938232422,16.860000610351562,16.429333686828613,16.03633346557617,15.654400119781494,,
2003-09-19,,,16.65999984741211,16.845333862304688,16.569333648681642,16.07100009918213,15.694266777038575,,
2003-09-22,,,16.65999984741211,16.67733383178711,16.632000350952147,16.104000091552734,15.726533432006836,,
2003-09-23,,,16.81999969482422,16.70800018310547,16.68533363342285,16.16166672706604,15.756266765594482,,
2003-09-24,,,16.766666412353516,16.714666748046874,16.73066692352295,16.203333377838135,15.785333442687989,,
2003-09-25,,,16.799999237060547,16.7413330078125,16.80066680908203,16.25,15.81200008392334,,
2003-09-26,,,16.079999923706055,16.62533302307129,16.73533344268799,16.262333345413207,15.819600086212159,,
2003-09-29,,,16.399999618530273,16.57333297729492,16.625333404541017,16.29066667556763,15.829066734313965,,
2003-09-30,,,18.5,16.90933303833008,16.808666610717772,16.439000034332274,15.875733375549316,,
