Date,GRADE,GPS,CCI,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1998-08-18,,,8.592355728149414,,,,,,
1998-08-19,,,8.592355728149414,,,,,,
1998-08-20,,,8.592355728149414,,,,,,
1998-08-21,,,8.592355728149414,,,,,,
1998-08-24,,,8.592355728149414,8.592355728149414,,,,,
1998-08-25,,,8.592355728149414,8.592355728149414,,,,,
1998-08-26,,,8.096643447875977,8.493213272094726,,,,,
1998-08-27,,,7.353072643280029,8.24535665512085,,,,,
1998-08-28,,,6.609505653381348,7.848786640167236,,,,,
1998-08-31,,,5.370221138000488,7.204359722137451,7.898357725143432,,,,
1998-09-01,,,5.618078708648682,6.609504318237304,7.600930023193359,,,,
1998-09-02,,,6.320339679718018,6.254243564605713,7.37372841835022,,,,
1998-09-03,,,5.783316612243652,5.9402923583984375,7.092824506759643,,,,
1998-09-04,,,5.53546142578125,5.725483512878418,6.787135076522827,,,,
1998-09-07,,,5.53546142578125,5.75853157043457,6.48144564628601,,,,
1998-09-08,,,6.5268874168396,5.940293312072754,6.274898815155029,,,,
1998-09-09,,,6.27902889251709,5.932031154632568,6.09313735961914,,,,
1998-09-10,,,6.113792419433594,5.9981263160705565,5.969209337234497,,,,
1998-09-11,,,5.948554039001465,6.080744838714599,5.903114175796508,,,,
1998-09-14,,,5.948554039001465,6.163363361358643,5.960947465896607,6.92965259552002,,,
1998-09-15,,,5.783316612243652,6.014649200439453,5.977471256256104,6.789200639724731,,,
1998-09-16,,,5.204984664916992,5.799840354919434,5.865935754776001,6.61983208656311,,,
1998-09-17,,,5.473495960235596,5.671781063079834,5.834953689575196,6.463889098167419,,,
1998-09-18,,,5.4528422355651855,5.572638702392578,5.826691770553589,6.306913423538208,,,
1998-09-21,,,4.62665319442749,5.308258533477783,5.735810947418213,6.108628296852112,,,
1998-09-22,,,5.287603855133057,5.209115982055664,5.611882591247559,5.943390703201294,,,
1998-09-23,,,5.53546142578125,5.275211334228516,5.537525844573975,5.815331602096558,,,
1998-09-24,,,5.989863395690918,5.37848482131958,5.525132942199707,5.747171139717102,,,
