Date,GRADE,GPS,CDNS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1987-06-10,,,2.0,,,,,,
1987-06-11,,,1.888888955116272,,,,,,
1987-06-12,,,1.888888955116272,,,,,,
1987-06-15,,,1.888888955116272,,,,,,
1987-06-16,,,1.8333330154418943,1.899999976158142,,,,,
1987-06-17,,,1.888888955116272,1.8777777671813964,,,,,
1987-06-18,,,1.8333330154418943,1.866666579246521,,,,,
1987-06-19,,,1.861111044883728,1.8611109972000122,,,,,
1987-06-22,,,1.8333330154418943,1.8499998092651366,,,,,
1987-06-23,,,1.805556058883667,1.8444444179534911,1.8722221970558166,,,,
1987-06-24,,,1.805556058883667,1.8277778387069703,1.8527778029441833,,,,
1987-06-25,,,1.7777780294418335,1.816666841506958,1.8416667103767395,,,,
1987-06-26,,,1.7777780294418335,1.8000002384185791,1.8305556178092957,,,,
1987-06-29,,,1.611111044883728,1.755555844306946,1.8027778267860413,,,,
1987-06-30,,,1.4722219705581665,1.6888890266418457,1.7666667222976684,,,,
1987-07-01,,,1.6666669845581057,1.6611112117767335,1.744444525241852,,,,
1987-07-02,,,1.7222219705581665,1.65,1.733333420753479,,,,
1987-07-03,,,1.7222219705581665,1.6388887882232666,1.7194445133209229,,,,
1987-07-06,,,1.6666669845581057,1.649999976158142,1.702777910232544,,,,
1987-07-07,,,1.805556058883667,1.7166667938232423,1.702777910232544,1.7875000536441803,,,
1987-07-08,,,1.7777780294418335,1.7388890027999877,1.7000001072883606,1.776388955116272,,,
1987-07-09,,,1.7222219705581665,1.7388890027999877,1.6944445013999938,1.7680556058883667,,,
1987-07-10,,,1.7222219705581665,1.7388890027999877,1.6888888955116272,1.7597222566604613,,,
1987-07-13,,,1.611111044883728,1.7277778148651124,1.6888888955116272,1.7458333611488341,,,
1987-07-14,,,1.6666669845581057,1.7,1.708333396911621,1.7375000596046448,,,
1987-07-15,,,1.611111044883728,1.666666603088379,1.7027778029441833,1.7236111640930176,,,
