Date,GRADE,GPS,WAT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1996-01-26,,,4.9375,4.9125,4.7,4.6296875,4.2325,,
1996-01-29,,,5.15625,4.99375,4.765625,4.659375,4.260625,,
1996-01-30,,,5.125,5.0625,4.834375,4.6984375,4.288125,,
1996-01-31,,,4.96875,5.05,4.89375,4.7265625,4.3125,,
1996-02-01,,,4.96875,5.03125,4.946875,4.746875,4.336875,,
1996-02-02,,,4.8125,5.00625,4.959375,4.753125,4.358125,,
1996-02-05,,,4.875,4.95,4.971875,4.7578125,4.380625,,
1996-02-06,,,4.71875,4.86875,4.965625,4.7578125,4.404375,,
1996-02-07,,,4.6875,4.8125,4.93125,4.7625,4.429375,,
1996-02-08,,,4.625,4.74375,4.8875,4.765625,4.448125,,
1996-02-09,,,4.75,4.73125,4.86875,4.784375,4.471875,,
1996-02-12,,,4.875,4.73125,4.840625,4.803125,4.495,,
1996-02-13,,,4.90625,4.76875,4.81875,4.8265625,4.518125,,
1996-02-14,,,4.90625,4.8125,4.8125,4.853125,4.54,,
1996-02-15,,,4.75,4.8375,4.790625,4.86875,4.560625,,
1996-02-16,,,4.8125,4.85,4.790625,4.875,4.581875,,
1996-02-19,,,4.8125,4.8375,4.784375,4.878125,4.603125,,
1996-02-20,,,4.90625,4.8375,4.803125,4.884375,4.625625,,
1996-02-21,,,5.09375,4.875,4.84375,4.8875,4.646875,,
1996-02-22,,,5.21875,4.96875,4.903125,4.8953125,4.6675,,
1996-02-23,,,5.15625,5.0375,4.94375,4.90625,4.685625,,
1996-02-26,,,5.3125,5.1375,4.9875,4.9140625,4.70875,,
1996-02-27,,,5.1875,5.19375,5.015625,4.9171875,4.73,,
1996-02-28,,,5.15625,5.20625,5.040625,4.9265625,4.75,,
1996-02-29,,,5.0625,5.175,5.071875,4.93125,4.76375,,
1996-03-01,,,5.15625,5.175,5.10625,4.9484375,4.77875,,
1996-03-04,,,5.0,5.1125,5.125,4.9546875,4.790625,,
1996-03-05,,,5.0625,5.0875,5.140625,4.971875,4.80375,,
1996-03-06,,,5.125,5.08125,5.14375,4.99375,4.81625,,
1996-03-07,,,5.25,5.11875,5.146875,5.025,4.831875,,
1996-03-08,,,5.1875,5.125,5.15,5.046875,4.844375,,
1996-03-11,,,5.5625,5.2375,5.175,5.08125,4.864375,,
1996-03-12,,,6.0,5.425,5.25625,5.1359375,4.8975,,
1996-03-13,,,6.0,5.6,5.340625,5.190625,4.929375,,
1996-03-14,,,6.0,5.75,5.434375,5.253125,4.958125,,
1996-03-15,,,5.9375,5.9,5.5125,5.309375,4.983125,,
1996-03-18,,,5.78125,5.94375,5.590625,5.3578125,5.003125,,
1996-03-19,,,5.625,5.86875,5.646875,5.39375,5.02125,,
1996-03-20,,,5.875,5.84375,5.721875,5.4328125,5.046875,,
1996-03-21,,,5.9375,5.83125,5.790625,5.46875,5.074375,,
1996-03-22,,,5.6875,5.78125,5.840625,5.4953125,5.100625,,
1996-03-25,,,5.84375,5.79375,5.86875,5.521875,5.1275,,
1996-03-26,,,5.875,5.84375,5.85625,5.55625,5.15625,,
1996-03-27,,,5.78125,5.825,5.834375,5.5875,5.184375,,
1996-03-28,,,5.71875,5.78125,5.80625,5.6203125,5.21,,
1996-03-29,,,6.0625,5.85625,5.81875,5.665625,5.2375,,
1996-04-01,,,6.625,6.0125,5.903125,5.746875,5.275,,
1996-04-02,,,6.8125,6.2,6.021875,5.834375,5.315625,,
1996-04-03,,,6.71875,6.3875,6.10625,5.9140625,5.349375,,
1996-04-04,,,7.0,6.64375,6.2125,6.0015625,5.388125,4.79875,
1996-04-05,,,7.0,6.83125,6.34375,6.0921875,5.429375,4.8309375,
1996-04-08,,,7.0,6.90625,6.459375,6.1640625,5.46625,4.8634375,
1996-04-09,,,7.09375,6.9625,6.58125,6.21875,5.505625,4.896875,
1996-04-10,,,7.21875,7.0625,6.725,6.2796875,5.550625,4.9315625,
1996-04-11,,,7.0625,7.075,6.859375,6.3328125,5.5925,4.9646875,
1996-04-12,,,7.34375,7.14375,6.9875,6.403125,5.643125,5.000625,
1996-04-15,,,7.28125,7.2,7.053125,6.478125,5.69125,5.0359375,
1996-04-16,,,7.40625,7.2625,7.1125,6.5671875,5.745,5.0746875,
1996-04-17,,,7.375,7.29375,7.178125,6.6421875,5.79875,5.1140625,
1996-04-18,,,7.46875,7.375,7.225,6.71875,5.855625,5.151875,
1996-04-19,,,7.15625,7.3375,7.240625,6.7921875,5.90375,5.1878125,
1996-04-22,,,6.96875,7.275,7.2375,6.8484375,5.945625,5.2203125,
1996-04-23,,,6.875,7.16875,7.215625,6.8984375,5.985,5.2515625,
1996-04-24,,,6.90625,7.075,7.184375,6.9546875,6.025,5.2825,
1996-04-25,,,6.9375,6.96875,7.171875,7.015625,6.06875,5.3146875,
1996-04-26,,,6.875,6.9125,7.125,7.05625,6.11,5.3459375,
1996-04-29,,,7.0,6.91875,7.096875,7.075,6.15375,5.3784375,
1996-04-30,,,6.96875,6.9375,7.053125,7.0828125,6.195,5.4103125,
1996-05-01,,,6.875,6.93125,7.003125,7.090625,6.230625,5.43875,
1996-05-02,,,6.75,6.89375,6.93125,7.078125,6.26125,5.464375,
1996-05-03,,,6.875,6.89375,6.903125,7.071875,6.295625,5.490625,
1996-05-06,,,7.0625,6.90625,6.9125,7.075,6.330625,5.5196875,
1996-05-07,,,7.25,6.9625,6.95,7.0828125,6.371875,5.5509375,
1996-05-08,,,7.0625,7.0,6.965625,7.075,6.41,5.58,
1996-05-09,,,6.96875,7.04375,6.96875,7.0703125,6.448125,5.6059375,
1996-05-10,,,7.0,7.06875,6.98125,7.053125,6.485,5.631875,
1996-05-13,,,6.9375,7.04375,6.975,7.0359375,6.52375,5.6571875,
1996-05-14,,,6.84375,6.9625,6.9625,7.0078125,6.559375,5.6815625,
1996-05-15,,,7.125,6.975,6.9875,6.9953125,6.599375,5.7078125,
1996-05-16,,,7.09375,7.0,7.021875,6.9765625,6.63625,5.7340625,
1996-05-17,,,6.96875,6.99375,7.03125,6.9671875,6.671875,5.758125,
1996-05-20,,,6.875,6.98125,7.0125,6.9625,6.698125,5.78125,
1996-05-21,,,6.8125,6.975,6.96875,6.959375,6.714375,5.8059375,
1996-05-22,,,7.15625,6.98125,6.978125,6.971875,6.7375,5.8334375,
1996-05-23,,,7.4375,7.05,7.025,6.996875,6.76625,5.8621875,
1996-05-24,,,7.4375,7.14375,7.06875,7.025,6.79625,5.8896875,
1996-05-27,,,7.4375,7.25625,7.11875,7.046875,6.829375,5.91625,
1996-05-28,,,7.34375,7.3625,7.16875,7.065625,6.86375,5.9425,
1996-05-29,,,7.21875,7.375,7.178125,7.0828125,6.890625,5.96875,
1996-05-30,,,7.4375,7.375,7.2125,7.1171875,6.920625,5.9975,
1996-05-31,,,7.53125,7.39375,7.26875,7.15,6.9575,6.0290625,
1996-06-03,,,7.21875,7.35,7.303125,7.1578125,6.985,6.05625,
1996-06-04,,,6.96875,7.275,7.31875,7.14375,7.006875,6.0815625,
1996-06-05,,,6.8125,7.19375,7.284375,7.13125,7.0275,6.1059375,
1996-06-06,,,6.6875,7.04375,7.209375,7.1171875,7.046875,6.1284375,
1996-06-07,,,6.625,6.8625,7.128125,7.0984375,7.058125,6.1478125,
1996-06-10,,,6.84375,6.7875,7.06875,7.09375,7.0625,6.16875,
1996-06-11,,,6.96875,6.7875,7.03125,7.1,7.065625,6.190625,
1996-06-12,,,7.09375,6.84375,7.01875,7.0984375,7.073125,6.21125,
1996-06-13,,,6.9375,6.89375,6.96875,7.090625,7.071875,6.23,
1996-06-14,,,7.03125,6.975,6.91875,7.09375,7.0725,6.2509375,
1996-06-17,,,7.03125,7.0125,6.9,7.1015625,7.073125,6.2696875,
1996-06-18,,,6.78125,6.975,6.88125,7.1,7.066875,6.28625,
1996-06-19,,,7.125,6.98125,6.9125,7.0984375,7.065,6.3078125,
1996-06-20,,,7.1875,7.03125,6.9625,7.0859375,7.0675,6.33,
1996-06-21,,,7.125,7.05,7.0125,7.0703125,7.063125,6.353125,
1996-06-24,,,7.21875,7.0875,7.05,7.059375,7.061875,6.3765625,
