Date,GRADE,GPS,EIX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.7459005117416382,,,,,,
1983-11-22,,,1.7670625448226929,,,,,,
1983-11-23,,,1.7723534107208252,,,,,,
1983-11-24,,,1.7723534107208252,,,,,,
1983-11-25,,,1.7670625448226929,1.7649464845657348,,,,,
1983-11-28,,,1.7564812898635864,1.7670626401901246,,,,,
1983-11-29,,,1.7564812898635864,1.7649463891983033,,,,,
1983-11-30,,,1.7564812898635864,1.7617719650268555,,,,,
1983-12-01,,,1.7564812898635864,1.7585975408554078,,,,,
1983-12-02,,,1.7564812898635864,1.7564812898635864,1.7607138872146606,,,,
1983-12-05,,,1.751190423965454,1.75542311668396,1.7612428784370422,,,,
1983-12-06,,,1.7459005117416382,1.7533069610595704,1.7591266751289367,,,,
1983-12-07,,,1.7353193759918213,1.7490745782852173,1.7554232716560363,,,,
1983-12-08,,,1.730027198791504,1.7437837600708008,1.7511906504631043,,,,
1983-12-09,,,1.7194476127624512,1.7363770246505736,1.74642915725708,,,,
1983-12-12,,,1.7247377634048462,1.7310864925384521,1.743254804611206,,,,
1983-12-13,,,1.708866000175476,1.7236795902252198,1.738493275642395,,,,
1983-12-14,,,1.6982851028442385,1.716272735595703,1.7326736569404602,,,,
1983-12-15,,,1.6877036094665527,1.707808017730713,1.7257958889007567,,,,
1983-12-16,,,1.6982851028442385,1.7035755157470702,1.719976270198822,1.7403450787067414,,,
1983-12-19,,,1.7035750150680542,1.699342966079712,1.715214729309082,1.7382288038730622,,,
1983-12-20,,,1.7247377634048462,1.702517318725586,1.7130984544754029,1.7361125648021698,,,
1983-12-21,,,1.7459005117416382,1.712040400505066,1.7141565680503845,1.7347899198532104,,,
1983-12-22,,,1.7353193759918213,1.7215635538101197,1.7146857857704163,1.7329382181167603,,,
1983-12-23,,,1.7406094074249268,1.7300284147262572,1.7168019652366637,1.731615561246872,,,
1983-12-26,,,1.7406094074249268,1.7374352931976318,1.718389129638672,1.730821967124939,,,
1983-12-27,,,1.7353193759918213,1.7395516157150268,1.7210344672203064,1.7297638714313508,,,
1983-12-28,,,1.730027198791504,1.736376953125,1.7242086768150329,1.7284411668777466,,,
1983-12-29,,,1.7007794380187988,1.7294689655303954,1.7255162596702576,1.7256560742855072,,,
1983-12-30,,,1.722445726394653,1.7258362293243408,1.7279323220252991,1.7239542961120606,,,
1984-01-02,,,1.722445726394653,1.7222034931182861,1.729819393157959,1.7225170612335206,,,
