Date,GRADE,GPS,TMUS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2007-04-19,,,44.71046829223633,,,,,,
2007-04-20,,,46.587005615234375,,,,,,
2007-04-23,,,46.91335678100586,,,,,,
2007-04-24,,,47.64765930175781,,,,,,
2007-04-25,,,46.68491744995117,46.50868148803711,,,,,
2007-04-26,,,46.015892028808594,46.76976623535156,,,,,
2007-04-27,,,46.34223937988281,46.72081298828125,,,,,
2007-04-30,,,45.771121978759766,46.492366027832034,,,,,
2007-05-01,,,45.5263557434082,46.06810531616211,,,,,
2007-05-02,,,45.95061874389648,45.92124557495117,46.21496353149414,,,,
2007-05-03,,,46.75018310546875,46.0681037902832,46.418935012817386,,,,
2007-05-04,,,46.99494934082031,46.198645782470706,46.45972938537598,,,,
2007-05-07,,,47.435523986816406,46.53152618408203,46.51194610595703,,,,
2007-05-08,,,47.81083297729492,46.98842163085938,46.52826347351074,,,,
2007-05-09,,,50.3400764465332,47.86631317138672,46.89377937316895,,,,
2007-05-10,,,49.62209701538086,48.44069595336914,47.25439987182617,,,,
2007-05-11,,,50.437984466552734,49.129302978515625,47.663974380493165,,,,
2007-05-14,,,52.0860710144043,50.0594123840332,48.29546928405762,,,,
2007-05-15,,,55.82281875610352,51.66180953979492,49.32511558532715,,,,
2007-05-16,,,56.06758880615234,52.80731201171875,50.336812591552736,48.27588806152344,,,
2007-05-17,,,59.39640045166016,54.76217269897461,51.601434326171876,49.01018466949463,,,
2007-05-18,,,59.69012069702149,56.61259994506836,52.87095146179199,49.665340423583984,,,
2007-05-21,,,56.36130905151367,57.467647552490234,53.76352996826172,50.13773803710937,,,
2007-05-22,,,55.00693893432617,57.30447158813477,54.483140563964845,50.50570201873779,,,
2007-05-23,,,54.79480743408203,57.0499153137207,54.92861366271973,50.91119651794433,,,
2007-05-24,,,55.36592483520508,56.24382019042969,55.50299644470215,51.37869815826416,,,
2007-05-25,,,57.12823486328125,55.73144302368164,56.172021484375,51.91799793243408,,,
2007-05-28,,,57.12823486328125,55.88482818603516,56.67623786926269,52.485853576660155,,,
2007-05-29,,,55.31697463989258,55.946835327148435,56.625653457641604,52.97538452148437,,,
2007-05-30,,,58.4499626159668,56.67786636352539,56.86389083862305,53.60035171508789,,,
2007-05-31,,,58.18888473510742,57.24245834350586,56.74313926696777,54.17228679656982,,,
2007-06-01,,,59.7064323425293,57.75809783935547,56.74477043151855,54.807860946655275,,,
2007-06-04,,,59.85329055786133,58.30310897827148,57.09396858215332,55.42874927520752,,,
2007-06-05,,,57.53617477416992,58.74694900512695,57.34689216613769,55.91501636505127,,,
2007-06-06,,,55.30065536499024,58.11708755493164,57.39747695922851,56.16304531097412,,,
2007-06-07,,,53.08144378662109,57.09559936523438,57.16902885437012,56.33601264953613,,,
2007-06-08,,,53.11407852172852,55.77712860107422,56.76761322021484,56.469817352294925,,,
2007-06-11,,,55.10484313964844,54.82743911743164,56.56527404785156,56.620755958557126,,,
2007-06-12,,,54.04419708251953,54.12904357910156,56.437996292114256,56.53182487487793,,,
2007-06-13,,,55.137481689453125,54.09640884399414,56.10674819946289,56.48531951904297,,,
2007-06-14,,,53.734153747558594,54.22695083618164,55.66127510070801,56.20220718383789,,,
2007-06-15,,,58.09097290039063,55.222329711914064,55.49972915649414,56.12224979400635,,,
2007-06-18,,,58.12361145019531,55.82608337402344,55.32676124572754,56.21036491394043,,,
2007-06-19,,,55.46383285522461,56.11001052856445,55.11952705383301,56.23320960998535,,,
2007-06-20,,,53.26094436645508,55.734703063964844,54.91555595397949,56.156516456604,,,
2007-06-21,,,54.86007308959961,55.959886932373045,55.09341888427734,56.13122386932373,,,
2007-06-22,,,55.202754974365234,55.38224334716797,55.302286529541014,56.03494987487793,,,
2007-06-25,,,57.11191940307617,55.17990493774414,55.50299415588379,56.03413410186768,,,
2007-06-26,,,56.72028732299805,55.43119583129883,55.77060317993164,56.10429973602295,,,
2007-06-27,,,56.86715698242188,56.15243835449219,55.94357070922852,56.025159454345705,53.093197174072266,,
2007-06-28,,,54.90903091430664,56.16222991943359,56.06105842590332,55.86116676330566,53.29716842651367,,
2007-06-29,,,53.91364669799805,55.90440826416015,55.64332580566406,55.5715274810791,53.44370124816894,,
