Date,GRADE,GPS,PEG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.8815692663192749,,,,,,
1983-11-22,,,0.8985222578048706,,,,,,
1983-11-23,,,0.8858078122138977,,,,,,
1983-11-24,,,0.8858078122138977,,,,,,
1983-11-25,,,0.8942848443984985,0.8891983985900879,,,,,
1983-11-28,,,0.8942848443984985,0.8917415142059326,,,,,
1983-11-29,,,0.8858078122138977,0.8891986250877381,,,,,
1983-11-30,,,0.8783290982246399,0.8877028822898865,,,,,
1983-12-01,,,0.8652845025062561,0.8835982203483581,,,,,
1983-12-02,,,0.8522400259971619,0.8751892566680908,0.8821938276290894,,,,
1983-12-05,,,0.8565879464149475,0.8676498770713806,0.8796956956386566,,,,
1983-12-06,,,0.8609362840652466,0.8626755714416504,0.8759370982646942,,,,
1983-12-07,,,0.8783290982246399,0.8626755714416504,0.8751892268657684,,,,
1983-12-08,,,0.8826772570610046,0.8661541223526001,0.8748761713504791,,,,
1983-12-09,,,0.8739808797836304,0.8705022931098938,0.8728457748889923,,,,
1983-12-12,,,0.8870252370834351,0.8765897512435913,0.872119814157486,,,,
1983-12-13,,,0.8826772570610046,0.8809379458427429,0.8718067586421967,,,,
1983-12-14,,,0.8609362840652466,0.8774593830108642,0.8700674772262573,,,,
1983-12-15,,,0.8435435891151428,0.8696326494216919,0.867893385887146,,,,
1983-12-16,,,0.834847629070282,0.8618059992790222,0.866154146194458,0.8741739869117737,,,
1983-12-19,,,0.834847629070282,0.8513704776763916,0.8639801144599915,0.871837905049324,,,
1983-12-20,,,0.8391954302787781,0.8426741123199463,0.8618060290813446,0.8688715636730194,,,
1983-12-21,,,0.834847629070282,0.8374563813209533,0.8574578821659088,0.8663235545158386,,,
1983-12-22,,,0.7783210873603821,0.8244118809700012,0.8470222651958466,0.8609492182731628,,,
1983-12-23,,,0.7913659811019897,0.8157155513763428,0.8387607753276825,0.8558032751083374,,,
1983-12-26,,,0.7913659811019897,0.8070192217826844,0.8291948497295379,0.850657331943512,,,
1983-12-27,,,0.7913659811019897,0.7974533319473267,0.8200637221336364,0.8459352403879166,,,
1983-12-28,,,0.7957139015197754,0.7896265864372254,0.8135414838790893,0.8418044805526733,,,
